id,original_tweet,sentiment_result,class
65,ptm jadi 50% trs dipisah anak absen atas sm absen bawah. tapi temen gue adanya di absen atas dan gue absen bawah :((,-26,NEGATIF
66,"@xxasj_i iyaa, tp sekolahku dari awal emg cuma 50% ptm dan itupun bebas pilih mau ptm/pjj tapi aku pilihnya pjj hehe jadi aku gapernah ptm👍🏻",-5,NEGATIF
67,@schfess Baju rumah lah lo semua alias SAYA IRIII MAU PTM JUGAA https://t.co/I2WgEysi7e,-2,NEGATIF
68,"@GAHunterFess Pengen beliin anak masker aja sih, soalny dia udh mulai PTM setiap hari🙈",4,POSITIF
69,"'hilih dia mah cuma pengen pemes sama anak laki laki'  ucap seseorang,  yg skrg malah sibuk sma ank cowo kumpul ketawa"" brg, rada iri karna dia ngambil ayang gw anjir...  Padahal kan sebelum ptm full dia soft bgt sm gw,  nah giliran udh ptm full malah diambil cewe itu anjir...",5,POSITIF
70,"ptm : dapet duit, ilmu lebih gampang nyantol, ketemu temen (resiko : angka covid naik)
pjj : bisa sambil rebahan, ga sebegitu capek kaya ptm (resiko : ilmu kurang nyantol)
^^ persepsi gue",7.5,POSITIF
71,"@CNNIndonesia Berarti gak bahaya, atau kalau DKI menutup PTM, Luhut takut rakyat minta penerbangan luar negeri jg ditutup, jadi gak ada alasan melonggarkan pendatang dari luar negeri.",-3,NEGATIF
72,"RT @francmohede: Dengan keraguan tinggi gue juga senang dan dukung banget anak2 bisa PTM, termasuk Masgub @aniesbaswedan yang juga punya an…",6,POSITIF
73,"Aku sedih liat covid udh naik bgt, tp PTM gak diberhentiin. Padahal cluster PTM udh banyak bgt.",15,POSITIF
74,"@convomf temen sekelasku gitu semua nder, batuk batuk juga, mana lagi ptm",-16,NEGATIF
75,"@gupismile skrg lgi pjj, tpi kmrin ptm semoga minggu depan ptm",-3,NEGATIF
76,gimana yaa sebenernya ptm dan pjj ada plus minus nya sendiri dan gue disini sebagai team netral sieh 😎😎,-4,NEGATIF
77,@wajaar Semangt ya yg belum ngerasain ptm,5,POSITIF
78,senin udh ptm :),5,POSITIF
79,Aku pikir Pak Anies cukup punya pengetahuan utk  mengusahakan PTM tetap aman. Atau usaha-usaha lainnya utk menjaga warganya tetap aman. https://t.co/6kjtIri4ql,10,POSITIF
80,"@schfess @aqyuiver Teori pjj gapapa tapi tolong praktek dibisain ptm terbatas gpp deh;-; anjir tekor duid gua beli alat praktek, bahan, dsb😭pen ngerasain megang alat praktek sesuai standar yg berlaku di industri, bentar lg lulus ntr di perusahaan kek org tulul;-;",3,POSITIF
81,@marlina_idha Terus jikalau di Jakarta omicron cluster ptm meledak maka yang salah pastilah Anies Baswedan...,-8,NEGATIF
82,@Pockyyycocolate sama kayak kelasku kalo ptm,-1,NEGATIF
83,"dok adek aku mulai dr kemarin udh wajib ptm 100%, eh ternyata pas ud nyampe rumah diumumin di grup ada yg + di kelasnya dan adekku termasuk yg kontak erat sm yg +. Skrg adek aku lg isoman, kira2 kalo mau test pcr/antigen kapan yaa waktu yg tepat? Makasihh yg udah jawab ❤",64.75,POSITIF
84,"@schfess sebenernya aku juga lebih suka ptm karena lebih ngerti, tapi kasusnya lagi tinggi banget, aku ngekos lagi, jauh dari keluarga, amit amit tp kalo kena gimana? kan takut juga...",-10,NEGATIF
85,"@yhambiz Oh gitu, semoga segera ptm lagi yaa. Semangat didit!!",4,POSITIF
86,"@agachkp sebenarnya ptm, krn jadi paham materi, tapi pgn pjj lagi Krn capek",1,POSITIF
87,"@collegemenfess yay aja, kalo PTM biasanya dosennya ngasih waktu istirahat si buat maksi",2,POSITIF
88,"@onyonrm_ark gwehj ptm anjrit😭, udah donggg",3,POSITIF
89,"Drama ngeyel ala gottbener, daerah lain saja bisa menghentikan PTM kenapa DKI gak bisa https://t.co/prsM5jgi5H",-15,NEGATIF
90,ya allah aku kapan ptm,7,POSITIF
91,@schfess Ada juga yg sukanya jalan-jalan ketika disuruh ptm malah takut kena 😭 dikira jalan-jalan itu kebal apa,-3,NEGATIF
92,"@hipeaches_aem dl nya si masih lama soalnya ngumpulinnya pas ptm, tapi bnyk ada 7 tugas 🥲",1,POSITIF
93,IH GAMAU PTM 50% :((((((,-9,NEGATIF
94,"Viralken aja, yg jelas pak Anies sdh berusaha krn arogansi si lumut maka permintaan tutup PTM ditolaknya
#PermintaanTutupPTMditolakLuhut https://t.co/WKsC8Oinka",1,POSITIF
95,"Bangun pagi, gosok gigi, terus mandi, PTM lagi..",-6,NEGATIF
96,"Walau emg kdg suka ngeluh bgt kenapa aku gini gitu, tp selalu aja ada kejadian yg bisa bikin aku mikir ih tuhan tuh baik bgt sm aku. Sama ini, krn skrg online, aku jd lbh bisa belajar utk ujian wkwk gatau kenapa aku sejak ptm malah makin males belajar😭😔 udah males, tambah males",22,POSITIF
97,"@subschfess gx, ak mw ptm aj. tapi jujur ngeri jg kalo ada yg +, tapi ptm jangan ada tugas kelompok dong. mls bgt",5,POSITIF
98,"ptm lagi aja lah anjing, kena semprot mulu gue kalo di rumah.",-13,NEGATIF
99,"@kidd00st belum sumpah, dari 2019 gapernah ptm",-3,NEGATIF
100,"sebel, sekolah gue senin depan udh mulai ptm 25%",1,POSITIF
101,"SEKOLAHKU YANG TADINYA PTM FULL, JADI PJJ LAGI T — T",-2,NEGATIF
102,ANJ DEH PTM AJALAH MALES GW PAKE NI LAPTOP TAI,-16,NEGATIF
103,@wajaar eh serius semester ini blm ptm samsek?,-3,NEGATIF
104,ptm 50% gajelas ngangngong ngantuk lagi,-5,NEGATIF
105,"RT @tjapoenglaut: Presiden suruh evaluasi PTM. 
usulan kepala daerah ditolak Lord. 
kementrian pendidikan Mingkem. 

gini gini banget Tata…",1,POSITIF
106,"@Lizliz06506641 @schfess ih persis bgt kaya kelasku, apalagi lagi ptm gini kan dibagi 2 sesi. jd tambah krik krik kelasku",-3,NEGATIF
107,"@poIisi lebih suka ptm, ujian online",5,POSITIF
108,"@collegemenfess gw seneng si sama kampus gw, ptm cuma buat matkul yg ada asitensinya, sisanya, online, ya walaupun 4 dari 7 matkul ada asistensinya",1,POSITIF
109,wtf?!?@? kok bisa dia bilang kaya ginii sumpah pola pikir nya agak agak ni kalo lo suka ptm ya yauda anjir di keep aja gausa bilang orang suka daring sama dengan di bully di sekolah.. as usual we knooo bully juga merupakan hal yg gabisa dibuat sebercanda kaya komenan lo ini https://t.co/3V8BGPlIuf,1.25,POSITIF
110,ptm ptm kntol tgs kelompok mulu,-7,NEGATIF
111,"@dearhika Ih enak ptm :(
Iya sekolah aku udh pjj lagi. Ga suka😔",10,POSITIF
112,@missufe Aaaaa aku lagi PTM jadi ga sempet aaaaaa,0,NETRAL
113,enakan ptm full daripada sesi sesian😞😞,5,POSITIF
114,"RT @EkoTamba: Manusia Indonesia, mendukung bgt penerbangan internasional buka, tempat wisata buka, tp ga setuju PTM. Lah pada pengen libura…",17,POSITIF
115,SERIUSS PTM 50% LAGI?? 😭 YAUDAH GAPAPA DEH DRIPADA FULL ONLINE,-7,NEGATIF
116,"gua ngerasain ptm aja belom, skrng udh pada balik daring",1,POSITIF
117,"kan udah kubilang 0m1cr0n naik, krs-an trobel terus sampe hari terakhir, berarti ngga direstuin buat ptm",10,POSITIF
118,@fessthai Kgett lewat pas lg ptm😂,2,POSITIF
119,"Pelajar dilarang PTM, pintu masuk keluar negeri dibuka lebar-lebar

Pembunuhan karakter. Norak!! https://t.co/w75yVBXSnP",-2,NEGATIF
120,"Humm gue tim ptm sih, tp ga 100% dan prokes nya harus lebih ketat, kasus nya bertambah juga bisa aja karena cuaca lagi ga menentu dan bikin imun jdi menurun jadi kalo kerasa ga enak badan dikit mending izin ga sekolah lagian kalo pjj juga sama aja ttp banyak orang bakal keluyuran https://t.co/B1cwj4lDsS",nan,POSITIF
121,"ANJAY BANGET GUE DARING LAGI AMPE TGL 14,UDH NYAMAN SM PTM JUGA ☺️💔 https://t.co/GNlQhREFSA",6,POSITIF
122,@lkingsir sama anje tp gue ptm,1,POSITIF
123,"PJJ lagi PTM singkat bngt. 
Gabisa liat kmu lagi di parkiran😡💔☹️",-8,NEGATIF
124,@schfess Punya ku PTM kelas 12 sama 10 karena kelas 11 lagi Pkl,-9,NEGATIF
125,"@shaabisabigwin_ iya sekolah disni masih PTM, ga enakk ini aku aja pengen pulang😁 sekolah kamu pjj ya?",17,POSITIF
126,"@convomf Ptm, tapi aku bolos hehehe",-1,NEGATIF
127,kok sekolah lain masih ptm aku kan juga mauuu,6,POSITIF
128,"RT @fadlizon: Luhut Tolak Permohonan Anies Setop PTM, Fadli Zon: Siapa Nanti yang Bertanggungjawab? https://t.co/31KGvvRbTM",-2,NEGATIF
129,@seulovelyy Pjj rasanya emng beda sm ptm. Pdhl guru ngasih tugas kek biasa,8,POSITIF
130,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",6,POSITIF
131,"@CNNIndonesia Ngelesnya bisa aja, bekasi bogor aja udahan stop ptm wkwk",1,POSITIF
132,"RT @rssieez: @subschfess yhahhahahahahaha, emg  labil. udah dibilang mendingan pjj dulu sampe bener-bener aman, biar gak gini ptm bentar tr…",1,POSITIF
133,@sunkidraft gue klo ptm 50% shift dua malah mingdep nya bukan siang nya,-4,NEGATIF
134,ptm ptm bullshit. gw ke mall sekitar jam 12 lebih aja anak SMA udh pada nongkrong disono abis dari skolah. https://t.co/5b3n6TkaDw,0,NETRAL
135,"Tiba2 ptm, tiba2 kehilangan seseorang di dunia ini, tiba2 siklus keseharian berubah, tubuh mulai adaptasi, dan kabar buruk lagi² menerpa.",-15,NEGATIF
136,ptm cape banget tapi seruu,2,POSITIF
137,@journaIiest seru ptm,5,POSITIF
138,"gue ga masalah sih ptm, tp jangan pake shift lah anjritt gue kan absen akhiran yaa so pasti dapetnya shift 2 alias siang ga enak bgt. mending langsung ptm 100% aja gasi biar ga ribet?? ato ga pake sesi. seminggu sesi 1, seminggu sesi 2",-10.5,NEGATIF
139, @dearhika Ih sekolahnya masih ptm ya? Enak banget :((,1,POSITIF
140,RT @DewiTuwuh: Udah ada ini yg terbaru. Opsi ptm 50 persen juga ijin ortu ada https://t.co/SX4iXNOCfr https://t.co/LGIcMkwEYz,16,POSITIF
141,"Terkejut kalo habis ptm 100%, terus 50%, habis itu 25% dan pjj

Duar🤯",5,POSITIF
142,"RT @mysubuh: 1-2 positif di perkantoran,
Perkantorannya lgs tutup

1-2 positif di pasar, pasarnya lgs tutup

1-2 positif di sekolah, PTM lg…",11,POSITIF
143,@CNNIndonesia Klo menolak PTM... skln cabut PPKM di slrh Indonesia opung !!!,-13,NEGATIF
144,"@subschfess wah ak speechless pada rep jam 9, aku ptm ampe jam 12 mau daring mau pjj sama aja",25,POSITIF
145,Lagian emang belum siap buat ptm tapi dipaksain https://t.co/vfK2uzf1Rl,1,POSITIF
146,pgn ptm deh,3,POSITIF
147,@schfess healingku diem dikamar jadi ptm terzigza,-2,NEGATIF
148,"@xenephoria aku tim ptm!! pelajarannya lebih masuk ke otak, lebih semangat juga, bisa ketemu temen"" dan masih banyak hal positif kalo ptm😉. kalo kak zahfran gimana?🤨",9,POSITIF
149,"RT @freedomsya: @subschfess absolutely ptm nder, why? karena introvert atau extrovert, kita sama-sama butuh interaksi sosial untuk menunjan…",3,POSITIF
150,"@hnurwahid @aniesbaswedan Lah baca beritanya yg lengkap om ganteng, Pemda boleh kurangi PTM jadi hanya 50% seperti di daerah lain dgn level yg sama. Ortu juga boleh melarang anaknya utk tdk ikut PTM. Apanya yg tdk bertanggung jawab om? Anda boleh dukung org tertentu tapi jgn subjektif",8,POSITIF
151,@caprifvck Iyaa ih;( tapi tkut kl ptm,-5,NEGATIF
152,"RT @JoChristieHuang: Pandemi masih panjang, daripada ribet paksain PTM mendingan modifikasi kurikulum supaya sesuai dengan new normal dan g…",-7,NEGATIF
153,"@cremeiylatte Iya sama, tp klo ptm takut jga;(",3,POSITIF
154,"@StopPlandemit Ini pernyataan mas mentri @nadiemmakarim gak dianggap apa perihal PTM

Sadar yuk...
Generasi sekarang sedang dibododohkan dan kita pun dimiskinkan dengan alasan corona. https://t.co/l7HjteND4v",3,POSITIF
155,"@tanyakanrl Engga sih, ini aja lagi ptm 100% pula",-2,NEGATIF
156,"RT @bisnis_h: @CNNIndonesia Keliatannya opung ingin lihat pada jatuh sakit itu kan jadi proyek lagi, tp gak mau PTM stop, hanya berkurang d…",2,POSITIF
157,"@schfess ptm 50% asik sih, capeknya tuh masih bisa ditahan buat pjj minggu selanjutnya🥲",5,POSITIF
158,"@schfess kalo d sekolah gw engga, waktu itu ada test pcr berjamaah, dan kls 11 itu negatif smua, dan yg kena kls 12 sm 10 aja.
jadi kemaren tuh yg ptm cm kls 11 aja dan yg pjj kls 10 sm 12, eh hari ini malah smua yg pjj, asu

dan yg awal jd penyebab test pcr berjamaah itu berawal dr anak-",-33,NEGATIF
159,@timeforngambis Engga ini masih ptm biasa,2,POSITIF
160,"Tidak Loackdown.
PPKM diharuskan.
PTM tidak dihentikan.
Kerumunan dipertontonkan. 
Bisanya Orang - orang yang sengaja membingungkan Umat itu. 
Sebelum mati ditunjukan kepada mereka Azab yang pedih sebagai cerminan ke-yang lainnya. https://t.co/Athkv6Ygqv https://t.co/njuIXEHE1e",-3,NEGATIF
161,"kalo daring tu udh ga dijelasin tugasnya bejibun lagi astaghfirullah, kalo ptm mah sekolah isinya penjelasan materi kerkom sama praktek mendingan lah jarang dapet tugas + ngerti materi",5,POSITIF
162,"@iCroffles enak dongg, tp mingdep balik lagi ptm 100%",-1,NEGATIF
163,RT @realAbikaTrader: @marlina_idha Biar masyarakat tau kalau keputusan PTM itu ternyata wewenang Pemerintah Pusat. Selama ini saya menyangk…,2,POSITIF
164,"@tanyakanrl belum ada kepastian asli sih, cuma katanya bakal ada ptm 50% lagi D:",3,POSITIF
165,"@subschfess ptm lebih paham sm pelajaran nya, enak jg gada kendala grafik sm jaringan",14,POSITIF
166,"@adisukardi @old_soldier1023 @Dikbudmalangkot @yusufgunawan @ipoksamidub Dari info yang kami terima, SD Sabilillah sdh melakukan penyesuaian proses PTM menyikapi temuan kasus.  Puskesmas @pkm_cisadea jg sdh diinformasikan hal tsb utk tindak lanjut 3T.  Jadi tidak benar bahwa ada yang ditutupi thd kasus tsb.  Tks.",nan,POSITIF
167,"@xigfao Masih PTM, cuma ekskul nya aja yang ditiadakan buat sementara ini",-6,NEGATIF
168,"back to setiap hari bangun jam segini, PADAHAL UDAH SENENG KALO PTM 100% TUH AKUNYA LEBIH PRODUKTIF HUHU SEHARI HARINYA LEBIH TERTATA",15,POSITIF
169,"@rulosttt Lebih seru ptm gasiii, gw butek ajg pjj",-4,NEGATIF
170,"@convomfs PTM LAH, KLO PJJ GAPAHAM MATERI",-5,NEGATIF
171,"@Bundsary Thankyouuu~
Iy nih, dikasih tau rabu besok baru ptm lagi... itupun semoga gk dikelompokan A/B lg 😔🤚🏻",-4,NEGATIF
172,"@myfavjjie gue emang dari dulu pjj harusnya besok Senin ptm 4 the first time in forever, tapi kata pemerintah di suruh pjj in 2 minggu gara-gara omicron(?) WAH APAKAH INI AKAN MENJADI LIBUR 2 MINGGU TAPI 2 TAHUN SEASON 2?😱😱😱",-8.75,NEGATIF
173,"RT @HoneyBee2024: @Mdy_Asmara1701 Laksanakan yang terbaik buat rakyat....jangan hiraukan suara pejabat
https://t.co/Nw4H6iv2to",2,POSITIF
174,"Di sekolah karena ada 3 pilihan, boleh ptm, pjj atau campuran. Tapi demi kebaikan anak2 yg blm bisa kontrol diri, kita pilihlah pjj lagi. Emg sekarang udah ga bisa harapin pemerintah, udahlah lindungin keluarga masing2 aja 🥲 semoga Allah SWT yg tolong. https://t.co/V8YGP6pvta",26,POSITIF
175,senin balik pjj ya? enakan ptm,2,POSITIF
176,Kata gue jangan percaya tanggal 9 ptm,-10,NEGATIF
177,"@convomf di daerahku udah level 3 ,ada anak sekolah yang udah kena covid juga ,tapi ptm tetep jalan tu ,aturan si di liburin yaa sebelum makin luas lagi penyebarannya",12,POSITIF
178,Plisss PTM!! MAU KETEMU MAS R BANGETT LOH,4,POSITIF
179,"@dr_koko28 Dok, PTM nih dok gmn nih ? 2 sekolah anak saya tutup gegara bnyk yg terpapar, trs @jokowi bilang isoman 5 hari pasti nanti jd acuan pihak sekolah, ini anak sy isoman dah sminggu lbh blm hilang batuk²nya dan radangnya msh positif..",-1.75,NEGATIF
180,"@subschfess PJJ, karna kl PJJ tu lebih gampang bagi waktu dan bisa ngontrol diri. kl PTM tu kyk cape bgt, blm less nya, blm lagi nnt belajarnya. selama aku PTM kyknya hampir gk pernah belajar deh, selain les.",-12,NEGATIF
181,@jaeminatural engga wkwkwkwk males ptm,-4,NEGATIF
182,@myfavjjie GUE KANGEN OLAHRAGA HUHUHU MANA GA JADI PTM HUHUHU KANGENNNN,0,NETRAL
183,Blum ada dokumentasi PTM udh daring ajaaaaaaaaa,10,POSITIF
184,"Mantap , PTM tetap dilanjutkan, bosan anak anak belajar di kasur terus https://t.co/R083S0sTHy",-4,NEGATIF
185,"@bbylinoo Aku makan roti tadi, ohh berarti ga langsung semuanya ptm ya hsksks btw semangatt buat hari inii (｡･ω･｡)ﾉ♡(｡･ω･｡)ﾉ♡",9,POSITIF
186,"@satriohendri Jadi sudah pasti kan, siapa yang harus bertanggung jawab apabila peserta didik dan tenaga kependidikan tumbang gegara permohonan penangguhan PTM-100% yang ditolak. Suka-suka lu aja deh, mumpung lagi kuasa dan bisa mengatur segalanya.",26.25,POSITIF
187,@luvlytaejin aaa iya aku juga sama gt katanya mingdep udah ptm tp klo situasi nya semakin naik keanya ada perubahan,15,POSITIF
188,"Kalau nekat masih gelar PTM artinya dia 
Pejabat Tidaktahu Maluuuuuuu",6,POSITIF
189,"Saya mendukung untuk pembatalkan sementara kebijakan PTM di sekolah-sekolah demi menghindari penyebaran virus yg belum diketahui. Takutnya anak sekolah pada jadi zombie kayak di Korea, kan ngeri. Jujur blm kuat untuk lari-larinya.",-7,NEGATIF
190,"cape banget sama ptm, banyak tugas kelompok 😠",-1,NEGATIF
191,"Plis, aku belum ngerasain ptm 100% setidaknya kasih 1 Minggu ptm 100% baru pjj lagi hehehehehhehe",1,POSITIF
192,"PTM sudah saatnya dihentikan sekarang juga sebagai bentuk pencegahan keterpaparan virus Covid-19 varian Omicron
https://t.co/VcJWpxH1Pq
#evaluasiptm #jawabarat #infojabar #infobogor #omicron #covid_19 #covid19indonesia https://t.co/5ZQmc559QP",6,POSITIF
193,"@schfess Aku pjj nder, cuman katanya mingdep ptm
Tapi tadi pagi dpt kabar katanya akal pjj mingdep, ga jadi ptm gatau bener apa ga :""",3,POSITIF
194,Ya Allah ga minta di balik atau balikan cuma minta biar ptm trs biar bisa liat senyumnya dia:),14,POSITIF
195,"yang gw males dan ga suka tuh gini nihh, kalo daring tugas nya suka ga ngotakk banyak bangettt, lebih capek 2 kali lipat di banding ptm",12,POSITIF
