tweet,Perbaikan
"@leendino Ooo sama nih dom ku jg zona merah tapi sekolah msh ada niat balik ptm 😭😭, stay safe yaaa",ooo sama dom zona merah sekolah ada liat balik ptm stay safe yaaaa
mau ptm aja ribet banget persyaratannya,mau ptm aja ribet banget persyaratannya
@joshujiee Emg blm pernah ptm ato balik pjj lagi?,emg belum pernah ptm balik pjj lagi
"ngga usah ptm 50% lahh, pjj aja udh ampe lulus 🙂",usah ptm dahh pjj aja sudah sampai lulus
gua mau ngomong “besok ptm anjing bangun pagi woi?” juga ga mempan😭 https://t.co/Xbf8oiz2vh,gua mau ngomong besok ptm anjing bangun pagi woi mempan
@wolfbitieee enakan ptm lah,enakan ptm
Hari trakhir PTM harus banyak jajan banyak foto 😗,ptm banyak jajan banyak foto
Di hari terakhir PTM kmren dah nangis aku,ptm kemarin dah nangis aku
@schfess aku mau ptm 50% !!! pls kangen bgt,aku mau ptm pls kangen banget
"@cetenotpete waktu itu udh ptm, cuman di daerah ku lagi zona merah",sudah ptm cuma darah lagi zona merah
"@ketek_biass aq lebih suka ptm, dpt uwang saku byeeee🥰🥰🥰🥰🤗😌🤪",biasa aku lebih suka ptm dapat uang saku bye
"pdhl ya, klo ptm mah pasti banyak jamkos ini... cpetan ptm lagi donk 😓",kalau ptm mah pasti banyak jam kosong cepet ptm lagi dong
ini lah mengapa sy lebih suka PTM,saya lebih suka ptm
"@convomf Gw sih mau pjj aja , soalnya ptm ga punya temen. Mainnya circle''an. Mau ikyt gabung responnya pada gimana gitu, kaya dikacangin trys",gue mau pjj aja soalnya ptm punya teman mainnya circle mau ikut gabung responnya kaya dikacangin
YAAA GUA SEDIKIT NYAMAN PTM SI https://t.co/zRcHoL87WD,yaaaa gua sedikit nyaman ptm
 @PemkotMalang @adisukardi @Dikbudmalangkot @yusufgunawan @ipoksamidub @pkm_cisadea C50Semoga smua sekolah bisa menyikapi dg bijak dan cepat mengambil keputusan terkait temuan disekolahnya utk kasus aktip biar ga nyebar.btw pie min keputusan SE PTM 50% di kota malang? Kok gak ada kabar?,semoga semua sekolah menyikapi bijak cepat mengambil keputusan terkait temuan disekolahnya kasus aktif biar nyebar by the way pie min keputusan ptm kota malang ada kabar
"Mamam tuh SKB 4 menteri. Dl pas yg vaksin br org dewasa, 18 tahun k atas. Anak” umur dibawahnya yg malah harus masuk. Giliran banyak yg kena br anak” umur 6 tahun k atas divaksin. Tp ttp anak usia PAUD wajib PTM. Ini begimana cb pikirannya. https://t.co/iKjRQ1omJF",mamam skb menteri l vaksin b dewasa atas anak umur dibawahnya malah masuk giliran banyak kena anak umur divaksin tetap anak usia paud wajib ptm beriman coba kiranya
Eug sih ogah ya ngizinin adek gw ptm kalo kondisinya begini. https://t.co/QTBvnxbCrM,emg ogah diizinin adek gue ptm kalau kondisinya begini
@cetenotpete ptm tp skrg libur,ptm sekarang libur
IH MENDING PJJ DAH DARI PADA PTM 50%,eh mending pjj dah dari ptm
"@SINDOnews Jangan Menunggu Meledak baru distop, stop PTM agar tidak meledak 
NAMANYA JUGA ANAK ANAK, WAJAR SAJA 
PTM Tidak Distop ? Begini Fakta Yang Terjadi. Di Sekolah Prokes Bisa Dikontrol di Luar Sekolah ? Apalagi Guru Guru, Boosternya Sudah Sangat Terlambat 
https://t.co/hCssmAOKqS https://t.co/CpK9e3txoQ",jangan menunggu meledak distop stop ptm agar meledak namanya anak anak wajar saja ptm distop begini fakta terjadi sekolah prokes kontrol sekolah guru guru boosternya sudah sangit terlambat
@odetohanniee Emg blm mulai ptm ato ada yg positif jadi pjj lg?,emg belum mulai ptm ayo ada positif jadi pjj lagi
@cetenotpete ptm tp meliburkan diri xixi,ptm meributkan diri xixi
"@ljnchoco Enak ptm ga sie, dapat uang jajan😭",enak ptm pie dapat uang jajan
Dah seneng2 kmrn ptm eh bngst di ruqyah dulu seminggu,dah seneng kemarin ptm eh bangsat ruqyah
alo guys seharusnya gw hari ini ptm tp krn gw lg gaenak badan kurang fit jd gw ikt pjj di rmh,halo guys gue ptm karena gue lagi enak badan kurang fit jadi gue ikut pjj rumah
"ahehsgehe padahal udah seneng bisa sekolah bareng dia soalnya pas ptm 50%  gak ketemu,, ehh pjj lagi 🤬",penggede sudah seneng sekolah bareng soalnya ptm ketemu ehh pjj lagi
"@subschfess pjj pengen pjj, ptm pengen ptm🥴😻",pjj pengen pjj ptm pengen ptm
@Askrlfess Yg bikin aku ga percaya indonesia bisa mulai ptm :),aku percaya indonesia mulai ptm
@wonIucu aku harusnya ppj cuma 2 minggu tp diperpanjang sampe 1 bulan 😿😿😿 aAAA MAU PTM 😿,aku pjj cuma diperpanjang sampai yaaaa mau ptm
"walau aku males sekolah, tpi g gini juga kali woi masa PTM 50% lagi😭",walau aku males sekolah woi masa ptm lagi
ptm jadi 50% trs dipisah anak absen atas sm absen bawah. tapi temen gue adanya di absen atas dan gue absen bawah :((,ptm jadi pisah anak absen atas sama absen teman gue apanya absen atas gue absen
"@xxasj_i iyaa, tp sekolahku dari awal emg cuma 50% ptm dan itupun bebas pilih mau ptm/pjj tapi aku pilihnya pjj hehe jadi aku gapernah ptm👍🏻",iyak sekolah dari awal emg cuma ptm bebas pilih mau ptm pjj aku salahnya pjj jadi aku gapernah ptm
@schfess Baju rumah lah lo semua alias SAYA IRIII MAU PTM JUGAA https://t.co/I2WgEysi7e,baju rumah semua alias saya iri mau ptm
"@GAHunterFess Pengen beliin anak masker aja sih, soalny dia udh mulai PTM setiap hari🙈",pengen beliin anak masker aja soalnya sudah mulai ptm setiap
"'hilih dia mah cuma pengen pemes sama anak laki laki'  ucap seseorang,  yg skrg malah sibuk sma ank cowo kumpul ketawa"" brg, rada iri karna dia ngambil ayang gw anjir...  Padahal kan sebelum ptm full dia soft bgt sm gw,  nah giliran udh ptm full malah diambil cewe itu anjir...",halah mah cuma pengen peles sama anak kaki kaki ucap seberang sekarang malah sibuk sama anak topo kumpul ketawa bareng nada iri karena ngambis sayang gue anjir sebelah ptm full shit banget sama gue giliran sudah ptm full malah ambil pere anjir
"ptm : dapet duit, ilmu lebih gampang nyantol, ketemu temen (resiko : angka covid naik)
pjj : bisa sambil rebahan, ga sebegitu capek kaya ptm (resiko : ilmu kurang nyantol)
^^ persepsi gue",ptm dapet duit ilmu lebih gampang nyantol ketemu teman resiko angka covid naik pjj sambel rebahan segitu capek kaya ptm resiko ilmu kurang nyantol perseptif gue
"@CNNIndonesia Berarti gak bahaya, atau kalau DKI menutup PTM, Luhut takut rakyat minta penerbangan luar negeri jg ditutup, jadi gak ada alasan melonggarkan pendatang dari luar negeri.",berarti bahaya kalau dki menutup ptm luhut takut rakyat minta penerangan negeri ditutup jadi ada alasan kelonggaran pematang dari negeri
"RT @francmohede: Dengan keraguan tinggi gue juga senang dan dukung banget anak2 bisa PTM, termasuk Masgub @aniesbaswedan yang juga punya an…",kebagian tinggi gue senang dukung banget anak ptm termasuk masgub punya
"Aku sedih liat covid udh naik bgt, tp PTM gak diberhentiin. Padahal cluster PTM udh banyak bgt.",aku sedih liat covid sudah naik banget ptm berhentikan cluster ptm sudah banyak banget
"@convomf temen sekelasku gitu semua nder, batuk batuk juga, mana lagi ptm",teman salahku semua nder batuk batuk lagi ptm
"@gupismile skrg lgi pjj, tpi kmrin ptm semoga minggu depan ptm",sekarang lagi pjj tai kemarin ptm semoga ptm
gimana yaa sebenernya ptm dan pjj ada plus minus nya sendiri dan gue disini sebagai team netral sieh 😎😎,eaa sebenernya ptm pjj ada plus minus sendiri gue disisi sebagai team netral
@wajaar Semangt ya yg belum ngerasain ptm,semangat belum ngerasain ptm
senin udh ptm :),sudah ptm
Aku pikir Pak Anies cukup punya pengetahuan utk  mengusahakan PTM tetap aman. Atau usaha-usaha lainnya utk menjaga warganya tetap aman. https://t.co/6kjtIri4ql,aku pikir anies cukup punya pengetahuan mengutarakan ptm tetap taman usaha usaha lainnya menjaga warganet tetap taman
"@schfess @aqyuiver Teori pjj gapapa tapi tolong praktek dibisain ptm terbatas gpp deh;-; anjir tekor duid gua beli alat praktek, bahan, dsb😭pen ngerasain megang alat praktek sesuai standar yg berlaku di industri, bentar lg lulus ntr di perusahaan kek org tulul;-;",beri pjj tolong praktek dibisain ptm terbatas spp deh anjir ekor duit gua beli alat praktek bahan sewajarnya pengen ngerasain memang alat praktek sesuai standar berlagu mendustai bentar lagi lulus bantar perusahaan kayak tolol
@marlina_idha Terus jikalau di Jakarta omicron cluster ptm meledak maka yang salah pastilah Anies Baswedan...,jakarta omicron cluster ptm meledak make salah pastikan anies baswedan
@Pockyyycocolate sama kayak kelasku kalo ptm,sama kayak kelabu kalau ptm
"dok adek aku mulai dr kemarin udh wajib ptm 100%, eh ternyata pas ud nyampe rumah diumumin di grup ada yg + di kelasnya dan adekku termasuk yg kontak erat sm yg +. Skrg adek aku lg isoman, kira2 kalo mau test pcr/antigen kapan yaa waktu yg tepat? Makasihh yg udah jawab ❤",dok adek aku mulai dari kemarin sudah wajib ptm eh ternyata sudah nyampe rumah diumumin grup ada kelasnya adek termasuk kontak erot sama sekarang adek aku lagi isoman kira kalau mau test pcr antigen eaa tepat makasih sudah jawab
"@schfess sebenernya aku juga lebih suka ptm karena lebih ngerti, tapi kasusnya lagi tinggi banget, aku ngekos lagi, jauh dari keluarga, amit amit tp kalo kena gimana? kan takut juga...",sebenernya aku lebih suka ptm karena lebih ngerti khususnya lagi tinggi banget aku ngenes lagi jauh dari keluarga amit amit kalau kena takut
"@yhambiz Oh gitu, semoga segera ptm lagi yaa. Semangat didit!!",oh semoga segera ptm lagi eaa semangat didih
"@agachkp sebenarnya ptm, krn jadi paham materi, tapi pgn pjj lagi Krn capek",sebenarnya ptm karena jadi paham materi pengen pjj lagi karena capek
"@collegemenfess yay aja, kalo PTM biasanya dosennya ngasih waktu istirahat si buat maksi",yay aja kalau ptm biasanya dosen ngasih istirahat buat saksi
"@onyonrm_ark gwehj ptm anjrit😭, udah donggg",gue ptm anjir sudah dong
"Drama ngeyel ala gottbener, daerah lain saja bisa menghentikan PTM kenapa DKI gak bisa https://t.co/prsM5jgi5H",drama nyesel bala bener darah lain saja menghentikan ptm dki
ya allah aku kapan ptm,allah aku ptm
@schfess Ada juga yg sukanya jalan-jalan ketika disuruh ptm malah takut kena 😭 dikira jalan-jalan itu kebal apa,ada susahnya jalan jalan kesima disuruh ptm malah takut kena dikira jalan jalan tebal
"@hipeaches_aem dl nya si masih lama soalnya ngumpulinnya pas ptm, tapi bnyk ada 7 tugas 🥲",dulu lama soalnya seumpamanya ptm banyak ada tugas
IH GAMAU PTM 50% :((((((,iih gamau ptm
"Viralken aja, yg jelas pak Anies sdh berusaha krn arogansi si lumut maka permintaan tutup PTM ditolaknya
#PermintaanTutupPTMditolakLuhut https://t.co/WKsC8Oinka",viralkan aja jelas anies sudah berusaha karena arogan lumut make bercintaan tutup ptm ditolak
"Bangun pagi, gosok gigi, terus mandi, PTM lagi..",bangun pagi gosok gigil mandi ptm lagi
"Walau emg kdg suka ngeluh bgt kenapa aku gini gitu, tp selalu aja ada kejadian yg bisa bikin aku mikir ih tuhan tuh baik bgt sm aku. Sama ini, krn skrg online, aku jd lbh bisa belajar utk ujian wkwk gatau kenapa aku sejak ptm malah makin males belajar😭😔 udah males, tambah males",walau emg kadang suka ngeluh banget aku aja ada kejadian aku mikir iih tuhan baik banget sama aku sama karena sekarang online aku jadi lebih belajar ujian wkwk gatau aku sejak ptm malah makin males belajar sudah males tambah males
"@subschfess gx, ak mw ptm aj. tapi jujur ngeri jg kalo ada yg +, tapi ptm jangan ada tugas kelompok dong. mls bgt",aku mau ptm aja jujur ngeri kalau ada ptm jangan ada tugas kelompok dong mls banget
"ptm lagi aja lah anjing, kena semprot mulu gue kalo di rumah.",ptm lagi aja anjing kena semprot mulu gue kalau rumah
"@kidd00st belum sumpah, dari 2019 gapernah ptm",belum sumpah dari gapernah ptm
"sebel, sekolah gue senin depan udh mulai ptm 25%",sebel sekolah gue sudah mulai ptm
"SEKOLAHKU YANG TADINYA PTM FULL, JADI PJJ LAGI T — T",sekolah tandanya ptm full jadi pjj lagi
ANJ DEH PTM AJALAH MALES GW PAKE NI LAPTOP TAI,anjing deh ptm ajalah males gue pakai laptop tai
@wajaar eh serius semester ini blm ptm samsek?,eh serius semester belum ptm sama sekali
ptm 50% gajelas ngangngong ngantuk lagi,ptm gajelas ganggang ngantuk lagi
"RT @tjapoenglaut: Presiden suruh evaluasi PTM. 
usulan kepala daerah ditolak Lord. 
kementrian pendidikan Mingkem. 

gini gini banget Tata…",presiden suruh evaluasi ptm usulan kepala darah ditolak lord kesendirian pendidikan mingkem banget tata
"@Lizliz06506641 @schfess ih persis bgt kaya kelasku, apalagi lagi ptm gini kan dibagi 2 sesi. jd tambah krik krik kelasku",iih persis banget kaya kelas lagi ptm bagi sesi jadi tambah krik krik kelabu
"@poIisi lebih suka ptm, ujian online",lebih suka ptm ujian online
"@collegemenfess gw seneng si sama kampus gw, ptm cuma buat matkul yg ada asitensinya, sisanya, online, ya walaupun 4 dari 7 matkul ada asistensinya",gue seneng sama kampus gue ptm cuma buat mata kuliah ada situasinya bisanya online walau dari mata kuliah ada situasinya
wtf?!?@? kok bisa dia bilang kaya ginii sumpah pola pikir nya agak agak ni kalo lo suka ptm ya yauda anjir di keep aja gausa bilang orang suka daring sama dengan di bully di sekolah.. as usual we knooo bully juga merupakan hal yg gabisa dibuat sebercanda kaya komenan lo ini https://t.co/3V8BGPlIuf,what the fuck kaya sumpah pola pikir agak agak kalau suka ptm yaudah anjir keep aja gausa suka daring sama bual sekolah bual hal dibuat bercanda kaya komenan
ptm ptm kntol tgs kelompok mulu,ptm ptm kontol tugas kelompok mulu
"@dearhika Ih enak ptm :(
Iya sekolah aku udh pjj lagi. Ga suka😔",iih enak ptm iya sekolah aku sudah pjj lagi suka
@missufe Aaaaa aku lagi PTM jadi ga sempet aaaaaa,yaaaa aku lagi ptm jadi sempat aaaaaa
enakan ptm full daripada sesi sesian😞😞,enakan ptm full sesi sesian
"RT @EkoTamba: Manusia Indonesia, mendukung bgt penerbangan internasional buka, tempat wisata buka, tp ga setuju PTM. Lah pada pengen libura…",manusia indonesia mendukung banget penerangan internasinal buka tempat wisata buka setuju ptm pengen liburan
SERIUSS PTM 50% LAGI?? 😭 YAUDAH GAPAPA DEH DRIPADA FULL ONLINE,serius ptm lagi yaudah deh full online
"gua ngerasain ptm aja belom, skrng udh pada balik daring",gua ngerasain ptm aja belum sekarang sudah balik daring
"kan udah kubilang 0m1cr0n naik, krs-an trobel terus sampe hari terakhir, berarti ngga direstuin buat ptm",sudah bilang main naik krg dobel sampai berarti direstuin buat ptm
@fessthai Kgett lewat pas lg ptm😂,kaget lewat lagi ptm
"Pelajar dilarang PTM, pintu masuk keluar negeri dibuka lebar-lebar

Pembunuhan karakter. Norak!! https://t.co/w75yVBXSnP",pelajar dilarang ptm lindu masuk keluar negeri dibuka lebar lebar pengukuhan praktek borak
"Humm gue tim ptm sih, tp ga 100% dan prokes nya harus lebih ketat, kasus nya bertambah juga bisa aja karena cuaca lagi ga menentu dan bikin imun jdi menurun jadi kalo kerasa ga enak badan dikit mending izin ga sekolah lagian kalo pjj juga sama aja ttp banyak orang bakal keluyuran https://t.co/B1cwj4lDsS",huma gue tim ptm prokes ketat kasus bertambah aja cuca lagi menentu bikin imun jadi menurun kalau kerasa enak badan dikit mending izin sekolah lagian kalau pjj aja tetap banyak bakal keluaran
"ANJAY BANGET GUE DARING LAGI AMPE TGL 14,UDH NYAMAN SM PTM JUGA ☺️💔 https://t.co/GNlQhREFSA",anjay banget gue daring lagi sampai sudah nyaman sama ptm
@lkingsir sama anje tp gue ptm,sama anjir gue ptm
"PJJ lagi PTM singkat bngt. 
Gabisa liat kmu lagi di parkiran😡💔☹️",pjj lagi ptm singkat banget gabisa liat lagi parkiran
@schfess Punya ku PTM kelas 12 sama 10 karena kelas 11 lagi Pkl,punya ptm kelas sama karena kelas lagi pkl
"@shaabisabigwin_ iya sekolah disni masih PTM, ga enakk ini aku aja pengen pulang😁 sekolah kamu pjj ya?",iya sekolah ptm enak aku aja pengen pulang sekolah pjj
"@convomf Ptm, tapi aku bolos hehehe",ptm aku bolos heh
kok sekolah lain masih ptm aku kan juga mauuu,sekolah lain ptm aku mau
"RT @fadlizon: Luhut Tolak Permohonan Anies Setop PTM, Fadli Zon: Siapa Nanti yang Bertanggungjawab? https://t.co/31KGvvRbTM",luhut tolak permohonan anies stop ptm fadli zon nanti tanggung jawab
@seulovelyy Pjj rasanya emng beda sm ptm. Pdhl guru ngasih tugas kek biasa,pjj rasanya emang beda sama ptm guru ngasih tugas kayak biasa
"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg b…",aneh kesima covid sedang tinggi ptm dihentikan sementara kalau sudah handai ptm dilanjutkan
"@CNNIndonesia Ngelesnya bisa aja, bekasi bogor aja udahan stop ptm wkwk",kelasnya aja bekasi bogor aja udahan stop ptm wkwk
"RT @rssieez: @subschfess yhahhahahahahaha, emg  labil. udah dibilang mendingan pjj dulu sampe bener-bener aman, biar gak gini ptm bentar tr…",haha emg labil ubah bilang mendingan pjj dulu sampai bener bener taman biar ptm bentar
@sunkidraft gue klo ptm 50% shift dua malah mingdep nya bukan siang nya,gue kalau ptm shift malah
ptm ptm bullshit. gw ke mall sekitar jam 12 lebih aja anak SMA udh pada nongkrong disono abis dari skolah. https://t.co/5b3n6TkaDw,ptm ptm shit gue mall jam lebih aja anak sma sudah nongkrong abis dari sekolah
"Tiba2 ptm, tiba2 kehilangan seseorang di dunia ini, tiba2 siklus keseharian berubah, tubuh mulai adaptasi, dan kabar buruk lagi² menerpa.",tiba ptm tiba kehilangan seberang dunia tiba siklon kesehatan berubah tubuh mulai adaptasi kabar buruk lagi menerpa
ptm cape banget tapi seruu,ptm cape banget seru
@journaIiest seru ptm,seru ptm
"gue ga masalah sih ptm, tp jangan pake shift lah anjritt gue kan absen akhiran yaa so pasti dapetnya shift 2 alias siang ga enak bgt. mending langsung ptm 100% aja gasi biar ga ribet?? ato ga pake sesi. seminggu sesi 1, seminggu sesi 2",gue masalah ptm jangan shift anjir gue absen pasti dapetnya shift alias enak banget mending langsung ptm aja biar ribet sesi sesi sesi
 @dearhika Ih sekolahnya masih ptm ya? Enak banget :((,iih disekolahnya ptm enak banget
RT @DewiTuwuh: Udah ada ini yg terbaru. Opsi ptm 50 persen juga ijin ortu ada https://t.co/SX4iXNOCfr https://t.co/LGIcMkwEYz,sudah ada terbaru opsi ptm persen ijin tua ada
"Terkejut kalo habis ptm 100%, terus 50%, habis itu 25% dan pjj

Duar🤯",terkejar kalau habis ptm habis pjj duar
"RT @mysubuh: 1-2 positif di perkantoran,
Perkantorannya lgs tutup

1-2 positif di pasar, pasarnya lgs tutup

1-2 positif di sekolah, PTM lg…",positif perkantoran perkantoran langsung tutup positif pasar pacarnya langsung tutup positif sekolah ptm lagi
@CNNIndonesia Klo menolak PTM... skln cabut PPKM di slrh Indonesia opung !!!,kalau menolak ptm cabut ppkm seruh indonesia opung
"@subschfess wah ak speechless pada rep jam 9, aku ptm ampe jam 12 mau daring mau pjj sama aja",wah aku speechless jam aku ptm sampai jam mau daring mau pjj sama aja
Lagian emang belum siap buat ptm tapi dipaksain https://t.co/vfK2uzf1Rl,lagian emang belum siap ptm dipaksain
pgn ptm deh,pengen ptm deh
@schfess healingku diem dikamar jadi ptm terzigza,diem dihajar jadi ptm tersiksa
"@xenephoria aku tim ptm!! pelajarannya lebih masuk ke otak, lebih semangat juga, bisa ketemu temen"" dan masih banyak hal positif kalo ptm😉. kalo kak zahfran gimana?🤨",aku tim ptm pelajaran lebih masuk otak lebih semangat ketemu teman banyak hal positif kalau ptm kalau
"RT @freedomsya: @subschfess absolutely ptm nder, why? karena introvert atau extrovert, kita sama-sama butuh interaksi sosial untuk menunjan…",absolutely ptm nder karena introvert extrovert sama sama butuh interaksi sosial menunjang
"@hnurwahid @aniesbaswedan Lah baca beritanya yg lengkap om ganteng, Pemda boleh kurangi PTM jadi hanya 50% seperti di daerah lain dgn level yg sama. Ortu juga boleh melarang anaknya utk tdk ikut PTM. Apanya yg tdk bertanggung jawab om? Anda boleh dukung org tertentu tapi jgn subjektif",baca beritanya lengkap om ganteng pemda boleh kurang ptm jadi darah lain level sama tua boleh melarang anaknya ikut ptm tanggung jawab om boleh dukung jangan objektif
@caprifvck Iyaa ih;( tapi tkut kl ptm,iyak iih takut kalau ptm
"RT @JoChristieHuang: Pandemi masih panjang, daripada ribet paksain PTM mendingan modifikasi kurikulum supaya sesuai dengan new normal dan g…",pandemi panjang ribet paksa ptm mendingan modifikasi kerikil supaya sesuai nyet normal
"@cremeiylatte Iya sama, tp klo ptm takut jga;(",iya sama kalau ptm takut
"@StopPlandemit Ini pernyataan mas mentri @nadiemmakarim gak dianggap apa perihal PTM

Sadar yuk...
Generasi sekarang sedang dibododohkan dan kita pun dimiskinkan dengan alasan corona. https://t.co/l7HjteND4v",pendataan muas mentri dianggap perih ptm sadar yuk generasi sekarang kebodohan memikirkan alasan jorong
"@tanyakanrl Engga sih, ini aja lagi ptm 100% pula",aja lagi ptm puja
