,tweet,Perbaikan
36,sw temen ptm pjj nyaa elu ajaaa pjj fokus salahin ptm,sd teman ptm pjj nyawa elu ajang pjj fokus disalahin ptm
37,ptm ngerjain tugas,ptm ngerjain tugas
38,dihabiskan ptm tidur sksksk sika tudey ngapain niii,dimakan ptm tidur wkwkwk sisa tulen ngatain hiii
39,iyaaaakkk selolah drea pjj td sekolahan dibelakang rumah ptm,yaaaa sekolah ira pjj ta sekolah dibelakang rumah ptm
40,pjj santai ptm cepet paham materi,pjj santai ptm cepet paham materi
41,seneng ptm ulangan ptm karna berita duka gmn,seneng ptm ulangan ptm karena berita duka gang
42,kenape guru guru ptm ngeselin ngasik tugas aneh aneh,kenal guru guru ptm ngeselin ngasih tugas aneh aneh
43,mending ptm she,mending ptm shy
44,skolah swasta gtw mreka msi ptm ato hti dah ato negri,sekolah swasta gue reka isi ptm atom hai dah atom negeri
45,suka pjj santai males malesan bosen pengen ptm biar paham,suka pjj santai males malesin bosen pengen ptm biar paham
46,semangat ptm anehaneh sekolah,semangat ptm angan sekolah
47,yeochin wii semangatt aq ptm karna dikelas kena covid pjj,cercaan wiih semangat tq ptm karena ikhlas kena covid pjj
48,semoga ptm diberentikan deh kak jakarta udah sekolah ditutup gegara positif,semoga ptm dihentikan deh kak jakarta usah sekolah ditutup gegara positif
49,iya sihsy ngijinin anak vaksin mbak karna anak dr rawat rssy ambil resiko tau besok ptm,iya sisa giniin anak vaksin muak karena anak dr rawat shy ambil resiko tau besok ptm
50,kemarin ptm sesi pulang jam sekolah karna rapat pramuka,kemarin ptm sesi pulang jam sekolah karena rapat paduka
51,wduch kayanya beneran ptm meja udh wkwkw,duh katanya beneran ptm eja ugh wkwkwk
52,gajadi wkwk harapan ptm kalo sampe besok,gajadi wkwk harapan ptm kado sampul besok
53,kkl kalo ujungnya piknik males bnget dkn persiapan luring ptm kost dll,kzl kado gunanya pikir males inget daun persiapan luring ptm lost dol
54,ptm kebanyakan tugasnya kelompok,ptm kebanyakan tugasnya kelompok
55,udah aja awali semangat sekolah udah ptm belajar,usah aja awal semangat sekolah usah ptm belajar
56,anj lahh dah siapsiap taunya ptm,ana lah dah sia-sia maunya ptm
57,ak heran sm skolah ad kopit skolahny tetap adain ptm,fk heran smp sekolah sad kopi sekolah tetap daim ptm
58,ptm seindah diharapkan,ptm seindah disarankan
59,enak banget ptm ptm,enak banget ptm ptm
60,gua udh ptm jam tdrnya berubah ajaa parah,gua ugh ptm jam tuanya berubah aja parah
61,pjj gatau semenjak ptm semangat gua hilang trus ngga niat,pjj gatau semenjak ptm semangat gua hilang terus nggak kiat
62,ni kebijakan ptm ditinjau sekolah anak dah kejadian sd sma habis ptm keesokannya positif jadi merepotkan ptm kena tracing hrs sekeluarga pcr dll kenanya sekolah jadi cluster,ini kebijakan ptm dipantau sekolah anak dah kejadian sd sma habis ptm kesiannya positif jadi merapatkan ptm kena cacing ira berkeluarga pcr dol katanya sekolah jadi blaster
63,mangatzzz ptm zaaa have great day jugak yaaa,mangut ptm ana hate great dah juga yaaaa
64,wow temen sekolah ll uda positive mericon,wow teman sekolah lo upa positif merinin
65,positif kena tracing lbh seminggu ptm trus daringthn kemaren anak sistemnya,positif kena cacing lah seminggu ptm terus daring kemarin anak sistem
66,gamau pjj anjng udah enak bnget ptm,gamau pjj anjg usah enak inget ptm
67,duhhh cinta bersemi ptm kah,ihhh cinta bersemi ptm dah
68,sch ngga ptm capeek bgttt bentaran doang sekolahnya,sih nggak ptm capek butut bentakan doang sekolah
69,ak masi ptm full niii,fk nasi ptm full hiii
70,ptm belajarnya normal blik jam,ptm sewajarnya normal baik jam
71,enakk ptm pagi,enak ptm pagi
72,semangat ptm nyaa,semangat ptm nyawa
73,full ptm udah suruh pjj tugas kelompok benerr,full ptm usah suruh pjj tugas kelompok bener
74,ptm males bngt,ptm males begu
75,huaaa pjj trus nder huhu nyobain ptm,kuala pjj terus nder hulu iyain ptm
76,kalo bangun pjj ngantuk bngt ptm ngga,kado bangun pjj ngantuk begu ptm nggak
77,smoga ahok join ptm yaa,semoga ahli join ptm ya
78,okeyy deh udh ptm keknya,okeey deh ugh ptm kena
79,ptm dikasih uang jajan sepuasnya jadi ngambil trus sisanya simpen,ptm dikasih uang jajan semuanya jadi gembil terus bisanya simpan
80,kalo kaka mo ptm hehehe,kado kakas lo ptm jebeh
81,suka ptm capee poll,suka ptm cape pol
82,seminggu daring seminggu ptm daring gitu,seminggu daring seminggu ptm daring gitu
83,cuman mo sekarng giliran kls ak daring tinggal absen doangk kmren udah kasi tugas ptm,cuma lo sekarang giliran mls fk daring tinggal absen doang keren usah kasi tugas ptm
84,ptm huwaaaaaaa,ptm yuwaraja
85,ih bentar ptm bertemu ras manusia berasal ras trkuat muka bumi readwibu,hih bentar ptm bertemu rias manusia berasal rias terkuat muka bumi ready
86,semangat ptm,semangat ptm
87,enak jink maunya pjj cape bget ptm,enak jin maunya pjj cape inget ptm
88,pjj aih ptm mulu jaba tugas kelompok wae,pjj hih ptm mulu caba tugas kelompok tae
89,tau semenjak ptm males,tau semenjak ptm males
90,enak dongk absen doangk kmarin udah kasi tugas ptm,enak dongok absen doang kemarin usah kasi tugas ptm
91,ptm gara guru positif sekola tutup,ptm gara guru positif sekolah tutup
92,pjj jugaa hiks pengen ptm,pjj juga hias pengen ptm
93,ptm diberlakukan namanya nekat,ptm dibelakang namanya nekat
94,pjj udah mending seminggu masuk sistem absensi ganjil genap ketimbang ptm,pjj usah mending seminggu masuk sistem sensi ganjil genap setimbang ptm
95,semenjak ptm atm nyetor mulu,semenjak ptm atom menyetor mulu
96,pjj lagi tu sekolah aja ko skolahku masi ptm,pjj lagi tua sekolah aja kot salahku nasi ptm
97,knp hrs disaat ptm,ana ira saat ptm
98,enak sekalie msie ptm,enak sekali usia ptm
99,cityx sedihhh giliran udh nyaman ptm,cita sedihhh giliran ugh nyaman ptm
100,ptm seru tugas kelompok tepar,ptm seru tugas kelompok tepar
101,males bnget ptm dahh tidur,males inget ptm dahh tidur
102,ptm yaallah nyesek aksa kemana,ptm yaelah nyesek aksa seman
103,anak kelas sebelah kena sembuh biar ptm,anak kelas sebelah kena sembuh biar ptm
104,ptm ptm sakit gara kecapean dsb,ptm ptm sakit gara kecapan desa
105,camat pagi dri pjj huft semoga anak sebelah sembuh biar ptm amin,gamat pagi iri pjj hulu semoga anak sebelah sembuh biar ptm amin
106,semangatt ptm,semangat ptm
107,alo selamat pagi pjj enakan ptm,alot selamat pagi pjj enakan ptm
108,masuk ptm,masuk ptm
109,nataru dilonggarin sekolah dibuka ptm temen gua story swab udah rame abis liat,gatau dilonggarin sekolah dibuka ptm teman gua stori swab usah rame abis liat
110,ptm dapet jajan,ptm dapet jajan
111,temanku pda males berusaha bnget biar ptm smpe chat grup,teman ada males berusaha inget biar ptm smp chat grup
112,ptm tetep kesekolah karna kegiatan high semanga,ptm tetap sekolah karena kegiatan hih semangat
113,baca cerita tua curhat kegiatan ptm sekolah anaknya pusing bener dah nyawa anak,baca cerita tua curhat kegiatan ptm sekolah apanya pusing bener dah nyawa anak
114,ptm sakit badan materi nemplok kepala,ptm sakit badan materi rempak kepala
115,ngasih info ptm pagi pagi anjg gua udah rapih,ngasih info ptm pagi pagi anjg gua usah rapi
116,bayangin kesel ak kmrn libur tpi ngsih tugas aja karna guru pergi skrng tbtb disuruh,bayangin kesel fk keren libur api ngasih tugas aja karena guru pergi serang tt disuruh
117,ptm menyenangkan ulangan pake kertas,ptm menyenangkan ulangan paket keras
118,ptm tpi males jdi daring,ptm api males adi daring
119,pjj dah seruan ptm,pjj dah keruan ptm
120,ngga ptm capeek bgttt bentaran doang sekolahnya,nggak ptm capek butut bentakan doang sekolah
121,ptm seru seru bangun pagi,ptm seru seru bangun pagi
122,ptm anjir ni sangking emosi sampe typo,ptm anjir ini langking emosi sampul typo
123,pjj ptm ak sadar klau sekolah ku bener bener loss prokres,pjj ptm fk sadar lau sekolah kuy bener bener lost prokes
124,ngeri banget takut semester ptm,ngeri banget takut semester ptm
125,ngantuk banget untung ptm,ngantuk banget untung ptm
126,page of ptm temen temen ngira galak pantesan ngga deket ptm,page ok ptm teman teman nira galak pantesan nggak deket ptm
127,capek ptm ih iyaaaa,capek ptm hih yaaaa
128,udh gegara kabupaten level omicron ptm,ugh gegara taburan lever omicron ptm
129,pjj aja ptm ribet ngga santuy tugas makalah hard file,pjj aja ptm ribet nggak santun tugas masalah haru fine
130,ptm hihi semangatttt,ptm hih semangatin
131,jam tidur udah normal semenjak ptm,jam tidur usah normal semenjak ptm
132,alhamdulillah ptm sampe pjj deh,alhamdulillah ptm sampul pjj deh
133,bangun pagi gosok gigi cuci muka ptm,bangun pagi gosok gigil cuci muka ptm
134,semenjak ptm jatuh hati kafein,semenjak ptm jatuh hati kabin
135,semenjak ptm jarang mam mie instan,semenjak ptm jarang mam mil istan
136,bersin mulu takut covid parno aja ggra ptm,bersin mulu takut covid parno aja gara ptm
137,ptm istirahatnya gaada coba,ptm istirahat gaada coba
138,muridnya covid sekolahnya tutup wkwk lucu bnget suka bnget ptm buu,muridnya covid sekolah tutup wkwk lucu inget suka inget ptm buku
139,sehari ptm full ajshdnhddndjbd,sehari ptm full andini
140,ptm nambah ilmu dibuku internet walopun agk oot materi dipelajari,ptm tambah ilmu dibuka interes yampun agak bot materi pelajar
141,nggakk maksudnya feel kalo ptm gua siapin mapel sm mandi pagi eh kaga,nggak maksudnya rewel kado ptm gua biarin gatel smp mandi pagi teh kada
142,malesnya ptm gini bocil bngsat pd mencetin bel rumah gua asuuu pengen takol,balesnya ptm gini bedil bangsat kpd mencekik beol rumah gua sudu pengen takul
143,harian tetep maksain ptm terbatas,varian tetap makian ptm terbatas
144,untung dah dah ptm tidur suka jam,untung dah dah ptm tidur suka jam
145,yuhuuu pjj rumah ptm lagi mari siapsiap,huhuu pjj rumah ptm lagi mari sia-sia
146,mls ptm,mls ptm
147,ptm jdi jngn gua duduk jdi,ptm adi angan gua duduk adi
148,filing gua trakhir ptm,guling gua taksir ptm
149,enak ptm full anak smk kayak tu skolah jm smpe jm sore jdi plng skolah udh capek bgtt tpi hrus maksain,enak ptm full anak smk kayak tua sekolah jam smp jam sore adi plong sekolah ugh capek bot api harus makian
150,aaa malas bnget ptm,ana malas inget ptm
151,kyknya ptm distop lagi deh,kayaknya ptm distop lagi deh
152,dietkenapa semenjak ptm susah bnget,dekap semenjak ptm susah inget
153,ptm langsung jebret anak sekolah dijadiin kelinci percobaan omicron gimana,ptm langsung jebeh anak sekolah kejadian gelincir cercaan omicron wimana
154,ptm nder materi tugasnya ngerti ketimbang pjj abis ptm belajarnya asik bareng temen,ptm nder materi tugasnya ngerti setimbang pjj abis ptm sewajarnya asik bareng teman
155,cape habis kisaran ptm full,cape habis isapan ptm full
156,asli capek ptm ulangan math indo trus latihan sore sampe jam nyicil ngerjain tugas,asli capek ptm ulangan mahh indo terus latihan sore sampul jam nihil ngerjain tugas
157,ribet bnget coi udh kebiasa ptm,ribet inget doi ugh biasa ptm
158,nunggu positif ngelonjak gitu stop ptm gitu heran waras,nunggu positif gelopak gitu stop ptm gitu heran waras
159,kalo liat liat sekolah batu anjir udh tau kena covid ptm diliburin aja,kado liat liat sekolah batu anjir ugh tau kena covid ptm ditidurin aja
160,koko cov terdeteksi sekolah imho mas menteri mengevaluasi ptm,poko covid mendeteksi sekolah maho pas menteri mengawasi ptm
161,ptm enak ngerti materi tugas kelompok individu,ptm enak ngerti materi tugas kelompok individual
162,semenjak ptm bnget kebangun tidur abis reflek nangisngeluh capek,semenjak ptm inget kebangun tidur abis refleks tangguh capek
163,semoga jogja ikutan aduhhh udah enak ptm,semoga juga ikutan aduh usah enak ptm
164,laahhh sekolah diterapkan diharuskan dipaksa vaksin ptm,yahhh sekolah diterangin disarankan dipaksa vaksin ptm
165,ngga temen sebangku udah ptm full sekelas duduknya tetep kasih jarak gitu,nggak teman memangku usah ptm full sekolah lucunya tetap kasih jarak gitu
166,ptm karna uang jajan paham materi pelajari plusnya ketemu mas crus,ptm karena uang jajan paham materi pelajar punya ketemu pas arus
167,naiknya covid varian omicron sekolah online sdh landai kasusnya ptm,naiknya covid varian omicron sekolah life sd pandai kasus ptm
168,please pjj please pengen ngehabisin tersisa sblm lulus,please pjj please pengen penghabisan tersiksa silu lulus
169,jgn smpe ni tmn kmps terpapar gegara ptm awas ja dibatalkan ptm karna nunggu kena dlu,jin smp ini tun kompas terpapar gegara ptm awas ua disarankan ptm karena nunggu kena flu
170,bobo anjingg besok ptm,bodo anjing besok ptm
171,mencium aroma aroma ptm,mencium roma roma ptm
172,pagi ptm tidur,pagi ptm tidur
173,kurlebnya pjj alu jenuh enak jadi cape fisik ptm asik ktmu tmn,karena pjj lalu penuh enak jadi cape bisik ptm asik kamu tun
174,besok ptm anjirr gimana gabisa tidur,besok ptm anjir wimana gausa tidur
175,ptm berenti pliss stress gua dirumah tai,ptm berenti plis stress gua rumah tai
176,besok ptm gabisa tidur anyink,besok ptm gausa tidur andini
177,distop penularannya cepat pjj,distop penjelasannya cepat pjj
178,kalau ptm enaknya bs ketemu guru praktek ayey,kalau ptm naiknya es ketemu guru praktis yes
179,gueeee apaya suka ptm kbm aja sekolah,gue apanya suka ptm kam aja sekolah
180,sumpah gua ptm,sumpah gua ptm
181,sumpah kalo ptm prank banget semesta,sumpah kado ptm prank banget semesta
182,huh capek banget semenjak ptm udah jarang ngefangirl kaya ih bosen bnget kaya gini,hih capek banget semenjak ptm usah jarang ngeang kaya hih bosen inget kaya gini
183,ptm sorenya les skrng tidur,ptm soalnya yes serang tidur
184,siang tv an murid kena weh serem ptm persen,siang ta ana murid kena teh serem ptm persen
185,ihh besok ptm males banget,ihh besok ptm males banget
186,kampus gua rencananya semester udh ptm jujur seneng bnget degdegan juga udah masuk kelas,kampus gua rencana semester ugh ptm jujur seneng inget kedepan juga usah masuk kelas
187,omicron naiknya pencegahan ngga maksain ptm dlu nunggu kena,omicron naiknya pencegahan nggak makian ptm flu nunggu kena
188,kalo ku ptm penjelasan dipahami tugas dikit karna menekan pemahaman kalau pjj gila tugas,kado kuy ptm penjelasan dipahami tugas dikit karena menekan pembahasan kalau pjj gila tugas
189,ptm pelajaran meresap,ptm pelajaran meresap
190,semenjak ptm jdi jrng baca au,semenjak ptm adi jreng baca lau
191,sekolahku ngeluh sakit sendi flu batuk badan anget gitu udh ngalamin ptm,sekolah ngeluh sakit sedi flu batuk badan inget gitu ugh ngatain ptm
192,semenjak ptm kerjaan gua kalo tidur ketiduran,semenjak ptm kerjaan gua kado tidur ketiduran
193,wkwk tidur jam segitu kaaa wahaaa enak kaa males banget ptm,wkwk tidur jam segitu kada bahasa enak kada males banget ptm
194,pjj ptm gimana intine gitu,pjj ptm wimana insinye gitu
195,kemarin ngotot ptm kasusnya covid sekolah ngumpet,kemarin ngotot ptm kasus covid sekolah mengumpat
196,sekolah ptm kek healing ketawa cekikikan rumah kek gitu,sekolah ptm keki memaling ketawa pemikiran rumah keki gitu
197,udah semester ptm full tugasnya kek daring bedanya sekrang tugas,usah semester ptm full tugasnya keki daring berdansa serang tugas
198,cape ptm jujur,cape ptm jujur
199,gua msh main hp besok ptm,gua ish main php besok ptm
200,speechless pemda dki ngotot ptm ngotot jakarta lockdown,spesialis pemuda daki ngotot ptm ngotot jakarta lock
201,menemukan pelanggaran prokes pelaksanaan ptm persen,menemukan berlanggaran prokes pelaksanaan ptm persen
202,semenjak ptm stress stress anjng,semenjak ptm stress stress anjg
203,ky ponakan sy mak dok sy bersikeras ortunya jgn vaksin ptmdaring aja,kuy ponakan shy tak dok shy berkeras ortunya jin vaksin daring aja
204,yyy sbnrnya pjj enak ptm juga enak skrng omicorn mending pjj dlu deh ngeri cuy,yes gunanya pjj enak ptm juga enak serang omicron mending pjj flu deh ngeri kuy
205,gatau deh kelebihan gua butuhin pjj for uhuas dkk ptm gampang dimengerti,gatau deh kelebihan gua butuhin pjj asor muas dok ptm gampang mengerti
206,kemarin dah kena sekarng ptm,kemarin dah kena sekarang ptm
207,audeh nangis besok ptm huuuuuuuuuuuu,hadeh nangis besok ptm urut-urutan
208,shift lelah banget nget nget sekarng ngerjain tugas kalau pagi ngerjainnya takut selesai,shit lelah banget inget inget sekarang ngerjain tugas kalau pagi ngerjain takut selesai
209,aa udah lumayan nyaman ptm bentar otak ku bodoh,ana usah lumayan nyaman ptm bentar otak kuy bodoh
210,ptm pengen sesi aja hapalan bahasa inggris keagamaan pusing,ptm pengen sesi aja capaian bahasa linggis kelamaan pusing
211,teguran ingatkan berkali prokes diterapkan sekolah sanksi,teguran ingatan berahi prokes diterangin sekolah saksi
212,wagubnya ngotot ptm full time,maunya ngotot ptm full tipe
213,males ngotorin seragam buang bensin cmn pensi doang gt jadi ngapain mending rumah,males pengotoran seragam buang bersin sun sensi doang tt jadi ngatain mending rumah
214,ni kyknya sekolah udh pjj sekolah tetep ptm aneh,ini kayaknya sekolah ugh pjj sekolah tetap ptm aneh
215,cewe mending ptm tar biar bucin plek plek plek,rewel mending ptm tak biar kucing pilek pilek pilek
216,romansablue takut udah ptm,mangau takut usah ptm
217,sekelas positif covid kantin ama kopsis sekolah ditutup tpi tetep disuruh ptm,sekolah positif covid kantin ana krisis sekolah ditutup api tetap disuruh ptm
218,schfess ptm sakit pilek batuk dll,stress ptm sakit pilek batuk dol
219,schfess pjj karna ptm tmn ku asik tpi kalau pjj capek kuat ngerjain tugas masuk otak tpi kalau,stress pjj karena ptm tun kuy asik api kalau pjj capek kuat ngerjain tugas masuk otak api kalau
220,lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya kejar materi isinya gitu,lemes bye ptm bisanya kerja kelompok praktis laporan presentasi nanya kejar materi bisanya gitu
221,ptm ganti belajar online trus pelajar vaksin kemarin dipaksa,ptm ganti belajar life terus pelajar vaksin kemarin dipaksa
222,wow bercandain ptm dadakan nyaman ptm tugas numpuk numpuk,wow berdandan ptm dimakan nyaman ptm tugas numpuk numpuk
223,udh ptm ekskul jadi keteteran,ugh ptm kukul jadi ketetapan
224,ptm males banget,ptm males banget
225,ptm mending kl ulhar online aja,ptm mending kzl ulah life aja
226,takut pjj jjur sebenernya juga maless ptm ni tugas kelompok bnget gua males kalau ngerjainnya onlen onlenan ribet,takut pjj jujur sebenernya juga males ptm ini tugas kelompok inget gua males kalau ngerjain talen talenan ribet
227,semangat ptm gaada ayang,semangat ptm gaada ajang
228,nangis aja sekolahku sistem pjj bismillah ptm,nangis aja sekolah sistem pjj bismillah ptm
229,ptm kalo pjj nilai ku kesalip anak anak bersirkel,ptm kado pjj nilai kuy kesal anak anak bersendel
230,schfess males siswa guru buka masker ptm,stress males siswa guru buka master ptm
231,hoo kentut ptm kentut kentut,hot kentut ptm kentut kentut
232,dengar ptm tatap muka belajarnya kerjanya wfh udah,dengar ptm tatap muka sewajarnya kiranya wah usah
233,temen sebangku duduk karna blum ptm,teman memangku duduk karena blur ptm
234,prov ptm sekolahsekolah ditunda peningkatan harian,prosa ptm bersekolah itunya pengangkatan varian
235,ptm pjj membuatku malas belajar,ptm pjj membuat malas belajar
236,mending turu besok ptm tai kucing,mending turun besok ptm tai kucing
237,yolahh seneng pjj tpi ptm seruu,yodah seneng pjj api ptm seru
238,progress sempet up ptm fullday kebanyakan kerja kelompok,protes sempit upa ptm fulan kebanyakan kerja kelompok
239,wkwk ptm kali doang seminggu,wkwk ptm tali doang seminggu
240,enak bener ptm,enak bener ptm
241,maskeran muka berasa ad jerawat gitu semenjak ptm gegara pke masker jdi pengap yh,maherat muka berasa sad jerawat gitu semenjak ptm gegara oke master adi pengap yg
242,update terkini wes bosen ptm,udara terkini yes bosen ptm
243,bayangin km ptm tetep dikasih tugas,bayangin kam ptm tetap dikasih tugas
244,udah aja awalai semangat sekolah udah ptm belajar,usah aja sawala semangat sekolah usah ptm belajar
245,ptm membuatku sibuk,ptm membuat sibuk
246,es pjj kayaknya kangen ptm,es pjj kayaknya kangen ptm
247,besok ptm males banget pengen bobo,besok ptm males banget pengen bodo
248,udah seruseru ptm,usah selusur ptm
249,hadehh udh sibuk gegara sekolah udh ptm bentar wisuda kshakahsa seneng bnget wisudanya offline,hadeh ugh sibuk gegara sekolah ugh ptm bentar mewisuda kakas seneng inget bisanya fine
250,oke aja sekolah ptm udah kena,oke aja sekolah ptm usah kena
251,masi ptm smga ptm amin,nasi ptm smga ptm amin
252,ptm sekolah udh kena omnicorn yaudah yukk pjj wkwk,ptm sekolah ugh kena omicron yaudah yukk pjj wkwk
253,sekolah png ptm february wkwk aja denger temen,sekolah gang ptm februari wkwk aja denger teman
254,dahlah dri juga sdh ptm awet,dahlah iri juga sd ptm awet
255,smoga besok brkg pagi biar pilih tmpt duduk cuz ptm uda bkl ad perebutan tmn duduk,semoga besok buku pagi biar pilih amit duduk gue ptm upa buku sad perebutan tun duduk
256,smoga besok brkg pagi biar pilih tmpt duduk cuz ptm uda bkl ad perebutan tmn duduk,semoga besok buku pagi biar pilih amit duduk gue ptm upa buku sad perebutan tun duduk
257,of course ptm seneng bnget ptm paham materi ketawa ketawa ngobrol sinii healing menurutkuu,ok couple ptm seneng inget ptm paham materi ketawa ketawa ngobrol sensi memaling menurunkan
258,dampak positifnya cepet ngerti materi uang jajan dampak negatifnya cape,dampak positif cepet ngerti materi uang jajan dampak negatif cape
259,jam semenjak ptm cepet,jam semenjak ptm cepet
