clean_tweet,sentiment_result
aku ptm tetap kesekolah karena ada kegiatan lain high semangat,8.0
baca cerita tua curhat tentang kegiatan ptm di sekolah anaknya makin makin pusing bener dah nyawa anak dikira,4.0
ptm walaupun sakit badan materi nemplok kepala,-8.0
ngasih info ptm pagi pagi anjing gua udah rapih,-8.0
bayangin se kesel aku kemarin libur ngasih tugas aja karena guru pergi sekarang tiba tiba disuruh,1.0
ptm menyenangkan sampai ulangan pakai kertas,6.0
ptm gue males jadi akhirnya daring,-7.0
katanya mau pjj lagi dah seruan ptm,-1.0
ptm seru gak seru bangun pagi,11.0
ptm anjir sangking emosi sampai typo,4.0
pjj karena setelah ptm aku sadar kalau sekolah bener bener loss prokres,8.0
ngeri banget jadi takut karena semester nanti mulai ptm,-6.0
ngantuk banget untung ga ptm,2.0
capek ptm gak ihh iya,9.0
lalu sudah gegara kabupaten level omicron jadinya dibuat ptm,5.0
pjj aja ptm ribet ngga santai tugas makalah hard file,-6.0
ptm hihi semangat,4.0
jam tidur gue udah normal lagi semenjak ptm,-2.0
alhamdulillah ptm jangan sampai pjj lagi deh,3.0
bangun pagi gosok gigi cuci muka ptm lagi,-5.0
semenjak ptm makin jatuh hati sama kafein,8.0
bersin mulu takut covid parno aja gegara ptm,1.0
kalian ptm ada istirahatnya aku gaada coba,5.0
muridnya covid sekolahnya tutup wkwk lucu banget suka banget sama ptm ya,12.0
ptm aku nambah ilmu lebih dari dibuku internet walaupun agak oot dari materi dipelajari,-3.0
enggak maksudnya feel kalau ptm biasanya gue siapin mata pelajaran sama mandi pagi eh,0.0
malesnya ptm bocil bangsat pada mencetin bel rumah gua asu pengen takol,-11.0
kasus harian naik tetap maksain ptm walau terbatas,-3.0
untung dah engga karena dah ptm tidur suka jam,-1.0
yuhu setelah dua pjj rumah balik ptm lagi mari siap siap,5.0
mls ptm,-4.0
ga enak ptm full buat anak smk kayak aku sekolah jm sampai jam sore jadi pulang sekolah sudah capek bangett maksain,8.0
aaa malas banget ptm,-2.0
kayaknya ptm disini bakal distop lagi deh,-5.0
ya lagian ptm langsung jebret anak sekolah mau dijadiin kelinci percobaan omicron,9.0
ptm nder soalnya materi sama tugasnya lebih ngerti ketimbang pjj abis ptm belajarnya asik soalnya bareng temen,11.0
asli capek ptm ulangan math indo trs latihan sore sampai jam lanjut nyicil ngerjain tugas,1.0
ribet banget coi sudah kebiasa ptm balik lagi,-3.0
nunggu kasus positif ngelonjak kemudian stop ptm heran gak waras,5.0
kalau gue liat liat sekolah gue batu anjir sudah tau ada kena covid malah lanjut ptm diliburin aja,6.0
koko semakin banyak cov terdeteksi di sekolah imho mas menteri sudah waktunya mengevaluasi ptm,13.0
ptm enak ngerti materi terlalu banyak tugas kelompok sama individu,4.0
semenjak ptm gue sering banget tiba tiba kebangun lagi tidur abis reflek nangis ngeluh capek,-3.0
semoga jogja ga ikut ikutan aduh udah enak ptm,13.0
bukan sekolah diterapkan diharuskan malahan seperti dipaksa vaksin buat ptm,-7.0
ptm karena dapat uang jajan jadi paham sama materi lagi pelajari plusnya ketemu mas crush,1.0
seharusnya tengah naiknya kasus covid varian omicron sementara sekolah kembali online saja nanti kalau sudah landai kasusnya ptm,-5.0
please jangan pjj lagi please pengen ngehabisin tersisa sebelum lulus sebaik mungkin,2.0
jangan smpe tmn kampus terpapar gegara ptm awas sja dibatalkan ptm karena nunggu kena dulu,-7.0
mulai mencium aroma aroma ptm,-2.0
aku nanti pagi ptm belum tidur,4.0
aku masing ada kurang lebihnya pjj aku jenuh enak jadi lebih ga cape fisik ptm asik ketemu teman,24.0
ptm jangan berhenti plis stress gua dirumah tai,-19.0
besok ptm gabisa tidur anjing,-1.0
lebih baik distop sementara melihat kasus penularannya lebih cepat pjj,1.0
kalau ptm enaknya gue ketemu guru praktek ayey,-1.0
gue gue suka ptm kbm aja gue mau sekolah,0.0
sumpah ga gue ga ptm,8.0
sumpah kalau dalam dekat gak ptm lagi aku prank banget sama semesta,11.0
tv katanya ada murid kena weh serem ptm persen,0.0
ihh besok ptm males banget,-8.0
kampus gua rencananya semester depan sudah ptm jujur seneng banget degdegan jg karena udah lama ga masuk kelas,1.0
omicron lagi naik naiknya ga ada pencegahan buat ngga maksain ptm dulu ga nunggu ada kena dulu,-8.0
kalau ptm penjelasan lebih dipahami tugas dikit karena menekan pemahaman kalau pjj gila tugas,-7.0
ptm soalnya pelajaran lebih meresap,2.0
sekolahku lagi ngeluh sakit sendi flu batuk sama badan anget sudah banyak ngalamin termasuk aku sendiri ptm,-16.0
semenjak ptm kerjaan gua kalau gak tidur ya ketiduran,-5.0
wkwk biasanya tidur jam segitu kaaa wah enak aku males banget sekarang ptm,7.0
kemarin ngotot ptm banyak kasusnya covid di sekolah sekarang ngumpet ya,6.0
gue sekolah ptm kayak buat healing ketawa cekikikan di rumah belum tentu kayak,1.0
udah semester awal ptm full pula tugasnya sama kayak daring bedanya sekrang banyak tugas,4.0
cape ptm jujur,0.0
gua msh mau main hp besok ptm,3.0
speechless sama pemda dki tetap ngotot ptm paling ngotot jakarta lockdown,-2.0
menemukan banyak pelanggaran prokes dalam pelaksanaan ptm persen,7.0
semenjak ptm jadi ga stress lagi ada makin stress anjing,11.0
sama kaya ponakan saya mak dok saya bersikeras ortunya jangan pernah mau vaksin ptm daring aja,3.0
ya betul sebenarnya pjj enak ptm enak sekarang kasus omicorn lagi naik mending pjj dulu deh ngeri cuy,12.0
gatau deh masing punya kelebihan gua butuhin pjj uhuas dkk ptm gampang dimengerti,-1.0
kemarin dah kena sekarang ptm lagi,-8.0
way ya audeh nangis besok ptm huhu,-1.0
shift aku lelah banget nget nget sampai sekarang ngerjain tugas kalau pagi ngerjainnya takut ga selesai,5.0
aa mau udah lumayan nyaman ptm bentar otak bodoh lagi,6.0
depan ptm gak mau pengen per sesi aja masa setiap hapalan bahasa inggris sama keagamaan pusing,-6.0
berupa teguran sudah ingatkan berkali prokes tidak mungkin diterapkan sekolah sanksi tegas,7.0
males ngotorin seragam buang bensin soalnya cuma pensi doang jadi ya ngapain mending rumah,1.0
kayaknya sekolah lain sudah balik pjj lagi sekolah gue tetap ptm aneh,2.0
kalau punya cewe mending ptm tar biar bucin plek plek plek tiap,5.0
sekelas positif covid semua kantin sama kopsis sekolah ditutup tetap disuruh ptm,5.0
pjj karena ptm teman gak asik kalau pjj capek gak kuat ngerjain tugas gak masuk otak kalau,-5.0
lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya mau kejar materi malah isinya,-14.0
kalau ptm di ganti belajar online trus pelajar vaksin kemarin sampai ada dipaksa,7.0
awal wow bercandain ptm dadakan awal nyaman ptm walau tugas numpuk numpuk,-4.0
takut nanti pjj lagi jujur sebenernya gue males ptm tugas kelompok banyak banget gue males kalau ngerjainnya online online ribet,-20.0
mau nangis aja sekolahku balik sistem pjj bismillah balik ptm lagi,-6.0
males yakin sama siswa guru buka masker seenaknya ptm,7.0
hoo kentut ptm kentut kentut,-6.0
aku dengar dari kalian ptm ya tatap muka belajarnya kerjanya belum wfh kasus sudah naik,5.0
gak punya temen sebangku duduk sendiri karena belum ptm,-10.0
ptm pjj membuatku malas belajar,-3.0
mending turu besok ptm tai kucing,-3.0
yolahh gue seneng pjj lagi ptm lebih seru rasanya,5.0
enak bener ptm,8.0
update terkini aku wes mulai bosen ptm,2.0
sama bayangin ptm tetap dikasih tugas,7.0
sudah aja awali semangat walaupun sekolah sudah ptm tetap belajar,21.0
ptm membuatku sibuk,4.0
es pjj jangan kelamaan kayaknya aku bakal kangen ptm,-4.0
besok ptm males banget pengen bobo,0.0
udah seru seru ptm,10.0
hadeh gue sudah sibuk lagi gegara sekolah sudah ptm bentar lagi wisuda kshakahsa seneng banget wisudanya offline,8.0
oke aja sekolah aku ptm udah ada kena soalnya,8.0
ptm semoga ptm amin,3.0
belum ptm sekolah lain sudah ada kena omnicorn yaudah yuk pjj lagi wkwk,8.0
dahlah dari awal sudah tidak yakin ptm bakalan awet,0.0
jujur lebih suka ptm tapi temen gue beda sesi gue gapunya temen lagi di sesi sama kaya sebelumya,0.0
gaenak kalau ptm selama belajar narik ingus mulu,-2.0
mungkin gara ptm gue sering julid jadi suka lupa pls,1.0
semenjak ptm gue jadi suka lupa deadline tugas kalau lagi pjj gue inget,-7.0
ayolah hentikan lagi ptm kesehatan semua warga jakarta,-5.0
pjj ptm pahamnya sama aja tp kurangnya kalau ptm tugas banyak jadi fokus materi,9.0
baik baik besok aku ptm lagi ihh mls banget,-2.0
anjay besok ptm,-3.0
ptm cape tau ahaha,-8.0
ptm lagi bangsat,-7.0
ptm malah capek banget,5.0
sekolahku ptm nder dari awal lalu ademm banget kayaknya gak ada kasus covid sama sekali,-8.0
kayak gak konsisten banget pjj ya pjj ptm ya ptm,6.0
lagi nyamannya ptm,-2.0
gue takut full ptm karena karena tugas tugas sudah baris mau ngejar gue,-7.0
ptm gak enaknya cuma pas kelompokan,0.0
harusnya jadi online aaa iya ada seru ptm,10.0
iyaa capek ptm,4.0
sama anjir kalau pjj emg banyak banget tugasnya kayak ptm,3.0
ptm sudah mau remuk anjir badan,4.0
ptm pelajarannya lebih masuk otak kalau pjj jujur aja guruku jarang banget zoom jadi cuma ngasih materi,7.0
ptm mending pjj,2.0
bangsat doain sekolah gue biar pjj males bangun pagi anjing kalau ptm,-11.0
lama gue jadi pengen pjj aja ptm,-3.0
sudah ptm jdi ptmt lagi sialan,-2.0
ada kasus positif sekolah tetap tenang ptm biasa rambut gondrong dicat pulang dulu mas mbak dibenerin dulu rambutnya nggih,16.0
kembaliin tidurku woi anjir ptm makin banyak aja tugas,6.0
males besok ptm,-4.0
males banget ptm besok,-3.0
besok sekolah ptm males sampai tulang,3.0
sekolah mau stop ptm aja ya banyak anak belum usia vaksin,16.0
semoga pjj sampai tahun ajaran berakhir ya allah gatau gak suka ptm,7.0
bajingan ptm baru awal tugas presentasi banyak banget ngentot,-9.0
semangat sekolah meskipun ptm,5.0
kasus covid meningkat kaji ulang ptm penghentian ptm merupakan opsi lakukan berbasis kajian,3.0
aku mager sekolah bukan masalah kejepit liburnya cuma aku dari lalu sudah ptm,3.0
thoughts ada pilihan sebenernya kata aku balik pjj ptm lanjut ptm,10.0
first ptm setelah hampir lebih cuma sampai jam set lamanya berasa banget udah kayak setengah,-8.0
sekalian pjj aja soalnya kalau ptm aku asik ga mood sekolah jadi xixi,7.0
ptm lagi anjing,-6.0
setengah ptm setengah pjj,-8.0
 jogja kembali berlakukan ptm persen setelah beberapa siswa positif semoga segera landai lagi,10.0
positif jadi terus jadi ptm sama guru guru jadi lebih sering sidak prokes dadakan,20.0
pengennya ptm,0
aku sekolah bilangnya dari prov jateng bukan pjj tanya ptm kurangi jadi pjj,3.0
daring lagi gua ptm belum pernah,-6.0
aku jakarta ptm ga jadi pjj sisanya ptm sekolah lain,0.0
ga deng wkwk mulai besok ptm lagi gue suka ptm really really fun tho,-2.0
sekolah kalbar ptm mungkin kedepannya ptm,7.0
bekasi dari pusat nder sebenernya ptm balik lagi,-6.0
gatau katanya mau balik ptm,0.0
ptm menurutku gak efisien sekelas sama jadi pasti ngelanggar prokes kaya gak jaga jarak,4.0
woi sekolahku tiba tiba jadi ptm persen lagi njir gue ga sesi anjing,-10.0
sudah seneng ptm tau bikin samoga jadi daring lagi,5.0
gue gamau pjj gamau ptm maunya ptm aja,-12.0
eh sama gua kalau ptm suka mata pelajaran mtk kimia sama pjok soalnya olahraga sisanya kabur kantin,-2.0
kesel ptm mulai besok,-4.0
mulai ptm lagi,-1.0
sekolah daring lagi udah nyaman sama ptm setidaknya masuk sekolah,8.0
mending pjj gasih kalau kaya soalnya kalau ptm sedikit waswas,-2.0
kalau ga bolehin pjj yaudah jadi aja maksa banget mau ptm,3.0
balik full pjj atau pjj sama ptm ptm udah vaksin dua jadi,2.0
dom serang ptm untungnya belum ada omongan bakal pjj kalau jangan,-6.0
gatau soalnya dari bukanya ptm sampai kasus sekolah gua semoga,-11.0
aaaaaa besok ptm lagi huhu ga seru bangett kemarin udah ptm,-9.0
wih ptm full punya udah balik lagi,-2.0
kayanya cuma sekolahku jadi deh malang entah bener ngga soalnya sekolahku sekarang,-6.0
aku balik ptm jadi masuknya gantian lagi,-2.0
karena ptm kantin buka kantin tutup alhamdulillah aman aja,-4.0
jujur gue seneng seneng jadi karena full ptm full ptm udah suruh lagi anjing,-1.0
kalau punyaku besok mulai ptm lagi gak tau,2.0
eh asik aku jadinya ptm karena sama tetangga ada positif mungkin  sekolahku ada,21.0
pengen ptm lagi,1.0
sial sekolahku ptm lagi,-6.0
jadi ptm pelajaran produktif aja kayak praktikum sama tambah mtk pjok bk,9.0
sekolah aku gaada covid ptm terus deh kalau mah ngeri circle,-3.0
pjj selang seling kak jadi sama jadi ptm pjj aku dapetnya anjir males,4.0
sudah nyaman ptm mau ptmt huft,14.0
moots bukan mau nakut nakutin omicron emang cuepet nyebarnya salah teman  fb anaknya sd,-6.0
anjing sekolah gak adil banget njir ptm lagi ganjil genap kemarin genap sampai jam terus besok ganjil,-5.0
balik lagi nder jadi sehari ptm pjj,-4.0
anjir balik lagi ptm,-4.0
sedang merasakan indahnya ptm eh malah ubah jadi ptm tai tai,-9.0
ptm wfh aja selamat dong anak jangan pekerja aja selamatkan,5.0
gue pengen pjj ptm,-1.0
jogja kembali berlakukan ptm persen setelah beberapa siswa positif semoga segera landai lagi,10.0
jujur pengen ptm bukan karena gue takut jadi buka masker,12.0
sekolahku besok mau uji coba pake sistem hybrid ptm pjj karena ada siswa sekolah sebelah,7.0
sender sudah ptm disesi ya allah sender masuk jam seharusnya sesi jam sesi protes,8.0
aaaaaaa mau ptm lagi jogja,3.0
dih anjing ptm lagi,-6.0
iya deh kayaknya  sekolah aku jadi banyak izin kelas aku masuk,-3.0
semoga ptm aja,1.0
hadeh emang serba salah ngadain ptm masa sekarang kalau terusin pjj materi paham ptm cuma,-9.0
memang paling bener ptm ga full online full offline,7.0
jujur agak seneng ptm soalnya gajadi penilaian olahraga aku gabisa coy nangis,2.0
 sekolah anakku depan mulai online kebijadikan ambil karena kepseknya positif adeknya,0.0
plis ptm lagi kayak jangan,-8.0
ptm setengah hope gak pjj lagi ya,-2.0
sekolah aku ptm semoga jadi gak pjj,6.0
anak sekolah sudah ptm mohon dipertimbangkan lagi buat ptm dahulu jangan menunggu suatu sekolah,5.0
sama dom lagi cuma doang tapi aku bersyukur sama sekali ga ptm malah lebih sedih,5.0
ptm doang aku jadi mager sekolah,3.0
stay safe ptm ga enak banget,-4.0
sekolahku mulai full ptm gara gara omicron depan mulai lagi,-8.0
aku tipe belajar diskusi aku gapunya temen skusi jadi belajarnya bentar aja,6.0
penting ptm ditunda kantor wfh atau wfh lebih,1.0
sebenernya takut ptm jujur ngga mau pjj anjir gila kalau pjj lagi mending aja,5.0
ptm kalau ptm main circle kalau udah ketemu sekelas semua seru jadi mending,6.0
ptm bentar lama lama pjj amin,-5.0
wah sebetulnya aku ngerti papamu ngga bolehin soalnya omicron emang lagi ngejamur banget,11.0
prefer karena situasi sepenuhnya memungkinkan aku sudah ptm asli sebenernya enakan ptm materi,7.0
belum pernah ptm aku pengen ngerasain ptm soalnya temen temen aku kenal ada  sesi,14.0
ptm enak agak sepi,2.0
awalnya soalnya lebih sedikit lebih tenang ternyata seruan ptm banyak temen kelas saya,-1.0
biar ada istirahat aku suka rame angkatan sekolah ptm,10.0
semoga besok ga lagi deh ptm,2.0
ptm sumpah lebih tenang,10.0
ptm karena sesi lain banyak masalah gak mau kebawa bawa,-13.0
tergantung kalau mending pjj jadi sekalian semua soalnya kalau setengah daring,-4.0
engga pengennya ptm jadi kaya sekarang soalnya selain karena pandemi tren kasus,-13.0
soalnya kalau ptm fisik kerasa banget capeknya kalau pjj capek mental,2.0
aku mau ptm mau alias gue dah capek sekali anjir sekolah daring tau lagi,7.0
enakan ptm tugasnya ga terlalu banyak pjj enak lebih santai tugasnya video jadi mending,22.0
kebanyakan kelompok presentasi kalau ptm paham materi kalau pjj,-8.0
kelasku jadi izin ada gara sekolahku balik lagi ptm alhamdulillah aku udah sembuh,4.0
ptm soalnya kalau ptm susah bagi waktu,-3.0
ptm sekarang tugas kelompoknya much seringnya kerja  sekolah nugas rumah pr,7.0
sering banget beda pendapat berasa beda kelas bercircle aku ngerasa kurang adil soalnya,-6.0
gamau pengennya ptm  cuma kalau gakuat bangett rasanya kelas penuh sekolah penuh,-15.0
soalnya ptm cuma doang kalau asik jadi deh,1.0
ptm lagi males,-6.0
sekolah gua ptm  sekolah lain udah  kasih surat buat pjj sekolah gue belum sekolah gue udah kayak tahu,0.0
gue mau cerita kemarin gue ptm kabar baik gue sudah mulai akrab sama temen se sesi gue,8.0
sebenernya lebih enakan ptm jadi sekalian capek ptm pulangpulang mesti sekolah lagi,13.0
anak sekolah sdah ptm mohon pe imbangkan lagi buat ptm dahulu jangan menunggu  suatu sekolah,0.0
jika angka kasus  jadika a semakin naik level ppkm jadi level maka otomatis ptm batasi maksimal persen,7.0
way sekolah gue emg belum ptm  karena kemarin ada positif inimah gue yakin gabakal ptm,-3.0
awalnya mau ptm gue ngeluh karena pasti bakal berisik gue udah nyaman begitu jadilanin,-7.0
ptm sepi banget gue se sesi sama temen gue ptm rame banget kalau nunggu jemputan,-4.0
ngga ptm cuma abis lagi huhu,-4.0
anak sekolah sdah ptm mohon pe imbangkan lagi buat ptm dahulu jangan menunggu  suatu sekolah,0.0
belum ada info resamai rumornya pro sebelah bakalan pake sistem gilir ptm sampai ut,-6.0
kalau ptm mah mending pjj,1.0
bener kata tiara kelas stress ptm kalau ptm full coba,-4.0
aku biasanya terus kemarin ada coba ptm malah pusing nder biasanya sepi krikkrik jadi rameberisik,2.0
pengen balik ptm lagi tolong,1.0
karena hampir setengah sudah ptm jadi udah menyesuaikan diri sama sesi,0.0
gue jadi terlihat oleh guru soalnya kelasan gua bacot banget babi berisik orangnya cari muka,-8.0
ptm bener ga efektif menurut  gue,-2.0
ptm enak karna materi masuk otak interaksi langsung sama temen amp guru pjj enak,22.0
adek aku jadii ptm sekarang karena temannya masalahnya orngnya sekolah kasian sama teman lain,-2.0
menurut aku nggak semenjak ptm tugas hampir berkurang menurut aku kalau pjj tugas karena aman,3.0
ptm seru bangett  capeknya kalau pjj capek langsung tiduran,7.0
sejujurnya ngga kalau capek kalau gurunya bagi diri secara adil bagi ptm,13.0
ptm biar deket sama semua teman kelas kalau bagi sesi jadi kenal jadi canggung,-1.0
ptm tidak maunya cuma supaya lebih dekat sama teman teman ikut ptm,-4.0
pengen pengen gue maunya kaya kemarin soalnya semenjadik ptm tugas kelompok gue makin nga,-5.0
persen soalnya temen gua  sesi semua gua  sesi dua kalau ptm kayak gaenak jadiuh jadiuhan bener duduknya,-13.0
buatku lebih enak ptm,6.0
sama kayak sekolahku walau ptm ada positif malah sekolahku rencananya mau ptm depan,8.0
ptm gua ga sanggup kayaknya kalau ptm,-10.0
sedih banget masa ptm lagi,-6.0
wkwk gak pengen ptm lagi aja,-4.0
ternyata ada untungnya ptm tiap jadi ikut takut kalau ptm,2.0
ptm kalau ptm penyampaian materinya ngga sama rata kelas gue  jadi udah ngerasain,-10.0
enakan jelas ptm  rumah kaya dongo,11.0
gamau maunya jadi soalnya lebih fokus anak anak kelas gua ptm berisik banget sampai guru marah,-13.0
yeah ptm alhamdulillah,5.0
ga pengen ptm aja jadi tetep ada sesi engga gabung,0.0
gasih ptm aja,1.0
mungkin aku tugas ptm ga ngotak parah,3.0
sama nder aku ptm nyaman,9.0
ptm karena rame lebih mudah ngerti materinya,4.0
udah semester ptm way semangatt sender semoga nilainya memuaskan,5.0
ptm sering deg degan setelah ptm jadi enggak paling kadang males jadi kalau ada mata pelajaran,7.0
sekolahku ptm gak wajib boleh ptm boleh ngga banyak milih gak ptm jadi takut banget,2.0
berat badan gue biasanya sebenernya felt confident bsegitu badan gue bagus know th,-11.0
sama bgtt beberapa sekolah nerapin pasti ada jadi kena kebijadikan beberapa sekolah langsung pt,14.0
udah melakukan daring buat anak walau sekolah memaksakan ptm setelah sebelumnya komitmen sekola,-4.0
yadongg ptm jadi lebih cpet pulangnya yhahhaa iri loe,-2.0
anakku ptm capt online dari rumah,-2.0
menurut saya jangan hentikan ptm persen tetapi pemda ,-1.0
makin melonjadiknya kasus harian akibat varian omicron tambah subvarian lbh baik,5.0
itulah selama status pandemi belum cabut seharusnya sekolah ptm tetap kembalikan keputusan pd,2.0
ptm pjj wkwkwk alias ptmt lagi,1.0
  jadi seingat saya kalau kasusnya naik ppkmnya naik turun dari persen kalau naik lagi turun,-6.0
beberapa daerah langsung berani ptm dah daerah gue anjr,-4.0
seh aku hampir samaa sekolah full siswa sama guru cuma sehari bersihbersih kela,11.0
pjj ptm oke kalau,1.0
jujur pjj lebih efektif ptm jadi efektif,16.0
saran sangat baik dari perhimpunan penkan guru pg berada  ujung tombak penkan semoga gubern,7.0
seharian isinya sambat mulu ttg tugas sekolah emang secapek pulang ptm jam lanjut kerjadi,6.0
ahh shit binder catetan mtk gue ketinggalan  laci kelas bsk sekolah lagi gegara balik lagi ptm,-24.0
hhmmmxfxfxax yth prof ptm siswa  pekanbaru samap,3.0
kayaknya otomatis liburin dehh tetep ptm soalnya tempetku gituu stay safe waa,-1.0
susah hindari dok bekasi ptm wfo,1.0
  sebagai ibuk suka memantau kepatuhan prokes  sekolah aktif memantau kesiplinan nakes,7.0
sebagai ibuk suka memantau kepatuhan prokes  sekolah aktif memantau kesiplin,7.0
tiga siswa terpapar covid ptm turun persen via,6.0
stress ptm mau back,0.0
jangan sampai minimal mah ptm sisanya pjj jangan terusan pjj anjir,-4.0
gaada nder aku ptm,-1.0
