id,Opini,Bahasa,Sentimen
61,@arifinpribadi @jokowi @KemenkesRI @luhutbinsarp @erickthohir @KemenBUMN @BNPTRI PTM 100% tetap diberlakukan... itu namanya nekat !',Indonesia,
62,Padahal pas awal2 PJJ udah agak mending dgn seminggu 3x masuk dgn sistem absensi ganjil genap ketimbang PTM dilakukan 100%,Indonesia,
63,semenjak ptm gue ke atm nyetor mulu setiap minggu,Indonesia,Negatif
64,"@schfess yg balik pjj lg tu sekolah mana aja ya, ko skolahku masi ptm 100%",Indonesia,
65,@osw_cityx sedihhh giliran udh nyaman ptm malah kasus makin banyak,Indonesia,Positif
66,aku males bgt ptm dahh mau tidur,Indonesia,Negatif
67,@shayangaksa gue lagi ptm yaallah nyesek.. aksa kemana',Indonesia,Negatif
68,@convomfs anak kelas sebelah gue yg kena c-19 bisa sembuh biar Senin gue ptm lagi',Indonesia,
69,"@schfess ptm, tp pas ptm w sering sakit gara2 kecapean dsb'",Indonesia,Negatif
70,"ALO SELAMAT PAGI, AKU KEMBALI PJJ LAGI PADAHAL ENAKAN PTM.",Indonesia,Positif
71,"@convomfs sama, tapi katanya senin masuk ptm lagi'",Indonesia,
72,"Nataru dilonggarin, sekolah dibuka ptm. Terus temen gw bikin story tempat swab udah rame lagi abis itu liat ini.",Indonesia,
73,"temanku pda males2, berusaha bgt biar ga ptm smpe chat di grup",Indonesia,Negatif
74,"hari ini aku ptm tapi harus tetep kesekolah krn ada kegiatan lain, high semanga",Indonesia,
75,baca cerita orang tua yg curhat tentang kegiatan ptm di sekolah anaknya makin hari makin pusing. bener2 dah nyawa anak2 dikira apaan sih?',Indonesia,Negatif
76,"@schfess Ptm, walaupun bikin sakit badan tapi materi nemplok di kepala'",Indonesia,
77,"@sudahgudluking ngasih info ptm pagi pagi anjg, gua udah rapih'",Indonesia,
78,"bayangin se kesel apa ak, kmrn bilang hri ini libur tpi ngsih tugas aja karna guru pada pergi skrng tbtb disuruh ",Indonesia,
79,ptm menyenangkan sampai kamu ulangan pake kertas',Indonesia,Positif
80,"@moonareas Ptm tpi gue males, jdi akhirnya daring'",Indonesia,
81,'ini katanya mau pjj lagi dah padahal seruan ptm,Indonesia,Positif
82,ptm itu seru tapi yg gak seru bangun pagi',Indonesia,Positif
83,"ptm anjir, ni sangking emosi sampe typo",Indonesia,Negatif
84,"@schfess Pjj, karena setelah ptm ini ak sadar klau sekolah ku bener bener loss prokres nya",Indonesia,
85,@Askrlfess Ngeri banget. Jadi takut karena semester nanti mulai ptm,Indonesia,Negatif
86,"ngantuk banget, untung ga ptm'",Indonesia,Negatif
87,"@xafeenka capek ptm gak sih, IH IYAAAA",Indonesia,
88," Kami minggu lalu udh Tapi gegara kabupaten kami level 2 Omicron, jadinya kami dibuat PTM 50%'",Indonesia,
89,"@schfess PJJ aja lah, PTM tuh ribet, ngga santuy, tugas bikin makalah harus hard file'",Indonesia,Negatif
90,hari ini ptm hihi semangatttt,Indonesia,Positif
91,jam tidur gue udah normal lagi semenjak ptm https://t.co/SPsP7XyBP9',Indonesia,
92,"Alhamdulillah masih ptm sih, jangan sampe pjj lagi deh",Indonesia,Positif
93,Bangun pagi gosok gigi cuci muka PTM lagi',Indonesia,
94,"Semenjak ptm 100%, makin jatuh hati sama kafein'",Indonesia,Positif
95,semenjak ptm jadi jarang mam mie instan',Indonesia,Positif
96,"bersin mulu, takut covid. bikin parno aja ggra PTM",Indonesia,Negatif
97,muridnya covid kok sekolahnya tutup wkwk lucu bgt suka bgt sama PTM ya buu',Indonesia,
98,"@schfess ptm, aku bisa nambah ilmu 'lebih' dari yang dibuku atau di internet walopun itu agk oot dari materi yg dipelajari""",Indonesia,
99,"@summerjogja nggakk maksudnya feel nya itu loh, kalo ptm biasanya gw siapin mapel dulu sm mandi pagi eh ini kaga'",Indonesia,
100,"malesnya ptm gini, bocil2 bgst pd mencetin bel rumah gua asuuu, pengen w takol'",Indonesia,Negatif
101,Kasus harian naik tetep maksain PTM walau terbatas,Indonesia,Negatif
102,"@Askrlfess Untung dah engga sih, karena dah PTM 100% tidur suka jam 9 / 10'",Indonesia,
103,"yuhuuu, setelah dua hari pjj di rumah dan hari ini balik ptm lg.\nmari kita siap-siap~'",Indonesia,Positif
104,mls ptm,Indonesia,Negatif
105,"@Millypiepi: Ga enak nya PTM full buat anak SMK kyk aku tu sklh jm 1 smpe jm 6 sore, jdi plng sklh udh capek bgtt tpi hrus bisa maksain",Indonesia,
106,aaa malas bgt ptm,Indonesia,Negatif
107,kyknya ptm disini bakal distop lg deh...,Indonesia,
108,"@reginskrt: ya lagian sih, ptm langsung jebret 100% anak sekolah mau dijadiin kelinci percobaan omicron apa gimana?",Indonesia,
109,@schfess PTM nder soalnya materi sama tugas2nya bisa lebih ngerti ketimbang PJJ abis itu PTM belajarnya asik soalnya bareng temen2',Indonesia,
110,"Asli capek, ptm ulangan math dan b indo,  trs latihan sore sampe jam 7 , lanjut nyicil ngerjain tugas",Indonesia,
111,ribet bgt coi udh kebiasa ptm 100% harus balik lagi ke 50%.,Indonesia,
112,"Nunggu kasus positif ngelonjak dulu gitu ? Kemudian baru stop PTM gitu ? Heran , gak waras",Indonesia,
113,"Kalo gue liat liat sekolah gue batu juga anjir, udh tau ada yg kena covid malah masih lanjut ptm... Diliburin 2 hari aja",Indonesia,
114,"@dr_koko28: Semakin banyak CoV terdeteksi di sekolah. -imho- mas menteri @nadiemmakarim, sudah waktunya untuk mengevaluasi PTM.'",Indonesia,
115,@schfess ptm enak bisa ngerti materi tapi terlalu banyak tugas kelompok sama individu nya',Indonesia,
116,'semenjak ptm gue sering bgt tiba tiba kebangun pas lagi tidur abis itu reflek nangis+ngeluh capek',Indonesia,
117, semoga Jogja ga ikut ikutan aduhhh udah enak PTM',Indonesia,Positif
118," Laahhh bukan nya di sekolah diterapkan, diharuskan malahan seperti dipaksa harus di vaksin buat bisa PTM",Indonesia,
119,"Ptm, karna dapat uang jajan dan jadi paham sama materi yg kita lagi pelajari. Plusnya ketemu mas crus'",Indonesia,
120,"Seharusnya di tengah naiknya kasus covid varian omicron, sementara sekolah kembali online saja. Nanti kalau sdh landai kasusnya baru ptm",Indonesia,
121,Please jangan pjj lagi please. Pengen ngehabisin waktu yang tersisa sblm lulus dengan sebaik mungkin. ,Indonesia,Positif
122,"jgn smpe ni tmn2 kmps terpapar grgr ptm, awas ja dibatalkan ptm krna nunggu kena dlu.",Indonesia,
123,mulai mencium aroma aroma ptm 50% nih,Indonesia,Negatif
124,Aku padahal nanti pagi ptm tapi belum bisa tidur,Indonesia,Positif
125,"aku 50:50 sih. masing2 ada kurlebnya. pjj alu jenuh, tp enak jd lebih ga cape fisik. ptm asik ktmu tmn2",Indonesia,Positif
126,"Ptm jangan berenti pliss, stress gua dirumah tai",Indonesia,Positif
127,"besok w ptm, tapi gabisa tidur anyink",Indonesia,
128, Lebih baik distop dulu #ptm untuk sementara waktu melihat kasus penularannya yg lebih cepat daripada pjj,Indonesia,Negatif
129,klo ptm enaknya gue bs ketemu guru terus praktek ayEy,Indonesia,Positif
130,"gueEEE apaya,, gue suka ptm.... pas kbm nya aja .... gue ga mau ke sekolah",Indonesia,
131,sumpah bisa ga sih gw ga ptm,Indonesia,Negatif
132,Sumpah kalo dalam waktu dekat gak ptm lagi aku di prank banget sama semesta,Indonesia,Positif
133,d siang di tv katanya ada 90an murid kena weh serem ptm 100 persen ,Indonesia,Negatif
134,ihh besok ptm males banget,Indonesia,Negatif
135,"kampus gua rencananya semester depan udh ptm, jujur seneng bgt tp degdegan jg karena udah lama ga masuk kelas",Indonesia,Positif
136,ini omicron lagi naik naiknya apa ga ada pencegahan buat ngga maksain ptm dlu ga sih?:( apa nunggu ada yg kena dulu,Indonesia,Negatif
137,"Kalo ku sih ptm, penjelasan lebih dipahami dan tugas dikit karna menekan ke pemahaman. Klo PJJ gila tugas",Indonesia,Positif
138,"ptm, soalnya pelajaran lebih meresap",Indonesia,Positif
139,"di sekolahku lagi pada ngeluh sakit sendi, flu batuk, sama badan anget gitu. udh banyak yg ngalamin, termasuk aku sendiri. PTM 100%",Indonesia,Negatif
140,@guanhengera semenjak ptm kerjaan gua kalo gk tidur ya ketiduran',Indonesia,
141," Wkwk biasanya baru bisa tidur jam segitu kaaa Wahaaa enak yah kaa, aku males banget sekarang ptm",Indonesia,
142,Yang kemarin ngotot PTM 100% dengan banyak kasusnya covid di sekolah Sekarang ngumpet ya?',Indonesia,Negatif
143,"Gue sekolah PTM kek buat HEALING bisa ketawa, cekikikan, di rumah belum tentu bisa kek gitu",Indonesia,Positif
144,"udah semester 6, baru awal ptm full pula, tapi tugasnya masih sama kek pas daring, bedanya yg sekrang banyak tugas",Indonesia,Negatif
145,cape ptm jujur,Indonesia,Negatif
146,'gua msh mau main hp tapi besok kan ptm :)))))',Indonesia,Negatif
147,Speechless.. sama pemda DKI yang tetap ngotot PTM 100%\nPadahal dulu paling ngotot jakarta harus di lockdown ,Indonesia,Negatif
148, masih menemukan banyak pelanggaran prokes dalam pelaksanaan PTM 100 persen,Indonesia,
149,"Siapa yang bilang semenjak ptm jadi ga stress lagi, yang ada makin stress AJG'",Indonesia,
150,"Sama ky ponakan sy mak dok Sy bersikeras bilang ke ortunya jgn pernah mau di vaksin demi PTM,daring aja",Indonesia,
151,"yyy betul , sbnrnya pjj enak ptm jg enak , tp skrng kasus omicorn lagi naik mending pjj dlu deh :( ngeri cuy",Indonesia,
152,"Gatau deh masing2 punya kelebihan yang gua butuhin.. pjj = for uh/uas dkk, ptm = gampang dimengerti'",Indonesia,
153," kemarin dah kena, skrg ptm lagi'",Indonesia,
154,btw ya.. audeh nangis besok ptm huuuuuuuuuuuu',Indonesia,Negatif
155,Shift 2 bikin aku lelah banget nget nget sampai skrg masih ngerjain tugas klo pagi2 ngerjainnya takut ga selesai ka,Indonesia,
156,aa gak mau udah lumayan nyaman ptm ntar otak ku bodoh lagi,Indonesia,Positif
157,Minggu depan PTM 100% Gak mau pengen per sesi aja masa setiap hari harus hapalan bahasa Inggris sama keagamaan pusing,Indonesia,
158,@PartaiSocmed: Hanya berupa teguran. Sudah kami ingatkan berkali2 prokes tidak mungkin diterapkan di sekolah tanpa sanksi tegas,Indonesia,
159,"males, ngotorin seragam, buang bensin, soalnya pas hari itu tuh cmn pensi doang gt jd ya ngapain mending di rumah",Indonesia,
160,ni kyknya sekolah lain udh pada balik pjj lagi sekolah gue masih tetep ptm aneh',Indonesia,
161,@v1scasa kalau w punya cewe mending ptm sih tar biar bisa bucin plek plek plek tiap hari,Indonesia,Positif
162,"sekelas positif covid semua, kantin ama kopsis sekolah ditutup tpi tetep disuruh ptm",Indonesia,Negatif
163,schfess Pjj krna PTM tmn ku pada gak asik tpi KLO pjj capek juga gak kuat ngerjain tugas yg gk masuk ke otak tpi klo,Indonesia,
164,"lemes bre ptm isinya kerkom, praktek, laporan, presentasi. niatnya mau kejar materi malah isinya gitu'",Indonesia,
165," Kalau PTM di ganti dengan belajar online, trus pelajar yang vaksin kemarin sampai ada yang dipaksa",Indonesia,
166,"Awal 2022 wow... di bercandain PTM dadakan awal tahun, terus nyaman PTM 3 Minggu walau dengan tugas yang numpuk numpuk",Indonesia,
167,takut nanti pjj lagi. jjur sebenernya gue jg maless ptm tp ni tugas kelompok banyak bgt.. gw males klo ngerjainnya onlen onlenan ribet',Indonesia,
168,"mau nangis aja, sekolahku balik ke sistem pjj.. bismillah bisa balik ptm lagi:((",Indonesia,
169,schfess Males yakin sama siswa/ guru yang buka masker seenaknya pas PTM,Indonesia,
170,hoo kentut ptm kentut kentut,Indonesia,Negatif
171,aku dengar dari kalian PTM masih 100% ya? masih tatap muka belajarnya dan kerjanya pun masih belum WFH. padahal kasus udah pada naik,Indonesia,
172,"@schfess Gak punya temen sebangku, duduk nya sendiri karna blum ptm 1000%",Indonesia,
173,@schfess Ptm. Pjj membuatku malas belajar,Indonesia,Positif
174,mending turu bsk ptm tai kucing,Indonesia,Negatif
175,YOLAHH gue seneng si pjj lagi tpi ptm tuh lebih seruu rasanya,Indonesia,Positif
176,@Iandryx Enak bener ga ptm,Indonesia,
177,update terkini aku wes mulai bosen PTM',Indonesia,Negatif
178,@mindianie SAMA bayangin km ptm terus tetep dikasih tugas',Indonesia,
179,"Udah hari rabu aja nih. Awalai hari ini dengan semangat! walaupun sekolah udah PTM 100%, tapi tetap harus belajar",Indonesia,Positif
180,'ptm membuatku sibuk,Indonesia,Negatif
181,"es pjj tapi jangan kelamaan, kayaknya aku bakal kangen ptm",Indonesia,Negatif
182,"Besok ptm, tapi males banget ga pengen bobo",Indonesia,
183,udah seru-seru ptm padahal',Indonesia,Positif
184,"hadehh, gue udh sibuk lagi nih gegara sekolah udh ptm, mana bentar lagi wisuda KSHAKAHSA SENENG BGT WISUDANYA OFFLINE",Indonesia,
185," Oke"" aja. Sekolah aku baru 2 minggu PTM 100% udah ada yang kena soalnya:)'",Indonesia,
186,"@schfess masi ptm, dan smga ptm terus amin'",Indonesia,Positif
187,blm juga ptm 100% tapi sekolah lain udh ada yg kena omnicorn. Yaudah yukk pjj lagi wkwk,Indonesia,Negatif
188,Dahlah Dri awal jg sdh tdk yakin ptm 100% bakalan awet',Indonesia,
189,jujur lebih suka ptm yang 50% tapiii temen gue beda sesi dan gue gapunya temen lg di sesi yg sama kaya sebelumya,Indonesia,Positif
190,@cake_boop Gaenak lahh apalagi kalau ptm. Selama belajar narik ingus mulu,Indonesia,
191,"mungkin gara2 ptm gue sering julid, jadi suka lupa pls",Indonesia,
192,"semenjak ptm gue jadi suka lupa deadline2 tugas, tapi kalo lagi pjj gue inget terus",Indonesia,Negatif
193,Ayolah @DKIJakarta hentikan lagi PTM demi kesehatan semua warga Jakarta',Indonesia,Negatif
194,"@schfess pjj ptm pahamnya sama aja, tp kurangnya kl ptm tugas byk jadi ga fokus materi'",Indonesia,
195,"Baik baikk, tapii besokk aku ptm lgi, ihh mls bgt",Indonesia,Negatif
196,anjay besok ptm,Indonesia,Negatif
197,Ptm.. Cape tau ahaha,Indonesia,Negatif
198, PTM LAGI BGST',Indonesia,Negatif
199,knp ptm malah capek bgt',Indonesia,Negatif
200,@schfess sekolahku ptm nder dari awal tahun lalu... ademm banget keknya gak ada kasus covid sama sekali',Indonesia,
201,@sukufushie KAYAK GAK KONSISTEN BGT GT LOH PJJ YA PJJ PTM YA PTM',Indonesia,
202,pdhal lagi nyamannya ptm:(',Indonesia,Positif
203,gue takut full PTM karena apa? karena disana tugas-tugas udah pada baris mau ngejar gue,Indonesia,Negatif
204,ptm gak enaknya cuma pas kelompokan,Indonesia,
205,harusnya jadi online siii aaa iya ada seru nya jg sihh ptm',Indonesia,
206,@roguenter iyaa capek ptm,Indonesia,Negatif
207,@kieeesaaa sama anjir klo pjj emg banyak bet tugasnya ga kek ptm',Indonesia,
208,@menghiIank pdhal baru sebulan ptm tpi udh mau remuk anjir badan ini ,Indonesia,
209,"ptm, pelajarannya lebih masuk ke otak. kalo pjj jujur aja guruku jarang banget zoom, jadi cuma ngasih materi",Indonesia,Positif
210,drpd 50% ptm mending 100% pjj,Indonesia,Negatif
211,"@kieeesaaa bgst doain skolah gw juga biar pjj, males bangun pagi anj klo ptm",Indonesia,Negatif
212,lama2 gw jadi pengen pjj aja gak ptm,Indonesia,Negatif
213,"Udh ptm 100%, jdi ptmt lagi sialan",Indonesia,Negatif
214,ada kasus positif di sekolah?? tetap tenang dan ptm spt biasa rambut gondrong/dicat?? pulang dl mas mbak dibenerin dl rambutnya nggih,Indonesia,
215,kembaliin waktu tidurku woiiii anjir ptm makin banyak aja ni tugas,Indonesia,Negatif
216,males besok ptm,Indonesia,Negatif
217,Males banget ptm besok,Indonesia,Negatif
218,bsk sklh ptm malesnya ampe ke tulang,Indonesia,Negatif
219,@newsplatter: Sekolah gak mau stop PTM aja ya? Banyak anak yg belum usia vaksin. ,Indonesia,Negatif
220,semoga pjj sampe tahun ajaran berakhir ya allah gatau gak suka ptm,Indonesia,Negatif
221,"bajingan ptm, baru awal gini tugas presentasi banyak banget ngentot",Indonesia,Negatif
222,"smngt sekolah,meskipun PTM 50%'",Indonesia,Positif
223," @PKSejahtera: Kasus Covid-19 Terus Meningkat, Kaji Ulang PTM 100%. \xe2\x80\x9cPenghentian PTM merupakan opsi yang bisa dilakukan berbasis kajian. '",Indonesia,
224,"demi apapun aku mager sekolah... bkn mslh hari kejepit ato liburnya, cmn tuh aku dr 2 minggu yg lalu udh ptm 100% t https://t.co/RAOrDqOsx0'",Indonesia,
225, @schfess: sch! Any thoughts? Ada 3 pilihan sih sebenernya kata aku. Balik pjj/50% ptm/lanjut 100% ptm. https://t.co/tKF2w02CMY',Indonesia,
226,"first ptm 50% setelah hampir 2 tahun lebih cuman sampe jam set 10, lamanya berasa banget udah kek setengah hari. la https://t.co/E3kpIsPLoE'",Indonesia,
227,"@schfess sekalian pjj aja, soalnya kel 50% ptm aku gasik bikin ga mood cekulah aja xixi'",Indonesia,
228,"@convomf mingdep ptm 50% lagi jing, padahal kan'",Indonesia,Negatif
229,"@convomf 50%, setengah ptm setengah pjj'",Indonesia,
230, @mikahakim3: @Hilmi28 @Adra_silent Jogja kembali berlakukan PTM 50 persen setelah bbrp siswa positif..smg segera landai lagi..',Indonesia,
231,@astronoust yg positif 1 aja trus jdi ptm 50% sm guru guru jdi lebih sering sidak prokes dadakan  ',Indonesia,
232,@schfess pengen ptm 50%',Indonesia,Positif
233,"@schfess akuuu, sekolah bilangnya dari prov jateng, tapi bukan pjj, yang tadinya ptm 100% dikurangi jadi 50% atau p https://t.co/mNJvehDXeP'",Indonesia,
234,@avhlyyy sblm daring lg gua ge ptm nya 50% blm pernah 100%e',Indonesia,
235,"@schfess Aku jakarta, tapi ptm ga 100% jadi 50% pjj sisahnya ptm. Tapi sekolah lain 100%'",Indonesia,
236,"ga deng wkakajwj mulai besok ptm 50% lg dan gue ga suka, ptm 100% really really fun tho https://t.co/E1oXeMJvY0'",Indonesia,
237,@schfess Sekolah ku kalbar masih ptm 50% tapi mungkin kedepannya masih ptm 50%',Indonesia,
238,"@schfess Bekasi, dari pusat nder, sebenernya sih masih PTM tapi balik 50% lagi'",Indonesia,
239,"@schfess gatau, katanya mau balik ke ptm 50%'",Indonesia,
240,"@schfess Ptm 50% menurutku gak efisien, sekelas sma aja pasti masih ngelanggar prokes kaya gak jaga jarak apalagi u https://t.co/uhP8A7av2i'",Indonesia,
241,woii skolahku tbt'jdi ptm 50 persen lgi njrr GW GA SATU SESI ANJG',Indonesia,
242,udh seneng ptm 100% tau dibikin 50% ya smoga aja ga daring lagi',Indonesia,
243,"Gue gamau pjj, gamau ptm 100%, maunya ptm 50% ajaaaa'",Indonesia,
244,"@ailovmintcho eh samaa gua kalo ptm suka mapel mtk, kimia, sm pjok soalnya 50% olahraga sisanya kabur ke kantin'",Indonesia,
245,@convomf KESEL PTM 50% MULAI BESOK',Indonesia,Negatif
246,Loh mulai ptm 50% lagi:]',Indonesia,
247,"Sekolah daring lagi...padahal udah nyaman sama ptm 50%gini,SETIDAKNYA bisa masuk sekolah seminggu 3 kali'",Indonesia,Positif
248,"@schfess mending pjj gasih kalo kaya gini, soalnya kalo ptm 50% masi sedikit was was...'",Indonesia,Negatif
249,@schfess klo ga di bolehin pjj yaudah sih 50% aja maksa bgt mau ptm 100%',Indonesia,
250,"@schfess balik full pjj, atau 50% pjj sama ptm, tp yg ptm yang udah vaksin dua kali aja.'",Indonesia,
251,@schfess Dom serang. Masih ptm 50% untungnya blm ada omongan bakal pjj. Kl bisa jangannn',Indonesia,
252,"@raratampan gatau juga si soalnya dari dibukanya ptm 50% sampe 100% ini kasus pertama di sklh gua gitu, tapi semoga https://t.co/hm0W2G24Cf'",Indonesia,
253,AAAAAA bsk ptm 50% lagiiii... huhu ga seru bgttt pdhl kmrn udh ptm 100%',Indonesia,
254,@ellzqrjn wih masih ptm full?? :( punya ku udah balik 50% lagi',Indonesia,
255,@schfess Kayanya cuma sekolahku aja deh di satu Malang Entah bene ato ngga Soalnya sekolahku sekarang masi 50% yg m https://t.co/bUj9ttSBaR',Indonesia,
