,tweet
124,ngeri banget jadi takut karena semester nanti mulai ptm
125,ngantuk banget untung ptm
126,page ternyata selama ptm temen temen gue ngira gue galak pantesan mau deket sama gue selama ptm
127,capek ptm ih iyaaaa
128,lalu udh gegara kabupaten level omicron jadinya dibuat ptm
129,pjj aja ptm ribet santuy tugas makalah hard file
130,ptm hihi semangatttt
131,jam tidur gue udah normal lagi semenjak ptm
132,alhamdulillah ptm jangan sampe pjj lagi deh
133,bangun pagi gosok gigi cuci muka ptm lagi
134,semenjak ptm makin jatuh hati sama kafein
135,semenjak ptm jadi jarang mam mie instan
136,bersin mulu takut covid parno aja ggra ptm
137,kalian ptm ada istirahatnya aku gaada coba
138,muridnya covid sekolahnya tutup wkwk lucu banget suka banget sama ptm ya buu
139,sehari ptm full ajshdnhddndjbd
140,ptm aku nambah ilmu lebih dari dibuku di internet walopun agk oot dari materi yang dipelajari
141,nggakk maksudnya feel kalo ptm biasanya gue siapin mata pelajaran sm mandi pagi eh kaga
142,malesnya ptm bocil bangsat pd mencetin bel rumah gua asuuu pengen takol
143,kasus harian naik tetep maksain ptm walau terbatas
144,untung dah karena dah ptm tidur suka jam
145,yuhuuu setelah dua pjj di rumah balik ptm lagi mari siapsiap
146,mls ptm
147,ptm jdi jngn gue duduk jdi di depan
148,filing gue trakhir ptm
149,enak ptm full buat anak smk kyk aku sekolah jm smpe jm sore jdi plng sekolah udh capek bgtt tpi hrus maksain
150,aaa malas banget ptm
151,kyknya ptm disini bakal distop lagi deh
152,gue mau dietkenapa ya semenjak ptm susah banget
153,ya lagian ptm langsung jebret anak sekolah mau dijadiin kelinci percobaan omicron
154,ptm nder soalnya materi sama tugasnya lebih ngerti ketimbang pjj abis ptm belajarnya asik soalnya bareng temen
155,cape habis kisaran ptm full
156,asli capek ptm ulangan math indo trs latihan sore sampe jam lanjut nyicil ngerjain tugas
157,ribet banget coi udh kebiasa ptm balik lagi
158,nunggu kasus positif ngelonjak kemudian stop ptm heran waras
159,kalo gue liat liat sekolah gue batu anjir udh tau ada yang kena covid malah lanjut ptm diliburin aja
160,koko semakin banyak cov terdeteksi di sekolah imho mas menteri sudah waktunya mengevaluasi ptm
161,ptm enak ngerti materi terlalu banyak tugas kelompok sama individu
162,semenjak ptm gue sering banget tiba tiba kebangun lagi tidur abis reflek nangisngeluh capek
163,semoga jogja ikut ikutan aduhhh udah enak ptm
164,laahhh bukan di sekolah diterapkan diharuskan malahan seperti dipaksa di vaksin buat ptm
165,punya temen sebangku soalnya meskipun udah ptm full sekelas duduknya tetep di kasih jarak
166,ptm karna dapat uang jajan jadi paham sama materi yang lagi pelajari plusnya ketemu mas crus
167,seharusnya di tengah naiknya kasus covid varian omicron sementara sekolah kembali online saja nanti kalau sdh landai kasusnya ptm
168,please jangan pjj lagi please pengen ngehabisin tersisa sblm lulus sebaik mungkin
169,jangan smpe tmn kmps terpapar gegara ptm awas ja dibatalkan ptm krna nunggu kena dlu
170,bobo anjingg besok ptm
171,mulai mencium aroma aroma ptm
172,aku nanti pagi ptm belum tidur
173,aku masing ada kurlebnya pjj alu jenuh tp enak jadi lebih cape fisik ptm asik ktmu tmn
174,besok gue ptm anjirr gabisa tidur lagi
175,ptm jangan berenti pliss stress gua dirumah tai
176,besok ptm gabisa tidur anyink
177,lebih baik distop sementara melihat kasus penularannya yang lebih cepat pjj
178,kalau ptm enaknya gue bs ketemu guru praktek ayey
179,gueeee apaya gue suka ptm kbm aja gue mau sekolah
180,sumpah gue ptm
181,sumpah kalo dalam dekat ptm lagi aku di prank banget sama semesta
182,huh capek banget semenjak ptm gue udah mulai jarang ngefangirl kaya ih bosen banget kaya
183,aku ptm sorenya les skrng belum tidur
184,di tv katanya ada murid kena weh serem ptm persen
185,ihh besok ptm males banget
186,kampus gua rencananya semester depan udh ptm jujur seneng banget tp degdegan jg karena udah lama masuk kelas
187,omicron lagi naik naiknya ada pencegahan buat maksain ptm dlu nunggu ada yang kena
188,kalo ptm penjelasan lebih dipahami tugas dikit karna menekan pemahaman kalau pjj gila tugas
189,ptm soalnya pelajaran lebih meresap
190,semenjak ptm jdi jrng baca au
191,di sekolahku lagi ngeluh sakit sendi flu batuk sama badan anget udh banyak yang ngalamin termasuk aku sendiri ptm
192,semenjak ptm kerjaan gua kalo tidur ya ketiduran
193,wkwk biasanya tidur jam segitu kaaa wahaaa enak kaa aku males banget sekarang ptm
194,pjj tp ptm intine
195,kemarin ngotot ptm banyak kasusnya covid di sekolah sekarang ngumpet ya
196,gue sekolah ptm kayak buat healing ketawa cekikikan di rumah belum tentu kayak
197,udah semester awal ptm full pula tugasnya sama kayak daring bedanya yang sekrang banyak tugas
198,cape ptm jujur
199,gua msh mau main hp besok ptm
200,speechless sama pemda dki tetap ngotot ptm paling ngotot jakarta di lockdown
201,menemukan banyak pelanggaran prokes dalam pelaksanaan ptm persen
202,semenjak ptm jadi stress lagi ada makin stress anjing
203,sama ky ponakan saya mak dok saya bersikeras ortunya jangan pernah mau di vaksin ptmdaring aja
204,yyy betul sbnrnya pjj enak ptm jg enak tp skrng kasus omicorn lagi naik mending pjj dlu deh ngeri cuy
205,gatau deh masing punya kelebihan gua butuhin pjj uhuas dkk ptm gampang dimengerti
206,kemarin dah kena sekarng ptm lagi
207,by the way ya audeh nangis besok ptm huuuuuuuuuuuu
208,shift aku lelah banget nget nget sampai sekarng ngerjain tugas kalau pagi ngerjainnya takut selesai
209,aa mau udah lumayan nyaman ptm ntar otak bodoh lagi
210,depan ptm mau pengen per sesi aja masa setiap hapalan bahasa inggris sama keagamaan pusing
211,berupa teguran sudah ingatkan berkali prokes mungkin diterapkan di sekolah sanksi tegas
212,wagubnya tetap ngotot ptm full time
213,males ngotorin seragam buang bensin soalnya cmn pensi doang gt jadi ya ngapain mending di rumah
214,kyknya sekolah lain udh balik pjj lagi sekolah gue tetep ptm aneh
215,kalau punya cewe mending ptm tar biar bucin plek plek plek tiap
216,romansablue takut udah ptm
217,sekelas positif covid semua kantin ama kopsis sekolah ditutup tpi tetep disuruh ptm
218,schfess di gue ptm banyak sakit pilek batuk dll
219,schfess pjj krna ptm tmn asik tpi kalau pjj capek kuat ngerjain tugas yang masuk otak tpi kalau
220,lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya mau kejar materi malah isinya
221,kalau ptm di ganti belajar online trus pelajar vaksin kemarin sampai ada dipaksa
222,awal wow di bercandain ptm dadakan awal nyaman ptm walau tugas numpuk numpuk
223,udh mulai ptm ekskul jadi agak keteteran
224,setelah ptm aku jadi males banget
225,ptm mending kalau ada ulhar online semua aja
226,takut nanti pjj lagi jjur sebenernya gue jg maless ptm tp tugas kelompok banyak banget gue males kalau ngerjainnya onlen onlenan ribet
227,semangat ptm gaada ayang
228,mau nangis aja sekolahku balik sistem pjj bismillah balik ptm lagi
229,ptm kalo pjj nilai kesalip sama anak anak yang bersirkel
230,schfess males yakin sama siswa guru buka masker seenaknya ptm
231,hoo kentut ptm kentut kentut
232,aku dengar dari kalian ptm ya tatap muka belajarnya kerjanya belum wfh kasus udah naik
233,punya temen sebangku duduk sendiri karna blum ptm
234,kepada prov ptm di sekolahsekolah untuk ditunda peningkatan kasus harian
235,ptm pjj membuatku malas belajar
236,mending turu besok ptm tai kucing
237,yolahh gue seneng pjj lagi tpi ptm lebih seruu rasanya
238,beberapa progress sempet aku karena ptm fullday kebanyakan kerja kelompok
239,wkwk ptm cuma doang
240,enak bener ptm
241,mau maskeran muka berasa ad jerawat kecil semenjak ptm gegara pakai masker jdi pengap yh
242,update terkini aku wes mulai bosen ptm
243,sama bayangin km ptm tetep dikasih tugas
244,udah aja awalai semangat walaupun sekolah udah ptm tetap belajar
245,ptm membuatku sibuk
246,es pjj jangan kelamaan kayaknya aku bakal kangen ptm
247,besok ptm males banget pengen bobo
248,udah seruseru ptm
249,hadehh gue udh sibuk lagi gegara sekolah udh ptm bentar lagi wisuda kshakahsa seneng banget wisudanya offline
250,oke aja sekolah aku ptm udah ada kena soalnya
251,ptm smga ptm amin
252,belum ptm sekolah lain udh ada yang kena omnicorn yaudah yukk pjj lagi wkwk
253,di sekolah gue malah katanya png ptm awal february wkwk katanya aja soalnya denger dari temen
254,dahlah dri awal jg sdh tidak yakin ptm bakalan awet
255,smoga besok gue brkg pagi biar pilih tmpt duduk cuz ptm uda pasti bkl ad perebutan tmn duduk
256,course ptm seneng banget ptm aku paham materi ketawa ketawa ngobrol sana sinii termasuk healing menurutkuu
257,dampak positifnya cepet ngerti materi dapat uang jajan dampak negatifnya cape
258,biasanya jam lewat tp semenjak ptm jadi agak cepet
259,ambil positifnya alhamdullah ptm full
260,jujur lebih suka ptm tapiii temen gue beda sesi gue gapunya temen lagi di sesi yang sama kaya sebelumya
261,boop gaenak lahh kalau ptm selama belajar narik ingus mulu
262,mungkin gara ptm gue sering julid jadi suka lupa pls
263,semenjak ptm gue jadi suka lupa deadline tugas kalo lagi pjj gue inget
264,ayolah hentikan lagi ptm kesehatan semua warga jakarta
265,pjj ptm pahamnya sama aja tp kurangnya kalau ptm tugas banyak jadi fokus materi
266,gilaa ngeri banget sekolah ptm dan bru di kabarin kalau ada siswai yang positif covid untung milih ptm karena dilarang orang tua
267,baik baikk tapii besokk aku ptm lgi ihh mls banget
268,terjadi ptm terbatas jadi lirik lirikan senyam senyum di balik maskernya terlihat jelas
269,anjay besok ptm
270,iya anjir kerja kelompok mulu dari awal ptm
271,sekolah udah mulai bangkit ptm sampe tiba varian omicron hadir dari ln tiba menyebar di beberapa sekolah
272,enak aku ptm belajar di lab komputer lemot lagi lancar jaya dingin fokus
273,ptm cape tau ahaha
274,terbitnya dipertengahan mau ptm bakal ribet di real soalnya udah mulai nyusun skripsi
275,ah anjirlah besok aku ptmt udah nyaman ptm
276,fifty fifty kalau ptm enak tp banyak banget tugas kelompoknya anying capek banget
277,aku adaptasi sma ptm karena udah masuk full wlaupun pulangnya lebih cepet dari biasanya
278,besok pengen ijin bleh ya ptm udah aku gadapet duit tiap lagi serius lagi period enakkk banget
279,semenjak ptm diriku gampang pegel gampang mumet ndyas gampang ngantuk jarang makan pagi
280,hadeh udh enak ptm wkwk
281,mau pjj mau ptm kalo aku enjoy rasanya
282,ya pgn balik pjj orang kasusnya disini kasusnya naik trs beberapa sekolah disini udah ada yang positif
283,kalo pjj enak sambil makandengerin musikbisa selingin belajar tpstka susah mahami mater
284,ptmtapi pengennya di kejar kerja kelompok tugas individu yang numpuk
285,yes besok jadi ptm
286,lebih suka ptm jujur sihh jadi agak rajin alias mageran
287,ptm lagi bangsat
288,knp ptm malah capek banget
289,sekolahku ptm nder dari awal lalu ademm banget kayaknya ada kasus covid sama sekali
290,ptm ngerasa hidup lagi ekekekekekek
291,pjj mkan msh teratur ptm kacau mkan krna hrus cepet brngkt pulangnya jajan kenyang mkan dha
292,kayak konsisten banget gt pjj ya pjj ptm ya ptm
293,pengen ptm mama
294,pdhal lagi nyamannya ptm
295,gue takut full ptm karena karena disana tugastugas udah baris mau ngejar gue
296,ptm enaknya cuma kelompokan
297,pengen pjj pengen ptm
298,balik ptm lagi karena ada yang positif
299,harusnya jadi online siii aaa iya ada seru jg sihh ptm
300,iyaa capek ptm
301,sama anjir kalau pjj emg banyak bet tugasnya kayak ptm
302,pdhal sebulan ptm tpi udh mau remuk anjir badan
303,ptm pelajarannya lebih masuk otak kalo pjj jujur aja guruku jarang banget zoom jadi cuma ngasih materi
304,pjj tpi ptm seru tpi capek badan saya remuk belum kumpul extra
305,mungkin krna udah ptm jadi bnyak sibuk nugas
306,sumpah dah ptm tenang banget anjir ketika disuruh presentasi hafalan tampil di depan harus lgsg
307,bukan jadi syarat ptm vaksin covid anak ada paksaan
308,pertama ptm jadinya jemput adek jujur seneng banget liat sekolah interaksi sama temen seumuran
309,daripada ptm mending pjj
310,bangsat doain skolah gue biar pjj males bangun pagi anjing kalau ptm
311,lama gue jadi pengen pjj aja ptm
312,udh ptm jdi ptmt lagi sialan
313,ada kasus positif di sekolah tetap tenang ptm spt biasa rambut gondrongdicat pulang dl mas mbak dibenerin dl rambutnya nggih
314,kembaliin tidurku woiiii anjir ptm makin banyak aja tugas
315,sekolahku tetep ptm masa nai banyak yang positif
316,males besok ptm
317,gue bosen cmn ngerasa lebih seru ptm aja
318,kalo ptm pasti jam segini udah ngantuk
319,srius moga ptm gasih dah bosen gt
320,udah gt sekolah dah ptm trs gegara naik lagi kasusnya ada omicron segala
321,kelasnya yang kena word iya di ptm yang lainnya padahal bs aja papasan dijalan gt aku sm temen
322,di aku ptm omg kayaa rame bgtt suka
323,sekolah sender mau balik ptm lagi huhu
324,hadueee mtk menyusahkan untung besok pjj kalo besok ptm ketar ketir aku belum ngerjain pr mtk
325,ptm dong biar semangat belajar
326,gatau lagi bingung mau ngapain di rumah mau ptm
327,enak ptm full buat anak smk kyk aku sekolah jm smpe jm sore jdi plng sekolah udh capek banget
328,besok ptm lagi tp ak galau lagian kpn jadi banyak yang positif elah
329,sudah lelah ptm
330,kirain ptm tugasnya banyak eh malah makin kesana makin kesini makin kesitu makin kedepan makin hadeh
331,selesai magang dihantam laporan proposal belum lagi kuliah udah mulai masuk depan sistem ptm
332,di lingkungan gue awalnya sekolahsekolah mulai memberlakukan ptm balik pjj lagi karena banyak sakit
333,males banget ptm besok
334,surat edaran ptm bru keluar sedangkan ptm di mulai udh febuari
335,ncerna materi menurutku enakan ptm kalo pjj banyak ketinggalan pemalas kayak aku huhu
336,besok sekolah ptm malesnya sampai tulang
337,ethypnos gue mikirnya tiap ptm khawatir kayak
338,sekolah mau stop ptm aja ya banyak anak yang belum usia vaksin
339,jadi ptm lagi kah
340,dlu wktu sblm ada korona krna terbiasa ptm sukanya ptm skrng korona berlangsung dah terbiasa pjj
341,pjj ptm langsung tipes gue
342,semenjak ptm kerjaan aku kalo stress ya nahan laper
343,kwkwk mulai banyak sekolah yang ada kasus positifnya sekolah gue jg korban ptm eh skrng udh pjj lagi
344,belum nugas besok ptm tugasnya dibawa
345,ptm seru pjj enak
346,sekolah sender ptm eh murid ada yang positif dong
347,paling ngebet ptm biasanya paling sering pake masker bener
348,lebih suka ptm karena udah kebiasa ptm lebih paham materi tugasnya sebanyak pjj
349,semoga pjj sampe ajaran berakhir ya allah gatau suka ptm
350,kemarin gue ptm kak cmn ad yang covid jadi online lagi semoga di sekolah adeknya ada yang covid yaa
351,serba salah ya kalo pjj masuk otak tp kalo ptm terlalu maksain
352,sedih sebenernya kalo emang jalan baik yaudah deh penting sekolah sehat ptm lagi
353,di sekolah gua ada yang positif tp ptm
354,temanku takut ptm karena ada covid tp lagi jalan jalan bali
355,menurut aku pribadi aku lbh suka ptm hiks seru materi lbh nyantol nanya temen kalau ngerti
356,yang kuliah ptm terbatas sedangkan tingkatan paud tk yang jelas ngatur diri sendiri aja susah sudah
357,ada kalau ptm enak ngobrol bareng temen sharing materi gampang tpi ya santai
358,udaah dong capeek udah ptm soalnyaa
359,by the way kasian banget pcr dibolehin masuk ptm karna sembuh
360,sekolah nugas sii sklhnya udh ptm yaa trs plngnya sore
361,lagi naik kasus omicron ada sekolah yang maksain ptm
362,ptm di sekolahku tugasnya emang nambah banyak tambah repot
363,sebenarnya ptm tugas kelompoknya minta ampun banyak banget
364,pjj ptm sama aja capeknya
365,bajingan ptm awal tugas presentasi banyak banget ngentot
366,ptm walopun buat remuk badan sosialisasi sama gurunya enak ngajarinnya kalo pjj pda males
367,gua yang dlu stan grup hapal semua update semenjak ptm cuman fokus grup doang
368,apan anjir udah ptm aja tetap dapet uang jajan
369,ko bingung ya katanya mau nambah moment di sekul ko harapannya jangan sampe ptm lagi
370,ptm tetap aja ak lebih memilih ptm dari pjj
371,enak ptm tpi yang alias disesi lagi
372,ptm enak dah
373,tiga ptm udh online lagi gegara ada orang tua murid positif
374,wah daya ketertarikan baca au sudah mulai menurun drastis kayaknya karna ptm nyatet sm nuga
375,sekolah udah ptm aku jg pgn ngampus
376,kelas lain lanjut ptm yang kena udh masuk sekolah berharihari
377,pjj pernah teratur kalau ptm teratur separah pjj
378,apapun gue udh liat orang di igs pd post result pcr positive gegara ptm ak sarjana cvd jadi agak parno lagi
379,berupa teguran sudah ingatkan berkali prokes mungkin diterapkan di sekolah sanksi tegas
380,im takut bismillah ada yang positif soalnya udh nyaman ptm anjirr
381,ptm seru cape banget trus guru kalo tugas mending mandiri aja deh gue sebel banget kalo dikelompok
382,pgn kena kopit lagi ah anjg biar pjj lagi gue males ptm
383,ptm njirr kalau pjj aiu gapunya wifi kuota miskin kalau ptm rasanya malasku semakin pergi jauh dari kehidupanku
384,sumpah ptm seru banget sieeeee
385,ptm tp maunya pjj aja cape soalnya crush gapeka
386,pjj aku teratur ptm berantakan cmn makan sarapan
387,segobloknya aku ptm lebih mending ptm semuanya terasa lebih genuine pjj bener bener kena mental gamau lagi gue
388,sudah kuat ptm tolongg haloo kameranya dimana ya saya mau melambaikan tangan
389,males banget anjing bsok ptm
390,soalnya kayak abis sekolah gue dinyatain ada yang terpapar covid sekolah lain tibatiba dibatalin ptm nyaaaa
391,wah bahaya udh hampir sebulan ptm sekarng bosen
392,kalo ulangan ya ptm kalo ulangan pjj tetap di hati
393,keren dari mananya enak ptm
394,bingung mbah udah paksin yang ptm malah anak sd logikanya mahasiswa lebih mudah diatur ya
395,covid naik nanti tetep ptm hadeh kontol
396,nie ak kalo ptm pasti tepar
397,arusnya sekolah online selama ptm lagi dah gila kalau online kecuali semua swasta
398,besok udh ptm lagii tpi males banget
399,eneran deh dari awal ptm belajar aku jadi teratur banget ngerasa ada progress samsek ueeee
400,ebenernya suka pjj kalo ptm cuci mata
401,capek banget banyak tugas kalo pjj mau ptm ae anjing
402,usah ptm dah tertanda seorang kesepian kalau ada adeknya di rumah
403,badan gue sakit semua padahal ikut ptm
404,ptm serukalo kalian punya temen
405,hmm di ngawi ptm diliburkan lagi kembali dariing
406,bukannya gua doa buruk buruk semoga sekolah gua ada yang kena covid gagal ptm
407,plis deh udah nyaman ptm ketemu banyak temenmsih ada kerja kelompok ujian bentar lagi mesti pjj lagi
408,gua kira dikibulin guru pjok taunya beneran daring awikwikwik ptm sekali yhaaa kocak
409,ak kalau tugas suka pjj soalnya kalau ptm waktunya kelamaan aku suka keburu lupa males aneh tpi nyata
