id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author
1.49E+18,Fri Feb 04 02:23:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mau ptm aja ribet banget persyaratannya,ptm aja ribet banget persyaratannya,in,0,0,veanoa_
1.49E+18,Fri Feb 04 02:23:18 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@joshujiee Emg blm pernah ptm ato balik pjj lagi?,emg blm ptm pjj lagi,in,0,0,cetenotpete
1.49E+18,Fri Feb 04 02:23:11 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ngga usah ptm 50% lahh, pjj aja udh ampe lulus 🙂",usah ptm lahh pjj aja udh ampe lulus,in,0,0,gendmut
1.49E+18,Fri Feb 04 02:22:56 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gua mau ngomong “besok ptm anjing bangun pagi woi?” juga ga mempan😭 https://t.co/Xbf8oiz2vh,gua ngomong besok ptm anjing bangun pagi woi mempan,in,0,0,sychopathicrain
1.49E+18,Fri Feb 04 02:22:44 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@wolfbitieee enakan ptm lah,enakan ptm,in,1,1,scftysh
1.49E+18,Fri Feb 04 02:22:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Hari trakhir PTM harus banyak jajan banyak foto 😗,trakhir ptm harus banyak jajan banyak foto,in,0,0,nqctxphilix
1.49E+18,Fri Feb 04 02:22:13 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Di hari terakhir PTM kmren dah nangis aku,ptm kmren dah nangis aku,in,0,0,chenle__kiyowo
1.49E+18,Fri Feb 04 02:21:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@schfess aku mau ptm 50% !!! pls kangen bgt,aku ptm pls kangen bgt,in,1,0,miladuez
1.49E+18,Fri Feb 04 02:21:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@cetenotpete waktu itu udh ptm, cuman di daerah ku lagi zona merah",udh ptm cuman daerah lagi zona merah,in,0,0,nasungcalv
1.49E+18,Fri Feb 04 02:21:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ketek_biass aq lebih suka ptm, dpt uwang saku byeeee🥰🥰🥰🥰🤗😌🤪",aq suka ptm dpt uwang saku byeeee,in,0,0,bunnydoyiechi
1.49E+18,Fri Feb 04 02:21:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pdhl ya, klo ptm mah pasti banyak jamkos ini... cpetan ptm lagi donk 😓",pdhl klo ptm mah banyak jamkos cpetan ptm lagi donk,in,0,0,aylste
1.49E+18,Fri Feb 04 02:21:01 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ini lah mengapa sy lebih suka PTM,sy suka ptm,in,0,0,oifelixz_
1.49E+18,Fri Feb 04 02:20:56 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@convomf Gw sih mau pjj aja , soalnya ptm ga punya temen. Mainnya circle''an. Mau ikyt gabung responnya pada gimana gitu, kaya dikacangin trys",gw sih pjj aja soalnya ptm temen mainnya circle an ikyt gabung responnya gitu kaya dikacangin trys,in,0,0,gracehaero
1.49E+18,Fri Feb 04 02:20:50 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",YAAA GUA SEDIKIT NYAMAN PTM SI https://t.co/zRcHoL87WD,yaaa gua nyaman ptm si,in,0,0,trvisO4
1.49E+18,Fri Feb 04 02:20:33 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@PemkotMalang @adisukardi @Dikbudmalangkot @yusufgunawan @ipoksamidub @pkm_cisadea Semoga smua sekolah bisa menyikapi dg bijak dan cepat mengambil keputusan terkait temuan disekolahnya utk kasus aktip biar ga nyebar.btw pie min keputusan SE PTM 50% di kota malang? Kok gak ada kabar?,semoga smua sekolah menyikapi dg bijak cepat keputusan terkait temuan disekolahnya untuk kasus aktip biar nyebar btw pie min keputusan ptm kota malang ada kabar,in,0,0,old_soldier1023
1.49E+18,Fri Feb 04 02:19:59 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mamam tuh SKB 4 menteri. Dl pas yg vaksin br org dewasa, 18 tahun k atas. Anak” umur dibawahnya yg malah harus masuk. Giliran banyak yg kena br anak” umur 6 tahun k atas divaksin. Tp ttp anak usia PAUD wajib PTM. Ini begimana cb pikirannya. https://t.co/iKjRQ1omJF",mamam tuh skb menteri pas vaksin dewasa anak umur dibawahnya bahkan harus masuk giliran kena anak umur divaksin tp ttp anak usia paud wajib ptm begimana cb pikirannya,in,0,0,anorexicats
1.49E+18,Fri Feb 04 02:19:58 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Eug sih ogah ya ngizinin adek gw ptm kalo kondisinya begini. https://t.co/QTBvnxbCrM,eug sih ogah ngizinin adek gw ptm kalau kondisinya begini,in,0,0,T0iletseatbr0ke
1.49E+18,Fri Feb 04 02:19:48 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@cetenotpete ptm tp skrg libur,ptm skrg libur,in,0,0,hongjoshluv
1.49E+18,Fri Feb 04 02:19:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IH MENDING PJJ DAH DARI PADA PTM 50%,ih mending pjj dah dari ptm,in,0,0,KxGiraffe
1.49E+18,Fri Feb 04 02:19:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@SINDOnews Jangan Menunggu Meledak baru distop, stop PTM agar tidak meledak 
NAMANYA JUGA ANAK ANAK, WAJAR SAJA 
PTM Tidak Distop ? Begini Fakta Yang Terjadi. Di Sekolah Prokes Bisa Dikontrol di Luar Sekolah ? Apalagi Guru Guru, Boosternya Sudah Sangat Terlambat 
https://t.co/hCssmAOKqS https://t.co/CpK9e3txoQ",jangan menunggu meledak distop stop ptm agar meledak namanya anak anak wajar saja ptm distop begini fakta sekolah prokes dikontrol sekolah guru guru boosternya terlambat,in,0,0,BangsaGuru
1.49E+18,Fri Feb 04 02:19:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@odetohanniee Emg blm mulai ptm ato ada yg positif jadi pjj lg?,emg belum ptm ada positif pjj lagi,in,0,0,cetenotpete
1.49E+18,Fri Feb 04 02:18:51 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@cetenotpete ptm tp meliburkan diri xixi,ptm tp meliburkan xixi,in,0,0,joshualouvie
1.49E+18,Fri Feb 04 02:18:47 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ljnchoco Enak ptm ga sie, dapat uang jajan😭",enak ptm sie uang jajan,in,0,0,xxasj_i
1.49E+18,Fri Feb 04 02:18:45 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dah seneng2 kmrn ptm eh bngst di ruqyah dulu seminggu,dah seneng kemarin ptm eh bngst ruqyah,in,0,0,dinojunn_
1.49E+18,Fri Feb 04 02:18:19 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",alo guys seharusnya gw hari ini ptm tp krn gw lg gaenak badan kurang fit jd gw ikt pjj di rmh,alo guys seharusnya gw ptm tp krn gw lagi gaenak badan kurang fit gue ikt pjj rumah,in,0,0,youvlnsshx
1.49E+18,Thu Feb 03 14:03:47 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",YA ALLAH BESOK DARING LAGI😭😭😭😭 BELOM PUAS PTM UEUEE,allah besok daring lagi belom puas ptm ueuee,in,0,0,JAEMINBOMS
1.49E+18,Fri Feb 04 02:17:34 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ahehsgehe padahal udah seneng bisa sekolah bareng dia soalnya pas ptm 50%  gak ketemu,, ehh pjj lagi 🤬",aku harusnya ppj tp diperpanjang sampe aaaa ptm,in,0,0,vrsuhce
1.49E+18,Fri Feb 04 02:17:31 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@subschfess pjj pengen pjj, ptm pengen ptm🥴😻",walau aku males sekolah tp g gini woi ptm lagi,in,0,0,mintzeuu
1.49E+18,Fri Feb 04 02:17:19 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Askrlfess Yg bikin aku ga percaya indonesia bisa mulai ptm :),ptm dipisah anak absen absen temen gue absen gue absen,in,0,1195,cheesypisy
1.49E+18,Fri Feb 04 02:17:11 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@wonIucu aku harusnya ppj cuma 2 minggu tp diperpanjang sampe 1 bulan 😿😿😿 aAAA MAU PTM 😿,iyaa tp sekolahku dari awal emg ptm itupun bebas pilih ptm pjj aku pilihnya pjj aku gapernah ptm,in,0,2,ljnchoco
1.49E+18,Fri Feb 04 02:17:03 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","walau aku males sekolah, tpi g gini juga kali woi masa PTM 50% lagi😭",baju rumah alias saya iriii ptm jugaa,in,0,0,RaphaelRay0404
1.49E+18,Fri Feb 04 02:16:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ptm jadi 50% trs dipisah anak absen atas sm absen bawah. tapi temen gue adanya di absen atas dan gue absen bawah :((,pengen beliin anak masker aja sih soalny udh ptm,in,0,0,bigwin123410
1.49E+18,Fri Feb 04 02:16:37 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@xxasj_i iyaa, tp sekolahku dari awal emg cuma 50% ptm dan itupun bebas pilih mau ptm/pjj tapi aku pilihnya pjj hehe jadi aku gapernah ptm👍🏻",hilih mah pengen pemes anak laki laki yg skrg bahkan sibuk ank cowo kumpul ketawa brg rada iri karna ayang gue anjir ptm full soft banget gue giliran udah ptm full bahkan diambil cewek anjir,in,0,0,ArmyismyF
1.49E+18,Fri Feb 04 02:16:12 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@schfess Baju rumah lah lo semua alias SAYA IRIII MAU PTM JUGAA https://t.co/I2WgEysi7e,ptm duit ilmu gampang nyantol ketemu temen resiko angka covid pjj rebahan capek kaya ptm resiko ilmu kurang nyantol persepsi gue,in,0,0,iceskyu
1.49E+18,Fri Feb 04 02:16:06 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@GAHunterFess Pengen beliin anak masker aja sih, soalny dia udh mulai PTM setiap hari🙈",bahaya kalau dki menutup ptm luhut takut rakyat penerbangan jg negeri ditutup ada alasan melonggarkan pendatang dari negeri,in,0,0,bambang42652819
1.49E+18,Fri Feb 04 02:15:43 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","'hilih dia mah cuma pengen pemes sama anak laki laki'  ucap seseorang,  yg skrg malah sibuk sma ank cowo kumpul ketawa"" brg, rada iri karna dia ngambil ayang gw anjir...  Padahal kan sebelum ptm full dia soft bgt sm gw,  nah giliran udh ptm full malah diambil cewe itu anjir...",keraguan tinggi gue senang dukung banget anak ptm termasuk masgub an,in,0,15,IndrajitRifky
1.49E+18,Fri Feb 04 02:15:41 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ptm : dapet duit, ilmu lebih gampang nyantol, ketemu temen (resiko : angka covid naik)
pjj : bisa sambil rebahan, ga sebegitu capek kaya ptm (resiko : ilmu kurang nyantol)
^^ persepsi gue",aku sedih liat covid udh bgt tp ptm diberhentiin cluster ptm udh banyak bgt,in,0,0,yuuunski
1.49E+18,Fri Feb 04 02:14:27 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@CNNIndonesia Berarti gak bahaya, atau kalau DKI menutup PTM, Luhut takut rakyat minta penerbangan luar negeri jg ditutup, jadi gak ada alasan melonggarkan pendatang dari luar negeri.",temen sekelasku gitu nder batuk batuk lagi ptm,in,0,0,rameuda
1.49E+18,Fri Feb 04 02:14:14 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @francmohede: Dengan keraguan tinggi gue juga senang dan dukung banget anak2 bisa PTM, termasuk Masgub @aniesbaswedan yang juga punya an…",skrg lagi pjj kmrin ptm semoga ptm,in,0,0,loafzzchenle
1.49E+18,Fri Feb 04 02:14:06 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aku sedih liat covid udh naik bgt, tp PTM gak diberhentiin. Padahal cluster PTM udh banyak bgt.",yaa sebenernya ptm pjj ada plus minus sendiri gue sebagai team netral sieh,in,0,0,iceskyu
1.49E+18,Fri Feb 04 02:13:44 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@convomf temen sekelasku gitu semua nder, batuk batuk juga, mana lagi ptm",semangt yg belum ngerasain ptm,in,0,0,jeozngjaehyun
1.49E+18,Fri Feb 04 02:13:34 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@gupismile skrg lgi pjj, tpi kmrin ptm semoga minggu depan ptm",udh ptm,in,0,0,parasol10781033
1.49E+18,Fri Feb 04 02:13:32 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gimana yaa sebenernya ptm dan pjj ada plus minus nya sendiri dan gue disini sebagai team netral sieh 😎😎,aku pikir anies cukup pengetahuan utk mengusahakan ptm tetap aman usaha usaha utk menjaga warganya tetap aman,in,0,0,irwanto_4li
1.49E+18,Fri Feb 04 02:13:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@wajaar Semangt ya yg belum ngerasain ptm,teori pjj tp tolong praktek dibisain ptm terbatas gpp deh anjir rugi duid gua beli alat praktek bahan dsb pen ngerasain megang alat praktek sesuai yg standar berlaku industri bentar lg lulus ntr perusahaan kek tulul,in,0,0,zrnshafa
1.49E+18,Fri Feb 04 02:13:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",senin udh ptm :),jikalau jakarta omicron cluster ptm meledak maka salah anies baswedan,in,0,0,bobmcassar
1.49E+18,Fri Feb 04 02:13:12 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Aku pikir Pak Anies cukup punya pengetahuan utk  mengusahakan PTM tetap aman. Atau usaha-usaha lainnya utk menjaga warganya tetap aman. https://t.co/6kjtIri4ql,kayak kelasku kalo ptm,in,0,0,ruitonabe
