,tweet,clean_text
15,"@subschfess Pengennya pjj tapi gurunya bisa ngasih materi gitu terus tugasnya ga usah banyak banyak, kalo ptm pengennya dikurangin lah kasih kerkelðŸ˜”

Bisa ga sih pjj rasa ptm gituðŸ˜­",pengennya pjj gurunya ngasih materi tugasnya usah banyak banyak kalau ptm pengennya dikurangin kasih kerja kelompok pjj rasa ptm
16,mending PTM si bener kalau daring banyak bangt tugas nya,mending ptm bener kalau daring banyak banget tugas
17,kangen ptm https://t.co/Yo8Jdg3O4Z,kangen ptm
18,jangan ptm dulu huahua :( tunggu gue sembuh duluuu,jangan ptm huahua tunggu gue sembuh dulu
19,"yg masih ptm enak bgt deh, aku iri :(",ptm enak banget deh aku iri
20,"we kangen bngt pdhl br kmrn ptm, KANGEN GANGGUIN PREMA AJUS HUEEEEEE",kangen banget kemarin ptm kangen gangguin prema ajus hue
21,"@sccumma Emg kita kyknya bakal gt ga sih ðŸ˜­ðŸ˜­

Sekolah gw dari yg semangat bgt ptm 100% sekarang katanya lg lockdown selama 2 minggu terakhir",emg kayaknya bakal sekolah gue dari semangat banget ptm sekarang katanya lagi lockdown selama
22,"@4ivengers HAH KOK ENAK PTM, AING DARING",hah enak ptm aing daring
23,Tumben @fadlizon punya akal sehat untuk mengajak orang menggunakan akal sehat. https://t.co/yjlC8pF6ni,tumben punya akal sehat mengajak menggunakan akal sehat
24,harusnya kalo berani mencetuskan ptm 100% sih ya udh siap dong penanggulangannya kek gimana. ini tempat karantina aja kaga disediain trs kalo seumpa ada yang positif gimane dah? masa mau ttp di kosan meanwhile ga dia doang yang tinggal disitu,kalau berani mencetuskan ptm sudah siap dong penanggulangannya kayak tempat karantina aja kaga disediain kalau seumpa ada positif gimane dah masa mau tetap kosan meanwhile doang tinggal disitu
25,"RT @novifath: Kalo emang harus PJJ di situasi kek gini , aku dukung deh. Walaupun lebih suka PTM. Karena ini tiap hari dikepung orang-orangâ€¦",kalau emang pjj situasi kayak aku dukung deh walaupun lebih suka ptm karena tiap dikepung orangorang
26,ALAHHH GA MOOD ANJIR PTM MAU 50% LAGI,alahhh mood anjir ptm mau lagi
27,sepertinya semester ini ptm adalah ide buruk,sepertinya semester ptm ide buruk
28,MANA SEMINGGU PTM SEMINGGU PJJ LAGI GWE KSL BNGT SIAL,ptm pjj lagi gue kesel banget sial
29,"baru juga seneng ngerasain ptm, eh skrng malah gini lagi hdehh ðŸ™„ https://t.co/UfU5c8a9IB",seneng ngerasain ptm eh sekarang malah lagi hadeh
30,Ketika udah seneng mindep mau pembelajaran ptm 100% ehhh malah gk jd dan rasanya kek jsbadndmks whyyy ad senang (gk ketemu guru killer) tp jg ad sedih (gk ketemu teman2) sksks serba salah astagaðŸ˜©,ketika sudah seneng mindep mau pembelajaran ptm ehhh malah jadi rasanya kayak jsbadndmks why ada senang ketemu guru killer ada sedih ketemu teman wkwk serba salah astaga
31,mau balik ke ptm plis :(,mau balik ptm plis
32,"GUE GA MAU PJJ ASLI, lebih milih ptm tapi jamkos dripada pjj",gue mau pjj asli lebih milih ptm jam kosong pjj
33,"@leendino Ooo sama nih dom ku jg zona merah tapi sekolah msh ada niat balik ptm ðŸ˜­ðŸ˜­, stay safe yaaa",ooo sama dom zona merah sekolah ada niat balik ptm stay safe yaaa
34,mau ptm aja ribet banget persyaratannya,mau ptm aja ribet banget persyaratannya
35,@joshujiee Emg blm pernah ptm ato balik pjj lagi?,emg belum pernah ptm balik pjj lagi
36,"ngga usah ptm 50% lahh, pjj aja udh ampe lulus ðŸ™‚",usah ptm lahh pjj aja sudah sampai lulus
37,gua mau ngomong â€œbesok ptm anjing bangun pagi woi?â€ juga ga mempanðŸ˜­ https://t.co/Xbf8oiz2vh,gua mau ngomong besok ptm anjing bangun pagi woi mempan
38,@wolfbitieee enakan ptm lah,enakan ptm
39,Hari trakhir PTM harus banyak jajan banyak foto ðŸ˜—,ptm banyak jajan banyak foto
40,Di hari terakhir PTM kmren dah nangis aku,ptm kemarin dah nangis aku
41,@schfess aku mau ptm 50% !!! pls kangen bgt,aku mau ptm pls kangen banget
42,"@cetenotpete waktu itu udh ptm, cuman di daerah ku lagi zona merah",sudah ptm cuma daerah lagi zona merah
43,"@ketek_biass aq lebih suka ptm, dpt uwang saku byeeeeðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¤—ðŸ˜ŒðŸ¤ª",biasa aku lebih suka ptm dapat uang saku bye
44,"pdhl ya, klo ptm mah pasti banyak jamkos ini... cpetan ptm lagi donk ðŸ˜“",kalau ptm mah pasti banyak jam kosong cepet ptm lagi dong
45,ini lah mengapa sy lebih suka PTM,saya lebih suka ptm
46,"@convomf Gw sih mau pjj aja , soalnya ptm ga punya temen. Mainnya circle''an. Mau ikyt gabung responnya pada gimana gitu, kaya dikacangin trys",gue mau pjj aja soalnya ptm punya temen mainnya circlean mau ikut gabung responnya kaya dikacangin
47,YAAA GUA SEDIKIT NYAMAN PTM SI https://t.co/zRcHoL87WD,yaaa gua sedikit nyaman ptm
48, @PemkotMalang @adisukardi @Dikbudmalangkot @yusufgunawan @ipoksamidub @pkm_cisadea C50Semoga smua sekolah bisa menyikapi dg bijak dan cepat mengambil keputusan terkait temuan disekolahnya utk kasus aktip biar ga nyebar.btw pie min keputusan SE PTM 50% di kota malang? Kok gak ada kabar?,semoga semua sekolah menyikapi bijak cepat mengambil keputusan terkait temuan disekolahnya kasus aktif biar nyebar by the way pie min keputusan ptm kota malang ada kabar
49,"Mamam tuh SKB 4 menteri. Dl pas yg vaksin br org dewasa, 18 tahun k atas. Anakâ€ umur dibawahnya yg malah harus masuk. Giliran banyak yg kena br anakâ€ umur 6 tahun k atas divaksin. Tp ttp anak usia PAUD wajib PTM. Ini begimana cb pikirannya. https://t.co/iKjRQ1omJF",mamam skb menteri dl vaksin br dewasa atas anak umur dibawahnya malah masuk giliran banyak kena anak umur divaksin tetap anak usia paud wajib ptm begimana coba pikirannya
50,Eug sih ogah ya ngizinin adek gw ptm kalo kondisinya begini. https://t.co/QTBvnxbCrM,eug ogah ngizinin adek gue ptm kalau kondisinya begini
51,@cetenotpete ptm tp skrg libur,ptm sekarang libur
52,IH MENDING PJJ DAH DARI PADA PTM 50%,iih mending pjj dah dari ptm
53,"@SINDOnews Jangan Menunggu Meledak baru distop, stop PTM agar tidak meledak 
NAMANYA JUGA ANAK ANAK, WAJAR SAJA 
PTM Tidak Distop ? Begini Fakta Yang Terjadi. Di Sekolah Prokes Bisa Dikontrol di Luar Sekolah ? Apalagi Guru Guru, Boosternya Sudah Sangat Terlambat 
https://t.co/hCssmAOKqS https://t.co/CpK9e3txoQ",jangan menunggu meledak distop stop ptm agar meledak namanya anak anak wajar saja ptm distop begini fakta terjadi sekolah prokes dikontrol sekolah guru guru boosternya sudah sangat terlambat
54,@odetohanniee Emg blm mulai ptm ato ada yg positif jadi pjj lg?,emg belum mulai ptm ato ada positif jadi pjj lagi
55,@cetenotpete ptm tp meliburkan diri xixi,ptm meliburkan diri xixi
56,"@ljnchoco Enak ptm ga sie, dapat uang jajanðŸ˜­",enak ptm sie dapat uang jajan
57,Dah seneng2 kmrn ptm eh bngst di ruqyah dulu seminggu,dah seneng kemarin ptm eh bangsat ruqyah
58,alo guys seharusnya gw hari ini ptm tp krn gw lg gaenak badan kurang fit jd gw ikt pjj di rmh,halo guys gue ptm karena gue lagi enak badan kurang fit jadi gue ikut pjj rumah
59,"ahehsgehe padahal udah seneng bisa sekolah bareng dia soalnya pas ptm 50%  gak ketemu,, ehh pjj lagi ðŸ¤¬",ahehsgehe sudah seneng sekolah bareng soalnya ptm ketemu ehh pjj lagi
60,GW LAGI PTM (breaktime dw) IM HOLDINGIN MY LAGUHTER,
61,"@subschfess pjj pengen pjj, ptm pengen ptmðŸ¥´ðŸ˜»",pjj pengen pjj ptm pengen ptm
62,@Askrlfess Yg bikin aku ga percaya indonesia bisa mulai ptm :),aku percaya indonesia mulai ptm
63,@wonIucu aku harusnya ppj cuma 2 minggu tp diperpanjang sampe 1 bulan ðŸ˜¿ðŸ˜¿ðŸ˜¿ aAAA MAU PTM ðŸ˜¿,aku ppj cuma diperpanjang sampai aaaa mau ptm
64,"walau aku males sekolah, tpi g gini juga kali woi masa PTM 50% lagiðŸ˜­",walau aku males sekolah woi masa ptm lagi
65,ptm jadi 50% trs dipisah anak absen atas sm absen bawah. tapi temen gue adanya di absen atas dan gue absen bawah :((,ptm jadi dipisah anak absen atas sama absen temen gue adanya absen atas gue absen
66,"@xxasj_i iyaa, tp sekolahku dari awal emg cuma 50% ptm dan itupun bebas pilih mau ptm/pjj tapi aku pilihnya pjj hehe jadi aku gapernah ptmðŸ‘ðŸ»",iyaa sekolahku dari awal emg cuma ptm bebas pilih mau ptm pjj aku pilihnya pjj jadi aku gapernah ptm
67,@schfess Baju rumah lah lo semua alias SAYA IRIII MAU PTM JUGAA https://t.co/I2WgEysi7e,baju rumah semua alias saya iri mau ptm
68,"@GAHunterFess Pengen beliin anak masker aja sih, soalny dia udh mulai PTM setiap hariðŸ™ˆ",pengen beliin anak masker aja soalnya sudah mulai ptm setiap
69,"'hilih dia mah cuma pengen pemes sama anak laki laki'  ucap seseorang,  yg skrg malah sibuk sma ank cowo kumpul ketawa"" brg, rada iri karna dia ngambil ayang gw anjir...  Padahal kan sebelum ptm full dia soft bgt sm gw,  nah giliran udh ptm full malah diambil cewe itu anjir...",halah mah cuma pengen pemes sama anak laki laki ucap seseorang sekarang malah sibuk sama anak cowo kumpul ketawa bareng rada iri karena ngambil sayang gue anjir sebelum ptm full soft banget sama gue giliran sudah ptm full malah diambil cewe anjir
70,"ptm : dapet duit, ilmu lebih gampang nyantol, ketemu temen (resiko : angka covid naik)
pjj : bisa sambil rebahan, ga sebegitu capek kaya ptm (resiko : ilmu kurang nyantol)
^^ persepsi gue",ptm dapet duit ilmu lebih gampang nyantol ketemu temen resiko angka covid naik pjj sambil rebahan sebegitu capek kaya ptm resiko ilmu kurang nyantol persepsi gue
71,"@CNNIndonesia Berarti gak bahaya, atau kalau DKI menutup PTM, Luhut takut rakyat minta penerbangan luar negeri jg ditutup, jadi gak ada alasan melonggarkan pendatang dari luar negeri.",berarti bahaya kalau dki menutup ptm luhut takut rakyat minta penerbangan negeri ditutup jadi ada alasan melonggarkan pendatang dari negeri
72,"RT @francmohede: Dengan keraguan tinggi gue juga senang dan dukung banget anak2 bisa PTM, termasuk Masgub @aniesbaswedan yang juga punya anâ€¦",keraguan tinggi gue senang dukung banget anak ptm termasuk masgub punya
73,"Aku sedih liat covid udh naik bgt, tp PTM gak diberhentiin. Padahal cluster PTM udh banyak bgt.",aku sedih liat covid sudah naik banget ptm diberhentiin cluster ptm sudah banyak banget
74,"@convomf temen sekelasku gitu semua nder, batuk batuk juga, mana lagi ptm",temen sekelasku semua nder batuk batuk lagi ptm
75,"@gupismile skrg lgi pjj, tpi kmrin ptm semoga minggu depan ptm",sekarang lagi pjj tpi kemarin ptm semoga ptm
76,gimana yaa sebenernya ptm dan pjj ada plus minus nya sendiri dan gue disini sebagai team netral sieh ðŸ˜ŽðŸ˜Ž,yaa sebenernya ptm pjj ada plus minus sendiri gue disini sebagai team netral
77,@wajaar Semangt ya yg belum ngerasain ptm,semangat belum ngerasain ptm
78,senin udh ptm :),sudah ptm
79,Aku pikir Pak Anies cukup punya pengetahuan utk  mengusahakan PTM tetap aman. Atau usaha-usaha lainnya utk menjaga warganya tetap aman. https://t.co/6kjtIri4ql,aku pikir anies cukup punya pengetahuan mengusahakan ptm tetap aman usaha usaha lainnya menjaga warganya tetap aman
80,"@schfess @aqyuiver Teori pjj gapapa tapi tolong praktek dibisain ptm terbatas gpp deh;-; anjir tekor duid gua beli alat praktek, bahan, dsbðŸ˜­pen ngerasain megang alat praktek sesuai standar yg berlaku di industri, bentar lg lulus ntr di perusahaan kek org tulul;-;",teori pjj tolong praktek dibisain ptm terbatas gpp deh anjir tekor duid gua beli alat praktek bahan sebagainya pengen ngerasain megang alat praktek sesuai standar berlaku industri bentar lagi lulus bantar perusahaan kayak tolol
81,@marlina_idha Terus jikalau di Jakarta omicron cluster ptm meledak maka yang salah pastilah Anies Baswedan...,jakarta omicron cluster ptm meledak maka salah pastilah anies baswedan
82,@Pockyyycocolate sama kayak kelasku kalo ptm,sama kayak kelasku kalau ptm
83,"dok adek aku mulai dr kemarin udh wajib ptm 100%, eh ternyata pas ud nyampe rumah diumumin di grup ada yg + di kelasnya dan adekku termasuk yg kontak erat sm yg +. Skrg adek aku lg isoman, kira2 kalo mau test pcr/antigen kapan yaa waktu yg tepat? Makasihh yg udah jawab â¤",dok adek aku mulai dari kemarin sudah wajib ptm eh ternyata sudah nyampe rumah diumumin grup ada kelasnya adekku termasuk kontak erat sama sekarang adek aku lagi isoman kira kalau mau test pcr antigen yaa tepat makasih sudah jawab
84,"@schfess sebenernya aku juga lebih suka ptm karena lebih ngerti, tapi kasusnya lagi tinggi banget, aku ngekos lagi, jauh dari keluarga, amit amit tp kalo kena gimana? kan takut juga...",sebenernya aku lebih suka ptm karena lebih ngerti kasusnya lagi tinggi banget aku ngekos lagi jauh dari keluarga amit amit kalau kena takut
85,"@yhambiz Oh gitu, semoga segera ptm lagi yaa. Semangat didit!!",oh semoga segera ptm lagi yaa semangat didit
86,"@agachkp sebenarnya ptm, krn jadi paham materi, tapi pgn pjj lagi Krn capek",sebenarnya ptm karena jadi paham materi pengen pjj lagi karena capek
87,"@collegemenfess yay aja, kalo PTM biasanya dosennya ngasih waktu istirahat si buat maksi",yay aja kalau ptm biasanya dosennya ngasih istirahat buat maksi
88,"@onyonrm_ark gwehj ptm anjritðŸ˜­, udah donggg",gue ptm anjir sudah dong
89,"Drama ngeyel ala gottbener, daerah lain saja bisa menghentikan PTM kenapa DKI gak bisa https://t.co/prsM5jgi5H",drama ngeyel ala gottbener daerah lain saja menghentikan ptm dki
90,ya allah aku kapan ptm,allah aku ptm
91,@schfess Ada juga yg sukanya jalan-jalan ketika disuruh ptm malah takut kena ðŸ˜­ dikira jalan-jalan itu kebal apa,ada sukanya jalan jalan ketika disuruh ptm malah takut kena dikira jalan jalan kebal
92,"@hipeaches_aem dl nya si masih lama soalnya ngumpulinnya pas ptm, tapi bnyk ada 7 tugas ðŸ¥²",dulu lama soalnya ngumpulinnya ptm banyak ada tugas
93,IH GAMAU PTM 50% :((((((,iih gamau ptm
94,"Viralken aja, yg jelas pak Anies sdh berusaha krn arogansi si lumut maka permintaan tutup PTM ditolaknya
#PermintaanTutupPTMditolakLuhut https://t.co/WKsC8Oinka",viralkan aja jelas anies sudah berusaha karena arogansi lumut maka permintaan tutup ptm ditolaknya
95,"Bangun pagi, gosok gigi, terus mandi, PTM lagi..",bangun pagi gosok gigi mandi ptm lagi
96,"Walau emg kdg suka ngeluh bgt kenapa aku gini gitu, tp selalu aja ada kejadian yg bisa bikin aku mikir ih tuhan tuh baik bgt sm aku. Sama ini, krn skrg online, aku jd lbh bisa belajar utk ujian wkwk gatau kenapa aku sejak ptm malah makin males belajarðŸ˜­ðŸ˜” udah males, tambah males",walau emg kadang suka ngeluh banget aku aja ada kejadian aku mikir iih tuhan baik banget sama aku sama karena sekarang online aku jadi lebih belajar ujian wkwk gatau aku sejak ptm malah makin males belajar sudah males tambah males
97,"@subschfess gx, ak mw ptm aj. tapi jujur ngeri jg kalo ada yg +, tapi ptm jangan ada tugas kelompok dong. mls bgt",aku mau ptm aja jujur ngeri kalau ada ptm jangan ada tugas kelompok dong mls banget
98,"ptm lagi aja lah anjing, kena semprot mulu gue kalo di rumah.",ptm lagi aja anjing kena semprot mulu gue kalau rumah
99,"@kidd00st belum sumpah, dari 2019 gapernah ptm",belum sumpah dari gapernah ptm
100,"sebel, sekolah gue senin depan udh mulai ptm 25%",sebel sekolah gue sudah mulai ptm
101,"SEKOLAHKU YANG TADINYA PTM FULL, JADI PJJ LAGI T â€” T",sekolahku tadinya ptm full jadi pjj lagi
102,ANJ DEH PTM AJALAH MALES GW PAKE NI LAPTOP TAI,anjing deh ptm ajalah males gue pakai laptop tai
103,@wajaar eh serius semester ini blm ptm samsek?,eh serius semester belum ptm sama sekali
104,ptm 50% gajelas ngangngong ngantuk lagi,ptm gajelas ngangngong ngantuk lagi
105,"RT @tjapoenglaut: Presiden suruh evaluasi PTM. 
usulan kepala daerah ditolak Lord. 
kementrian pendidikan Mingkem. 

gini gini banget Tataâ€¦",presiden suruh evaluasi ptm usulan kepala daerah ditolak lord kementrian pendidikan mingkem banget tata
106,"@Lizliz06506641 @schfess ih persis bgt kaya kelasku, apalagi lagi ptm gini kan dibagi 2 sesi. jd tambah krik krik kelasku",iih persis banget kaya kelas lagi ptm bagi sesi jadi tambah krik krik kelasku
107,"@poIisi lebih suka ptm, ujian online",lebih suka ptm ujian online
108,"@collegemenfess gw seneng si sama kampus gw, ptm cuma buat matkul yg ada asitensinya, sisanya, online, ya walaupun 4 dari 7 matkul ada asistensinya",gue seneng sama kampus gue ptm Cuma buat mata kuliah ada asitensinya sisanya online walau dari mata kuliah ada asistensinya
109,wtf?!?@? kok bisa dia bilang kaya ginii sumpah pola pikir nya agak agak ni kalo lo suka ptm ya yauda anjir di keep aja gausa bilang orang suka daring sama dengan di bully di sekolah.. as usual we knooo bully juga merupakan hal yg gabisa dibuat sebercanda kaya komenan lo ini https://t.co/3V8BGPlIuf,what the fuck kaya sumpah pola pikir agak agak kalau suka ptm yaudah anjir keep aja gausa suka daring sama bully sekolah bully hal dibuat bercanda kaya komenan
110,ptm ptm kntol tgs kelompok mulu,ptm ptm kontol tugas kelompok mulu
111,"@dearhika Ih enak ptm :(
Iya sekolah aku udh pjj lagi. Ga sukaðŸ˜”",iih enak ptm iya sekolah aku sudah pjj lagi suka
112,@missufe Aaaaa aku lagi PTM jadi ga sempet aaaaaa,aaaaa aku lagi ptm jadi sempat aaaaaa
113,enakan ptm full daripada sesi sesianðŸ˜žðŸ˜ž,enakan ptm full sesi sesian
114,"RT @EkoTamba: Manusia Indonesia, mendukung bgt penerbangan internasional buka, tempat wisata buka, tp ga setuju PTM. Lah pada pengen liburaâ€¦",manusia indonesia mendukung banget penerbangan internasional buka tempat wisata buka setuju ptm pengen liburan
115,SERIUSS PTM 50% LAGI?? ðŸ˜­ YAUDAH GAPAPA DEH DRIPADA FULL ONLINE,serius ptm lagi yaudah deh full online
116,"gua ngerasain ptm aja belom, skrng udh pada balik daring",gua ngerasain ptm aja belum sekarang sudah balik daring
117,"kan udah kubilang 0m1cr0n naik, krs-an trobel terus sampe hari terakhir, berarti ngga direstuin buat ptm",sudah kubilang mcrn naik krs trobel sampai berarti direstuin buat ptm
118,@fessthai Kgett lewat pas lg ptmðŸ˜‚,kaget lewat lagi ptm
119,"Pelajar dilarang PTM, pintu masuk keluar negeri dibuka lebar-lebar

Pembunuhan karakter. Norak!! https://t.co/w75yVBXSnP",pelajar dilarang ptm pintu masuk keluar negeri dibuka lebar lebar pembunuhan karakter norak
120,"Humm gue tim ptm sih, tp ga 100% dan prokes nya harus lebih ketat, kasus nya bertambah juga bisa aja karena cuaca lagi ga menentu dan bikin imun jdi menurun jadi kalo kerasa ga enak badan dikit mending izin ga sekolah lagian kalo pjj juga sama aja ttp banyak orang bakal keluyuran https://t.co/B1cwj4lDsS",humm gue tim ptm prokes ketat kasus bertambah aja cuaca lagi menentu bikin imun jadi menurun kalau kerasa enak badan dikit mending izin sekolah lagian kalau pjj aja tetap banyak bakal keluyuran
121,"ANJAY BANGET GUE DARING LAGI AMPE TGL 14,UDH NYAMAN SM PTM JUGA â˜ºï¸ðŸ’” https://t.co/GNlQhREFSA",anjay banget gue daring lagi sampai sudah nyaman sama ptm
122,@lkingsir sama anje tp gue ptm,sama anjir gue ptm
123,"PJJ lagi PTM singkat bngt. 
Gabisa liat kmu lagi di parkiranðŸ˜¡ðŸ’”â˜¹ï¸",pjj lagi ptm singkat banget gabisa liat lagi parkiran
124,@schfess Punya ku PTM kelas 12 sama 10 karena kelas 11 lagi Pkl,punya ptm kelas sama karena kelas lagi pkl
125,"@shaabisabigwin_ iya sekolah disni masih PTM, ga enakk ini aku aja pengen pulangðŸ˜ sekolah kamu pjj ya?",iya sekolah ptm enak aku aja pengen pulang sekolah pjj
126,"@convomf Ptm, tapi aku bolos hehehe",ptm aku bolos hehe
127,kok sekolah lain masih ptm aku kan juga mauuu,sekolah lain ptm aku mau
128,"RT @fadlizon: Luhut Tolak Permohonan Anies Setop PTM, Fadli Zon: Siapa Nanti yang Bertanggungjawab? https://t.co/31KGvvRbTM",luhut tolak permohonan anies stop ptm fadli zon nanti tanggung jawab
129,@seulovelyy Pjj rasanya emng beda sm ptm. Pdhl guru ngasih tugas kek biasa,pjj rasanya emang beda sama ptm guru ngasih tugas kayak biasa
130,"RT @fadlizon: Ini aneh. Harusnya ketika Covid 19 sdg tinggi ya PTM dihentikan sementara. Kalau sdh landai, PTM bisa dilanjutkan. Siapa yg bâ€¦",aneh ketika covid sedang tinggi ptm dihentikan sementara kalau sudah landai ptm dilanjutkan
131,"@CNNIndonesia Ngelesnya bisa aja, bekasi bogor aja udahan stop ptm wkwk",ngelesnya aja bekasi bogor aja udahan stop ptm wkwk
132,"RT @rssieez: @subschfess yhahhahahahahaha, emg  labil. udah dibilang mendingan pjj dulu sampe bener-bener aman, biar gak gini ptm bentar trâ€¦",haha emg labil udah dibilang mendingan pjj dulu sampai bener bener aman biar ptm bentar
133,@sunkidraft gue klo ptm 50% shift dua malah mingdep nya bukan siang nya,gue kalau ptm shift malah
134,ptm ptm bullshit. gw ke mall sekitar jam 12 lebih aja anak SMA udh pada nongkrong disono abis dari skolah. https://t.co/5b3n6TkaDw,ptm ptm bullshit gue mall jam lebih aja anak sma sudah nongkrong abis dari sekolah
135,"Tiba2 ptm, tiba2 kehilangan seseorang di dunia ini, tiba2 siklus keseharian berubah, tubuh mulai adaptasi, dan kabar buruk lagiÂ² menerpa.",tiba ptm tiba kehilangan seseorang dunia tiba siklus keseharian berubah tubuh mulai adaptasi kabar buruk lagi menerpa
136,ptm cape banget tapi seruu,ptm cape banget seru
137,@journaIiest seru ptm,seru ptm
138,"gue ga masalah sih ptm, tp jangan pake shift lah anjritt gue kan absen akhiran yaa so pasti dapetnya shift 2 alias siang ga enak bgt. mending langsung ptm 100% aja gasi biar ga ribet?? ato ga pake sesi. seminggu sesi 1, seminggu sesi 2",gue masalah ptm jangan shift anjir gue absen pasti dapetnya shift alias enak banget mending langsung ptm aja biar ribet sesi sesi sesi
139, @dearhika Ih sekolahnya masih ptm ya? Enak banget :((,iih sekolahnya ptm enak banget
140,RT @DewiTuwuh: Udah ada ini yg terbaru. Opsi ptm 50 persen juga ijin ortu ada https://t.co/SX4iXNOCfr https://t.co/LGIcMkwEYz,sudah ada terbaru opsi ptm persen ijin tua ada
141,"Terkejut kalo habis ptm 100%, terus 50%, habis itu 25% dan pjj

DuarðŸ¤¯",terkejut kalau habis ptm habis pjj duar
142,"RT @mysubuh: 1-2 positif di perkantoran,
Perkantorannya lgs tutup

1-2 positif di pasar, pasarnya lgs tutup

1-2 positif di sekolah, PTM lgâ€¦",positif perkantoran perkantorannya langsug tutup positif pasar pasarnya langsung tutup positif sekolah ptm lagi
143,@CNNIndonesia Klo menolak PTM... skln cabut PPKM di slrh Indonesia opung !!!,kalau menolak ptm cabut ppkm seluruh indonesia opung
144,"@subschfess wah ak speechless pada rep jam 9, aku ptm ampe jam 12 mau daring mau pjj sama aja",wah aku speechless jam aku ptm sampai jam mau daring mau pjj sama aja
145,Lagian emang belum siap buat ptm tapi dipaksain https://t.co/vfK2uzf1Rl,lagian emang belum siap ptm dipaksain
146,pgn ptm deh,pengen ptm deh
147,@schfess healingku diem dikamar jadi ptm terzigza,diem dikamar jadi ptm tersiksa
