id,original_tweet,sentiment,Predicted,Expected,,,,
20,"Alhamdulillah skrng udah normal semenjak ptm lagii,pas sebelum ptm pasti tidur diatas jam 12 gituan",9,POSITIF,,,,,
21,Lintang blm sekolah tp sudah mengaji. Ngajinya semester ini full PTM semester sebelumnya online,12,POSITIF,,,,,
22,SchApp! anak kelasku pada banyak yang gamasuk woyy pada sakit jadi takut ptm,-3,NEGATIF,,,,,
23,"PTM, pjj bikin mls dh asli",-5,NEGATIF,,,,,
24,tetap ptm walau gk ngerjain tugas',-1,NEGATIF,,,,,
25,"@schfess pjj santai, ptm lebih cepet paham materi'",5,POSITIF,,,,,
26,"aku mau seneng ga ada ptm ga jadi ulangan, tapi ga ada ptm karna berita duka gmn ya",21,POSITIF,,,,,
27,@bluendsun entah kenape guru guru pas ptm ngeselin semua\nngasik tugas aneh aneh',2,POSITIF,,,,,
28, mending ptm ga she,2,POSITIF,,,,,
29,skolah swasta gtw ada yg mreka msi ptm ato g hti2 dah ato g negri',5,POSITIF,,,,,
30," dulu suka pjj, bisa santai bisa males malesan dulu, tapi lama kelamaan bosen dan pengen ptm biar paham",-7,NEGATIF,,,,,
31," semangat juga buat kamu yg lagi ptm, jangan aneh-aneh di sekolah",12,POSITIF,,,,,
32,"@junkyu_yeochin wii semangatt!! aq sebelumnya juga ptm tiap hari, krna dikelas q ada yg kena covid jadi pjj lagi'",2,POSITIF,,,,,
33,Semoga PTM diberentikan deh kak. Di jakarta udah 90 sekolah ditutup gegara ada kasus positif,3,POSITIF,,,,,
34,"Iya sih,sy gak ngijinin anak saya di vaksin mbak, krn anak saya dr kecil sering di rawat di RS,sy gak mau ambil resiko, gak tau ini besok boleh PTM atau gak",-39,NEGATIF,,,,,
35,GAJADI WKWK ADA HARAPAN PTM KALO SAMPE BESOK KASUS + NYA 0,-3,NEGATIF,,,,,
36,ini ptm kenapa kebanyakan tugasnya kelompok sih,-2,NEGATIF,,,,,
37,"Udah hari kamis aja nih. Awali hari ini dengan semangat! walaupun sekolah udah PTM 100%, tapi tetap harus belajar",11,POSITIF,,,,,
38,anj lahh dah siap-siap taunya ga ada ptm,-1,NEGATIF,,,,,
39,ak heran sm skolah yg ad kasus kopit di skolahny tp ttp adain ptm,14,POSITIF,,,,,
40,@imurjoyiie Ptm tidak seindah yg diharapkan,3,POSITIF,,,,,
41,"Enak banget yang ptm, mau ptm :('",11,POSITIF,,,,,
42,"gua kira udh ptm jam tdrnya bakal berubah, ternyata sama ajaa. malah makin parah'",6,POSITIF,,,,,
43,"@schfess pjj, gatau kenapa semenjak ptm tuh semangat gua jadi hilang trus jadi ngga niat'",4,POSITIF,,,,,
44,"ni kebijakan PTM gak mau ditinjau lagi nih. Sekolah anak saya dah ada kejadian SD dan SMA habis PTM keesokannya positif jd merepotkan semua yg ikut PTM kena tracing hrs sekeluarga PCR dll. Walaupun belum pasti kenanya di sekolah, bisa jd cluster baru",-2,NEGATIF,,,,,
45,Wow temen sekolah LL uda ada yg positive mericon,7,POSITIF,,,,,
46,Jika ada yg positif bisa kena tracing semua.. lbh baik seminggu PTM trus lanjut 2 minggu daring..thn kemaren anak saya sistemnya begini,-1,NEGATIF,,,,,
47,gue gamau pjj ajg udah enak bgt ptm',-6,NEGATIF,,,,,
48,"@schfess: Sch! Kalian ada ngga sih yang sejak ptm rasanya capeek bgttt, padahal bentaran doang",7,POSITIF,,,,,
49,@convomfs Ptm 100% tapi waktu belajarnya belum normal masih blik jam 12:30',-2,NEGATIF,,,,,
50," enakk ptm, btw pagi'",6,POSITIF,,,,,
51,@myngklx semangat ptm nyaa',4,POSITIF,,,,,
52,belum full 1 bulan ptm udah di suruh pjj lagi mana tugas kelompok banyak benerr,-3,NEGATIF,,,,,
53,"Hari ini ptm, males bngt'",-3,NEGATIF,,,,,
54,@schfess huaaa aku malah pjj trs nder huhu :( gak nyobain ptm malah :((',2,POSITIF,,,,,
55,kenapa kalo bangun buat pjj ngantuk bngt tapi pas ptm ngga terlalu,2,POSITIF,,,,,
56,'Ih bentar lagi PTM aku gk siap bertemu macam2 ras manusia meskipun aku berasal dari ras trkuat di muka bumi (read:wibu)',-9,NEGATIF,,,,,
57,enak jink gue malah maunya pjj cape bget ptm',-7,NEGATIF,,,,,
58,"'PJJ DONG AIH MALAH PTM MULU, JABA TUGAS KELOMPOK WAE'",-3,NEGATIF,,,,,
59,Gak tau kenapa semenjak ptm aku jadi lebih males',4,POSITIF,,,,,
60,@Asahiyaap aku pjj jugaa hiks pengen ptm',5,POSITIF,,,,,
61,@arifinpribadi @jokowi @KemenkesRI @luhutbinsarp @erickthohir @KemenBUMN @BNPTRI PTM 100% tetap diberlakukan... itu namanya nekat !',5,POSITIF,,,,,
62,Padahal pas awal2 PJJ udah agak mending dgn seminggu 3x masuk dgn sistem absensi ganjil genap ketimbang PTM dilakukan 100%,4,POSITIF,,,,,
63,semenjak ptm gue ke atm nyetor mulu setiap minggu,-2,NEGATIF,,,,,
64,"@schfess yg balik pjj lg tu sekolah mana aja ya, ko skolahku masi ptm 100%",3,POSITIF,,,,,
65,@osw_cityx sedihhh giliran udh nyaman ptm malah kasus makin banyak,7,POSITIF,,,,,
66,aku males bgt ptm dahh mau tidur,4,POSITIF,,,,,
67,@shayangaksa gue lagi ptm yaallah nyesek.. aksa kemana',-15,NEGATIF,,,,,
68,@convomfs anak kelas sebelah gue yg kena c-19 bisa sembuh biar Senin gue ptm lagi',-20,NEGATIF,,,,,
69,"@schfess ptm, tp pas ptm w sering sakit gara2 kecapean dsb'",-6,NEGATIF,,,,,
70,"ALO SELAMAT PAGI, AKU KEMBALI PJJ LAGI PADAHAL ENAKAN PTM.",12,POSITIF,,,,,
71,"@convomfs sama, tapi katanya senin masuk ptm lagi'",-3,NEGATIF,,,,,
72,"Nataru dilonggarin, sekolah dibuka ptm. Terus temen gw bikin story tempat swab udah rame lagi abis itu liat ini.",3,POSITIF,,,,,
73,"temanku pda males2, berusaha bgt biar ga ptm smpe chat di grup",3,POSITIF,,,,,
74,"hari ini aku ptm tapi harus tetep kesekolah krn ada kegiatan lain, high semanga",8,POSITIF,,,,,
75,baca cerita orang tua yg curhat tentang kegiatan ptm di sekolah anaknya makin hari makin pusing. bener2 dah nyawa anak2 dikira apaan sih?',4,POSITIF,,,,,
76,"@schfess Ptm, walaupun bikin sakit badan tapi materi nemplok di kepala'",-8,NEGATIF,,,,,
77,"@sudahgudluking ngasih info ptm pagi pagi anjg, gua udah rapih'",-8,NEGATIF,,,,,
78,"bayangin se kesel apa ak, kmrn bilang hri ini libur tpi ngsih tugas aja karna guru pada pergi skrng tbtb disuruh ",1,POSITIF,,,,,
79,ptm menyenangkan sampai kamu ulangan pake kertas',6,POSITIF,,,,,
80,"@moonareas Ptm tpi gue males, jdi akhirnya daring'",-7,NEGATIF,,,,,
81,'ini katanya mau pjj lagi dah padahal seruan ptm,-1,NEGATIF,,,,,
82,ptm itu seru tapi yg gak seru bangun pagi',11,POSITIF,,,,,
83,"ptm anjir, ni sangking emosi sampe typo",4,POSITIF,,,,,
84,"@schfess Pjj, karena setelah ptm ini ak sadar klau sekolah ku bener bener loss prokres nya",8,POSITIF,,,,,
85,@Askrlfess Ngeri banget. Jadi takut karena semester nanti mulai ptm,-6,NEGATIF,,,,,
86,"ngantuk banget, untung ga ptm'",2,POSITIF,,,,,
87,"@xafeenka capek ptm gak sih, IH IYAAAA",9,POSITIF,,,,,
88," Kami minggu lalu udh Tapi gegara kabupaten kami level 2 Omicron, jadinya kami dibuat PTM 50%'",5,POSITIF,,,,,
89,"@schfess PJJ aja lah, PTM tuh ribet, ngga santuy, tugas bikin makalah harus hard file'",-6,NEGATIF,,,,,
90,hari ini ptm hihi semangatttt,4,POSITIF,,,,,
91,jam tidur gue udah normal lagi semenjak ptm https://t.co/SPsP7XyBP9',-2,NEGATIF,,,,,
92,"Alhamdulillah masih ptm sih, jangan sampe pjj lagi deh",3,POSITIF,,,,,
93,Bangun pagi gosok gigi cuci muka PTM lagi',-5,NEGATIF,,,,,
94,"Semenjak ptm 100%, makin jatuh hati sama kafein'",8,POSITIF,,,,,
95,semenjak ptm jadi jarang mam mie instan',1,POSITIF,,,,,
96,"bersin mulu, takut covid. bikin parno aja ggra PTM",5,POSITIF,,,,,
97,muridnya covid kok sekolahnya tutup wkwk lucu bgt suka bgt sama PTM ya buu',12,POSITIF,,,,,
98,"@schfess ptm, aku bisa nambah ilmu 'lebih' dari yang dibuku atau di internet walopun itu agk oot dari materi yg dipelajari""",-3,NEGATIF,,,,,
99,"@summerjogja nggakk maksudnya feel nya itu loh, kalo ptm biasanya gw siapin mapel dulu sm mandi pagi eh ini kaga'",0,NETRAL,,,,,
100,"malesnya ptm gini, bocil2 bgst pd mencetin bel rumah gua asuuu, pengen w takol'",-11,NEGATIF,,,,,
101,Kasus harian naik tetep maksain PTM walau terbatas,-3,NEGATIF,,,,,
102,"@Askrlfess Untung dah engga sih, karena dah PTM 100% tidur suka jam 9 / 10'",-1,NEGATIF,,,,,
103,"yuhuuu, setelah dua hari pjj di rumah dan hari ini balik ptm lg.\nmari kita siap-siap~'",5,POSITIF,,,,,
104,mls ptm,-4,NEGATIF,,,,,
105,"@Millypiepi: Ga enak nya PTM full buat anak SMK kyk aku tu sklh jm 1 smpe jm 6 sore, jdi plng sklh udh capek bgtt tpi hrus bisa maksain",8,POSITIF,,,,,
106,aaa malas bgt ptm,-2,NEGATIF,,,,,
107,kyknya ptm disini bakal distop lg deh...,-5,NEGATIF,,,,,
108,"@reginskrt: ya lagian sih, ptm langsung jebret 100% anak sekolah mau dijadiin kelinci percobaan omicron apa gimana?",9,POSITIF,,,,,
109,@schfess PTM nder soalnya materi sama tugas2nya bisa lebih ngerti ketimbang PJJ abis itu PTM belajarnya asik soalnya bareng temen2',11,POSITIF,,,,,
110,"Asli capek, ptm ulangan math dan b indo,  trs latihan sore sampe jam 7 , lanjut nyicil ngerjain tugas",1,POSITIF,,,,,
111,ribet bgt coi udh kebiasa ptm 100% harus balik lagi ke 50%.,-3,NEGATIF,,,,,
112,"Nunggu kasus positif ngelonjak dulu gitu ? Kemudian baru stop PTM gitu ? Heran , gak waras",5,POSITIF,,,,,
113,"Kalo gue liat liat sekolah gue batu juga anjir, udh tau ada yg kena covid malah masih lanjut ptm... Diliburin 2 hari aja",6,POSITIF,,,,,
114,"@dr_koko28: Semakin banyak CoV terdeteksi di sekolah. -imho- mas menteri @nadiemmakarim, sudah waktunya untuk mengevaluasi PTM.'",13,POSITIF,,,,,
115,@schfess ptm enak bisa ngerti materi tapi terlalu banyak tugas kelompok sama individu nya',4,POSITIF,,,,,
116,'semenjak ptm gue sering bgt tiba tiba kebangun pas lagi tidur abis itu reflek nangis+ngeluh capek',-3,NEGATIF,,,,,
117, semoga Jogja ga ikut ikutan aduhhh udah enak PTM',13,POSITIF,,,,,
118," Laahhh bukan nya di sekolah diterapkan, diharuskan malahan seperti dipaksa harus di vaksin buat bisa PTM",-7,NEGATIF,,,,,
119,"Ptm, karna dapat uang jajan dan jadi paham sama materi yg kita lagi pelajari. Plusnya ketemu mas crus'",1,POSITIF,,,,,
120,"Seharusnya di tengah naiknya kasus covid varian omicron, sementara sekolah kembali online saja. Nanti kalau sdh landai kasusnya baru ptm",-5,NEGATIF,,,,,
121,Please jangan pjj lagi please. Pengen ngehabisin waktu yang tersisa sblm lulus dengan sebaik mungkin. ,2,POSITIF,,,,,
122,"jgn smpe ni tmn2 kmps terpapar grgr ptm, awas ja dibatalkan ptm krna nunggu kena dlu.",-7,NEGATIF,,,,,
123,mulai mencium aroma aroma ptm 50% nih,-2,NEGATIF,,,,,
124,Aku padahal nanti pagi ptm tapi belum bisa tidur,4,POSITIF,,,,,
125,"aku 50:50 sih. masing2 ada kurlebnya. pjj alu jenuh, tp enak jd lebih ga cape fisik. ptm asik ktmu tmn2",24,POSITIF,,,,,
126,"Ptm jangan berenti pliss, stress gua dirumah tai",-19,NEGATIF,,,,,
127,"besok w ptm, tapi gabisa tidur anyink",-1,NEGATIF,,,,,
128, Lebih baik distop dulu #ptm untuk sementara waktu melihat kasus penularannya yg lebih cepat daripada pjj,1,POSITIF,,,,,
129,klo ptm enaknya gue bs ketemu guru terus praktek ayEy,-1,NEGATIF,,,,,
130,"gueEEE apaya,, gue suka ptm.... pas kbm nya aja .... gue ga mau ke sekolah",0,NETRAL,,,,,
131,sumpah bisa ga sih gw ga ptm,8,POSITIF,,,,,
132,Sumpah kalo dalam waktu dekat gak ptm lagi aku di prank banget sama semesta,11,POSITIF,,,,,
133,d siang di tv katanya ada 90an murid kena weh serem ptm 100 persen ,0,NETRAL,,,,,
134,ihh besok ptm males banget,-8,NEGATIF,,,,,
135,"kampus gua rencananya semester depan udh ptm, jujur seneng bgt tp degdegan jg karena udah lama ga masuk kelas",1,POSITIF,,,,,
136,ini omicron lagi naik naiknya apa ga ada pencegahan buat ngga maksain ptm dlu ga sih?:( apa nunggu ada yg kena dulu,-8,NEGATIF,,,,,
137,"Kalo ku sih ptm, penjelasan lebih dipahami dan tugas dikit karna menekan ke pemahaman. Klo PJJ gila tugas",-7,NEGATIF,,,,,
138,"ptm, soalnya pelajaran lebih meresap",2,POSITIF,,,,,
139,"di sekolahku lagi pada ngeluh sakit sendi, flu batuk, sama badan anget gitu. udh banyak yg ngalamin, termasuk aku sendiri. PTM 100%",-16,NEGATIF,,,,,
140,@guanhengera semenjak ptm kerjaan gua kalo gk tidur ya ketiduran',-5,NEGATIF,,,,,
141," Wkwk biasanya baru bisa tidur jam segitu kaaa Wahaaa enak yah kaa, aku males banget sekarang ptm",7,POSITIF,,,,,
142,Yang kemarin ngotot PTM 100% dengan banyak kasusnya covid di sekolah Sekarang ngumpet ya?',6,POSITIF,,,,,
143,"Gue sekolah PTM kek buat HEALING bisa ketawa, cekikikan, di rumah belum tentu bisa kek gitu",1,POSITIF,,,,,
144,"udah semester 6, baru awal ptm full pula, tapi tugasnya masih sama kek pas daring, bedanya yg sekrang banyak tugas",4,POSITIF,,,,,
145,cape ptm jujur,0,NETRAL,,,,,
146,'gua msh mau main hp tapi besok kan ptm :)))))',3,POSITIF,,,,,
147,Speechless.. sama pemda DKI yang tetap ngotot PTM 100%\nPadahal dulu paling ngotot jakarta harus di lockdown ,-2,NEGATIF,,,,,
148, masih menemukan banyak pelanggaran prokes dalam pelaksanaan PTM 100 persen,7,POSITIF,,,,,
149,"Siapa yang bilang semenjak ptm jadi ga stress lagi, yang ada makin stress AJG'",11,POSITIF,,,,,
150,"Sama ky ponakan sy mak dok Sy bersikeras bilang ke ortunya jgn pernah mau di vaksin demi PTM,daring aja",3,POSITIF,,,,,
151,"yyy betul , sbnrnya pjj enak ptm jg enak , tp skrng kasus omicorn lagi naik mending pjj dlu deh :( ngeri cuy",12,POSITIF,,,,,
152,"Gatau deh masing2 punya kelebihan yang gua butuhin.. pjj = for uh/uas dkk, ptm = gampang dimengerti'",-1,NEGATIF,,,,,
153," kemarin dah kena, skrg ptm lagi'",-8,NEGATIF,,,,,
154,btw ya.. audeh nangis besok ptm huuuuuuuuuuuu',-1,NEGATIF,,,,,
155,Shift 2 bikin aku lelah banget nget nget sampai skrg masih ngerjain tugas klo pagi2 ngerjainnya takut ga selesai ka,5,POSITIF,,,,,
156,aa gak mau udah lumayan nyaman ptm ntar otak ku bodoh lagi,6,POSITIF,,,,,
157,Minggu depan PTM 100% Gak mau pengen per sesi aja masa setiap hari harus hapalan bahasa Inggris sama keagamaan pusing,-6,NEGATIF,,,,,
158,@PartaiSocmed: Hanya berupa teguran. Sudah kami ingatkan berkali2 prokes tidak mungkin diterapkan di sekolah tanpa sanksi tegas,7,POSITIF,,,,,
159,"males, ngotorin seragam, buang bensin, soalnya pas hari itu tuh cmn pensi doang gt jd ya ngapain mending di rumah",1,POSITIF,,,,,
160,ni kyknya sekolah lain udh pada balik pjj lagi sekolah gue masih tetep ptm aneh',2,POSITIF,,,,,
161,@v1scasa kalau w punya cewe mending ptm sih tar biar bisa bucin plek plek plek tiap hari,5,POSITIF,,,,,
162,"sekelas positif covid semua, kantin ama kopsis sekolah ditutup tpi tetep disuruh ptm",5,POSITIF,,,,,
163,schfess Pjj krna PTM tmn ku pada gak asik tpi KLO pjj capek juga gak kuat ngerjain tugas yg gk masuk ke otak tpi klo,-5,NEGATIF,,,,,
164,"lemes bre ptm isinya kerkom, praktek, laporan, presentasi. niatnya mau kejar materi malah isinya gitu'",-14,NEGATIF,,,,,
165," Kalau PTM di ganti dengan belajar online, trus pelajar yang vaksin kemarin sampai ada yang dipaksa",7,POSITIF,,,,,
166,"Awal 2022 wow... di bercandain PTM dadakan awal tahun, terus nyaman PTM 3 Minggu walau dengan tugas yang numpuk numpuk",-4,NEGATIF,,,,,
167,takut nanti pjj lagi. jjur sebenernya gue jg maless ptm tp ni tugas kelompok banyak bgt.. gw males klo ngerjainnya onlen onlenan ribet',-20,NEGATIF,,,,,
168,"mau nangis aja, sekolahku balik ke sistem pjj.. bismillah bisa balik ptm lagi:((",-6,NEGATIF,,,,,
169,schfess Males yakin sama siswa/ guru yang buka masker seenaknya pas PTM,7,POSITIF,,,,,
170,hoo kentut ptm kentut kentut,-6,NEGATIF,,,,,
171,aku dengar dari kalian PTM masih 100% ya? masih tatap muka belajarnya dan kerjanya pun masih belum WFH. padahal kasus udah pada naik,5,POSITIF,,,,,
172,"@schfess Gak punya temen sebangku, duduk nya sendiri karna blum ptm 1000%",-10,NEGATIF,,,,,
173,@schfess Ptm. Pjj membuatku malas belajar,-3,NEGATIF,,,,,
174,mending turu bsk ptm tai kucing,-3,NEGATIF,,,,,
175,YOLAHH gue seneng si pjj lagi tpi ptm tuh lebih seruu rasanya,5,POSITIF,,,,,
176,@Iandryx Enak bener ga ptm,8,POSITIF,,,,,
177,update terkini aku wes mulai bosen PTM',2,POSITIF,,,,,
178,@mindianie SAMA bayangin km ptm terus tetep dikasih tugas',7,POSITIF,,,,,
179,"Udah hari rabu aja nih. Awalai hari ini dengan semangat! walaupun sekolah udah PTM 100%, tapi tetap harus belajar",21,POSITIF,,,,,
180,'ptm membuatku sibuk,4,POSITIF,,,,,
181,"es pjj tapi jangan kelamaan, kayaknya aku bakal kangen ptm",-4,NEGATIF,,,,,
182,"Besok ptm, tapi males banget ga pengen bobo",0,NETRAL,,,,,
183,udah seru-seru ptm padahal',10,POSITIF,,,,,
184,"hadehh, gue udh sibuk lagi nih gegara sekolah udh ptm, mana bentar lagi wisuda KSHAKAHSA SENENG BGT WISUDANYA OFFLINE",8,POSITIF,,,,,
185," Oke"" aja. Sekolah aku baru 2 minggu PTM 100% udah ada yang kena soalnya:)'",8,POSITIF,,,,,
186,"@schfess masi ptm, dan smga ptm terus amin'",3,POSITIF,,,,,
187,blm juga ptm 100% tapi sekolah lain udh ada yg kena omnicorn. Yaudah yukk pjj lagi wkwk,8,POSITIF,,,,,
188,Dahlah Dri awal jg sdh tdk yakin ptm 100% bakalan awet',0,NETRAL,,,,,
189,jujur lebih suka ptm yang 50% tapiii temen gue beda sesi dan gue gapunya temen lg di sesi yg sama kaya sebelumya,0,NETRAL,,,,,
190,@cake_boop Gaenak lahh apalagi kalau ptm. Selama belajar narik ingus mulu,-2,NEGATIF,,,,,
191,"mungkin gara2 ptm gue sering julid, jadi suka lupa pls",1,POSITIF,,,,,
192,"semenjak ptm gue jadi suka lupa deadline2 tugas, tapi kalo lagi pjj gue inget terus",-7,NEGATIF,,,,,
193,Ayolah @DKIJakarta hentikan lagi PTM demi kesehatan semua warga Jakarta',-5,NEGATIF,,,,,
194,"@schfess pjj ptm pahamnya sama aja, tp kurangnya kl ptm tugas byk jadi ga fokus materi'",9,POSITIF,,,,,
195,"Baik baikk, tapii besokk aku ptm lgi, ihh mls bgt",-2,NEGATIF,,,,,
196,anjay besok ptm,-3,NEGATIF,,,,,
197,Ptm.. Cape tau ahaha,-8,NEGATIF,,,,,
198, PTM LAGI BGST',-7,NEGATIF,,,,,
199,knp ptm malah capek bgt',5,POSITIF,,,,,
200,@schfess sekolahku ptm nder dari awal tahun lalu... ademm banget keknya gak ada kasus covid sama sekali',-8,NEGATIF,,,,,
201,@sukufushie KAYAK GAK KONSISTEN BGT GT LOH PJJ YA PJJ PTM YA PTM',6,POSITIF,,,,,
202,pdhal lagi nyamannya ptm:(',-2,NEGATIF,,,,,
203,gue takut full PTM karena apa? karena disana tugas-tugas udah pada baris mau ngejar gue,-7,NEGATIF,,,,,
204,ptm gak enaknya cuma pas kelompokan,0,NETRAL,,,,,
205,harusnya jadi online siii aaa iya ada seru nya jg sihh ptm',10,POSITIF,,,,,
206,@roguenter iyaa capek ptm,4,POSITIF,,,,,
207,@kieeesaaa sama anjir klo pjj emg banyak bet tugasnya ga kek ptm',3,POSITIF,,,,,
208,@menghiIank pdhal baru sebulan ptm tpi udh mau remuk anjir badan ini ,4,POSITIF,,,,,
209,"ptm, pelajarannya lebih masuk ke otak. kalo pjj jujur aja guruku jarang banget zoom, jadi cuma ngasih materi",7,POSITIF,,,,,
210,drpd 50% ptm mending 100% pjj,2,POSITIF,,,,,
211,"@kieeesaaa bgst doain skolah gw juga biar pjj, males bangun pagi anj klo ptm",-11,NEGATIF,,,,,
212,lama2 gw jadi pengen pjj aja gak ptm,-3,NEGATIF,,,,,
213,"Udh ptm 100%, jdi ptmt lagi sialan",-2,NEGATIF,,,,,
214,ada kasus positif di sekolah?? tetap tenang dan ptm spt biasa rambut gondrong/dicat?? pulang dl mas mbak dibenerin dl rambutnya nggih,16,POSITIF,,,,,
215,kembaliin waktu tidurku woiiii anjir ptm makin banyak aja ni tugas,6,POSITIF,,,,,
216,males besok ptm,-4,NEGATIF,,,,,
217,Males banget ptm besok,-3,NEGATIF,,,,,
218,bsk sklh ptm malesnya ampe ke tulang,3,POSITIF,,,,,
219,@newsplatter: Sekolah gak mau stop PTM aja ya? Banyak anak yg belum usia vaksin. ,16,POSITIF,,,,,
220,semoga pjj sampe tahun ajaran berakhir ya allah gatau gak suka ptm,7,POSITIF,,,,,
221,"bajingan ptm, baru awal gini tugas presentasi banyak banget ngentot",-9,NEGATIF,,,,,
222,"smngt sekolah,meskipun PTM 50%'",5,POSITIF,,,,,
223," @PKSejahtera: Kasus Covid-19 Terus Meningkat, Kaji Ulang PTM 100%. \xe2\x80\x9cPenghentian PTM merupakan opsi yang bisa dilakukan berbasis kajian. '",3,POSITIF,,,,,
224,"demi apapun aku mager sekolah... bkn mslh hari kejepit ato liburnya, cmn tuh aku dr 2 minggu yg lalu udh ptm 100% t https://t.co/RAOrDqOsx0'",3,POSITIF,,,,,
225, @schfess: sch! Any thoughts? Ada 3 pilihan sih sebenernya kata aku. Balik pjj/50% ptm/lanjut 100% ptm. https://t.co/tKF2w02CMY',10,POSITIF,,,,,
226,"first ptm 50% setelah hampir 2 tahun lebih cuman sampe jam set 10, lamanya berasa banget udah kek setengah hari. la https://t.co/E3kpIsPLoE'",-8,NEGATIF,,,,,
227,"@schfess sekalian pjj aja, soalnya kel 50% ptm aku gasik bikin ga mood cekulah aja xixi'",7,POSITIF,,,,,
228,"@convomf mingdep ptm 50% lagi jing, padahal kan'",-6,NEGATIF,,,,,
229,"@convomf 50%, setengah ptm setengah pjj'",-8,NEGATIF,,,,,
230, @mikahakim3: @Hilmi28 @Adra_silent Jogja kembali berlakukan PTM 50 persen setelah bbrp siswa positif..smg segera landai lagi..',10,POSITIF,,,,,
231,@astronoust yg positif 1 aja trus jdi ptm 50% sm guru guru jdi lebih sering sidak prokes dadakan  ',20,POSITIF,,,,,
232,@schfess pengen ptm 50%',3,POSITIF,,,,,
233,"@schfess akuuu, sekolah bilangnya dari prov jateng, tapi bukan pjj, yang tadinya ptm 100% dikurangi jadi 50% atau p https://t.co/mNJvehDXeP'",3,POSITIF,,,,,
234,@avhlyyy sblm daring lg gua ge ptm nya 50% blm pernah 100%e',-6,NEGATIF,,,,,
