,original_tweet,sentiment,Predicted
91,jam tidur gue udah normal lagi semenjak ptm https://t.co/SPsP7XyBP9',3,POSITIF
92,"Alhamdulillah masih ptm sih, jangan sampe pjj lagi deh",-4,NEGATIF
93,Bangun pagi gosok gigi cuci muka PTM lagi',-7,NEGATIF
94,"Semenjak ptm 100%, makin jatuh hati sama kafein'",3,POSITIF
95,semenjak ptm jadi jarang mam mie instan',-7,NEGATIF
96,"bersin mulu, takut covid. bikin parno aja ggra PTM",0,NETRAL
97,muridnya covid kok sekolahnya tutup wkwk lucu bgt suka bgt sama PTM ya buu',8,POSITIF
98,"@schfess ptm, aku bisa nambah ilmu 'lebih' dari yang dibuku atau di internet walopun itu agk oot dari materi yg dipelajari""",-13,NEGATIF
99,"@summerjogja nggakk maksudnya feel nya itu loh, kalo ptm biasanya gw siapin mapel dulu sm mandi pagi eh ini kaga'",-6,NEGATIF
100,"malesnya ptm gini, bocil2 bgst pd mencetin bel rumah gua asuuu, pengen w takol'",-19,NEGATIF
101,Kasus harian naik tetep maksain PTM walau terbatas,-6,NEGATIF
102,"@Askrlfess Untung dah engga sih, karena dah PTM 100% tidur suka jam 9 / 10'",7,POSITIF
103,"yuhuuu, setelah dua hari pjj di rumah dan hari ini balik ptm lg.\nmari kita siap-siap~'",-9,NEGATIF
104,mls ptm,-4,NEGATIF
105,"@Millypiepi: Ga enak nya PTM full buat anak SMK kyk aku tu sklh jm 1 smpe jm 6 sore, jdi plng sklh udh capek bgtt tpi hrus bisa maksain",7,POSITIF
106,aaa malas bgt ptm,0,NETRAL
107,kyknya ptm disini bakal distop lg deh...,-2,NEGATIF
108,"@reginskrt: ya lagian sih, ptm langsung jebret 100% anak sekolah mau dijadiin kelinci percobaan omicron apa gimana?",2,POSITIF
109,@schfess PTM nder soalnya materi sama tugas2nya bisa lebih ngerti ketimbang PJJ abis itu PTM belajarnya asik soalnya bareng temen2',9,POSITIF
110,"Asli capek, ptm ulangan math dan b indo,  trs latihan sore sampe jam 7 , lanjut nyicil ngerjain tugas",-19,NEGATIF
111,ribet bgt coi udh kebiasa ptm 100% harus balik lagi ke 50%.,-8,NEGATIF
112,"Nunggu kasus positif ngelonjak dulu gitu ? Kemudian baru stop PTM gitu ? Heran , gak waras",2,POSITIF
113,"Kalo gue liat liat sekolah gue batu juga anjir, udh tau ada yg kena covid malah masih lanjut ptm... Diliburin 2 hari aja",-1,NEGATIF
114,"@dr_koko28: Semakin banyak CoV terdeteksi di sekolah. -imho- mas menteri @nadiemmakarim, sudah waktunya untuk mengevaluasi PTM.'",8,POSITIF
115,@schfess ptm enak bisa ngerti materi tapi terlalu banyak tugas kelompok sama individu nya',8,POSITIF
116,'semenjak ptm gue sering bgt tiba tiba kebangun pas lagi tidur abis itu reflek nangis+ngeluh capek',-3,NEGATIF
117, semoga Jogja ga ikut ikutan aduhhh udah enak PTM',12,POSITIF
118," Laahhh bukan nya di sekolah diterapkan, diharuskan malahan seperti dipaksa harus di vaksin buat bisa PTM",-13,NEGATIF
119,"Ptm, karna dapat uang jajan dan jadi paham sama materi yg kita lagi pelajari. Plusnya ketemu mas crus'",9,POSITIF
120,"Seharusnya di tengah naiknya kasus covid varian omicron, sementara sekolah kembali online saja. Nanti kalau sdh landai kasusnya baru ptm",-2,NEGATIF
121,Please jangan pjj lagi please. Pengen ngehabisin waktu yang tersisa sblm lulus dengan sebaik mungkin. ,-3,NEGATIF
122,"jgn smpe ni tmn2 kmps terpapar grgr ptm, awas ja dibatalkan ptm krna nunggu kena dlu.",-15,NEGATIF
123,mulai mencium aroma aroma ptm 50% nih,-2,NEGATIF
124,Aku padahal nanti pagi ptm tapi belum bisa tidur,4,POSITIF
125,"aku 50:50 sih. masing2 ada kurlebnya. pjj alu jenuh, tp enak jd lebih ga cape fisik. ptm asik ktmu tmn2",8,POSITIF
126,"Ptm jangan berenti pliss, stress gua dirumah tai",-12,NEGATIF
127,"besok w ptm, tapi gabisa tidur anyink",0,NETRAL
128, Lebih baik distop dulu #ptm untuk sementara waktu melihat kasus penularannya yg lebih cepat daripada pjj,-2,NEGATIF
129,klo ptm enaknya gue bs ketemu guru terus praktek ayEy,-3,NEGATIF
130,"gueEEE apaya,, gue suka ptm.... pas kbm nya aja .... gue ga mau ke sekolah",3,POSITIF
131,sumpah bisa ga sih gw ga ptm,0,NETRAL
132,Sumpah kalo dalam waktu dekat gak ptm lagi aku di prank banget sama semesta,6,POSITIF
133,d siang di tv katanya ada 90an murid kena weh serem ptm 100 persen ,3,POSITIF
134,ihh besok ptm males banget,-8,NEGATIF
135,"kampus gua rencananya semester depan udh ptm, jujur seneng bgt tp degdegan jg karena udah lama ga masuk kelas",5,POSITIF
136,ini omicron lagi naik naiknya apa ga ada pencegahan buat ngga maksain ptm dlu ga sih?:( apa nunggu ada yg kena dulu,6,POSITIF
137,"Kalo ku sih ptm, penjelasan lebih dipahami dan tugas dikit karna menekan ke pemahaman. Klo PJJ gila tugas",5,POSITIF
138,"ptm, soalnya pelajaran lebih meresap",2,POSITIF
139,"di sekolahku lagi pada ngeluh sakit sendi, flu batuk, sama badan anget gitu. udh banyak yg ngalamin, termasuk aku sendiri. PTM 100%",-18,NEGATIF
140,@guanhengera semenjak ptm kerjaan gua kalo gk tidur ya ketiduran',1,POSITIF
141," Wkwk biasanya baru bisa tidur jam segitu kaaa Wahaaa enak yah kaa, aku males banget sekarang ptm",2,POSITIF
142,Yang kemarin ngotot PTM 100% dengan banyak kasusnya covid di sekolah Sekarang ngumpet ya?',3,POSITIF
143,"Gue sekolah PTM kek buat HEALING bisa ketawa, cekikikan, di rumah belum tentu bisa kek gitu",-4,NEGATIF
144,"udah semester 6, baru awal ptm full pula, tapi tugasnya masih sama kek pas daring, bedanya yg sekrang banyak tugas",9,POSITIF
145,cape ptm jujur,0,NETRAL
146,'gua msh mau main hp tapi besok kan ptm :)))))',3,POSITIF
147,Speechless.. sama pemda DKI yang tetap ngotot PTM 100%\nPadahal dulu paling ngotot jakarta harus di lockdown ,-2,NEGATIF
148, masih menemukan banyak pelanggaran prokes dalam pelaksanaan PTM 100 persen,4,POSITIF
149,"Siapa yang bilang semenjak ptm jadi ga stress lagi, yang ada makin stress AJG'",-9,NEGATIF
150,"Sama ky ponakan sy mak dok Sy bersikeras bilang ke ortunya jgn pernah mau di vaksin demi PTM,daring aja",2,POSITIF
151,"yyy betul , sbnrnya pjj enak ptm jg enak , tp skrng kasus omicorn lagi naik mending pjj dlu deh :( ngeri cuy",-5,NEGATIF
152,"Gatau deh masing2 punya kelebihan yang gua butuhin.. pjj = for uh/uas dkk, ptm = gampang dimengerti'",5,POSITIF
153," kemarin dah kena, skrg ptm lagi'",-8,NEGATIF
154,btw ya.. audeh nangis besok ptm huuuuuuuuuuuu',-4,NEGATIF
155,Shift 2 bikin aku lelah banget nget nget sampai skrg masih ngerjain tugas klo pagi2 ngerjainnya takut ga selesai ka,-1,NEGATIF
156,aa gak mau udah lumayan nyaman ptm ntar otak ku bodoh lagi,4,POSITIF
157,Minggu depan PTM 100% Gak mau pengen per sesi aja masa setiap hari harus hapalan bahasa Inggris sama keagamaan pusing,-5,NEGATIF
158,@PartaiSocmed: Hanya berupa teguran. Sudah kami ingatkan berkali2 prokes tidak mungkin diterapkan di sekolah tanpa sanksi tegas,1,POSITIF
159,"males, ngotorin seragam, buang bensin, soalnya pas hari itu tuh cmn pensi doang gt jd ya ngapain mending di rumah",-10,NEGATIF
160,ni kyknya sekolah lain udh pada balik pjj lagi sekolah gue masih tetep ptm aneh',5,POSITIF
161,@v1scasa kalau w punya cewe mending ptm sih tar biar bisa bucin plek plek plek tiap hari,-9,NEGATIF
162,"sekelas positif covid semua, kantin ama kopsis sekolah ditutup tpi tetep disuruh ptm",-3,NEGATIF
163,schfess Pjj krna PTM tmn ku pada gak asik tpi KLO pjj capek juga gak kuat ngerjain tugas yg gk masuk ke otak tpi klo,-24,NEGATIF
164,"lemes bre ptm isinya kerkom, praktek, laporan, presentasi. niatnya mau kejar materi malah isinya gitu'",-15,NEGATIF
165," Kalau PTM di ganti dengan belajar online, trus pelajar yang vaksin kemarin sampai ada yang dipaksa",7,POSITIF
166,"Awal 2022 wow... di bercandain PTM dadakan awal tahun, terus nyaman PTM 3 Minggu walau dengan tugas yang numpuk numpuk",-8,NEGATIF
167,takut nanti pjj lagi. jjur sebenernya gue jg maless ptm tp ni tugas kelompok banyak bgt.. gw males klo ngerjainnya onlen onlenan ribet',-27,NEGATIF
168,"mau nangis aja, sekolahku balik ke sistem pjj.. bismillah bisa balik ptm lagi:((",-3,NEGATIF
169,schfess Males yakin sama siswa/ guru yang buka masker seenaknya pas PTM,2,POSITIF
170,hoo kentut ptm kentut kentut,-11,NEGATIF
171,aku dengar dari kalian PTM masih 100% ya? masih tatap muka belajarnya dan kerjanya pun masih belum WFH. padahal kasus udah pada naik,6,POSITIF
172,"@schfess Gak punya temen sebangku, duduk nya sendiri karna blum ptm 1000%",-8,NEGATIF
173,@schfess Ptm. Pjj membuatku malas belajar,-2,NEGATIF
174,mending turu bsk ptm tai kucing,-2,NEGATIF
175,YOLAHH gue seneng si pjj lagi tpi ptm tuh lebih seruu rasanya,8,POSITIF
176,@Iandryx Enak bener ga ptm,8,POSITIF
177,update terkini aku wes mulai bosen PTM',2,POSITIF
178,@mindianie SAMA bayangin km ptm terus tetep dikasih tugas',9,POSITIF
179,"Udah hari rabu aja nih. Awalai hari ini dengan semangat! walaupun sekolah udah PTM 100%, tapi tetap harus belajar",11,POSITIF
180,'ptm membuatku sibuk,-2,NEGATIF
181,"es pjj tapi jangan kelamaan, kayaknya aku bakal kangen ptm",-4,NEGATIF
182,"Besok ptm, tapi males banget ga pengen bobo",0,NETRAL
183,udah seru-seru ptm padahal',9,POSITIF
184,"hadehh, gue udh sibuk lagi nih gegara sekolah udh ptm, mana bentar lagi wisuda KSHAKAHSA SENENG BGT WISUDANYA OFFLINE",1,POSITIF
185," Oke"" aja. Sekolah aku baru 2 minggu PTM 100% udah ada yang kena soalnya:)'",13,POSITIF
186,"@schfess masi ptm, dan smga ptm terus amin'",4,POSITIF
187,blm juga ptm 100% tapi sekolah lain udh ada yg kena omnicorn. Yaudah yukk pjj lagi wkwk,5,POSITIF
188,Dahlah Dri awal jg sdh tdk yakin ptm 100% bakalan awet',4,POSITIF
189,jujur lebih suka ptm yang 50% tapiii temen gue beda sesi dan gue gapunya temen lg di sesi yg sama kaya sebelumya,3,POSITIF
190,@cake_boop Gaenak lahh apalagi kalau ptm. Selama belajar narik ingus mulu,-13,NEGATIF
191,"mungkin gara2 ptm gue sering julid, jadi suka lupa pls",-2,NEGATIF
192,"semenjak ptm gue jadi suka lupa deadline2 tugas, tapi kalo lagi pjj gue inget terus",-5,NEGATIF
193,Ayolah @DKIJakarta hentikan lagi PTM demi kesehatan semua warga Jakarta',-5,NEGATIF
194,"@schfess pjj ptm pahamnya sama aja, tp kurangnya kl ptm tugas byk jadi ga fokus materi'",11,POSITIF
195,"Baik baikk, tapii besokk aku ptm lgi, ihh mls bgt",-2,NEGATIF
196,anjay besok ptm,-3,NEGATIF
197,Ptm.. Cape tau ahaha,-8,NEGATIF
198, PTM LAGI BGST',-7,NEGATIF
199,knp ptm malah capek bgt',-6,NEGATIF
200,@schfess sekolahku ptm nder dari awal tahun lalu... ademm banget keknya gak ada kasus covid sama sekali',-5,NEGATIF
201,@sukufushie KAYAK GAK KONSISTEN BGT GT LOH PJJ YA PJJ PTM YA PTM',-4,NEGATIF
202,pdhal lagi nyamannya ptm:(',-4,NEGATIF
203,gue takut full PTM karena apa? karena disana tugas-tugas udah pada baris mau ngejar gue,0,NETRAL
204,ptm gak enaknya cuma pas kelompokan,-12,NEGATIF
205,harusnya jadi online siii aaa iya ada seru nya jg sihh ptm',11,POSITIF
206,@roguenter iyaa capek ptm,-4,NEGATIF
207,@kieeesaaa sama anjir klo pjj emg banyak bet tugasnya ga kek ptm',0,NETRAL
208,@menghiIank pdhal baru sebulan ptm tpi udh mau remuk anjir badan ini ,2,POSITIF
209,"ptm, pelajarannya lebih masuk ke otak. kalo pjj jujur aja guruku jarang banget zoom, jadi cuma ngasih materi",7,POSITIF
210,drpd 50% ptm mending 100% pjj,5,POSITIF
211,"@kieeesaaa bgst doain skolah gw juga biar pjj, males bangun pagi anj klo ptm",-14,NEGATIF
212,lama2 gw jadi pengen pjj aja gak ptm,-8,NEGATIF
213,"Udh ptm 100%, jdi ptmt lagi sialan",-1,NEGATIF
214,ada kasus positif di sekolah?? tetap tenang dan ptm spt biasa rambut gondrong/dicat?? pulang dl mas mbak dibenerin dl rambutnya nggih,5,POSITIF
215,kembaliin waktu tidurku woiiii anjir ptm makin banyak aja ni tugas,10,POSITIF
216,males besok ptm,-4,NEGATIF
217,Males banget ptm besok,-3,NEGATIF
218,bsk sklh ptm malesnya ampe ke tulang,5,POSITIF
219,@newsplatter: Sekolah gak mau stop PTM aja ya? Banyak anak yg belum usia vaksin. ,8,POSITIF
220,semoga pjj sampe tahun ajaran berakhir ya allah gatau gak suka ptm,2,POSITIF
221,"bajingan ptm, baru awal gini tugas presentasi banyak banget ngentot",-9,NEGATIF
222,"smngt sekolah,meskipun PTM 50%'",2,POSITIF
223," @PKSejahtera: Kasus Covid-19 Terus Meningkat, Kaji Ulang PTM 100%. \xe2\x80\x9cPenghentian PTM merupakan opsi yang bisa dilakukan berbasis kajian. '",1,POSITIF
224,"demi apapun aku mager sekolah... bkn mslh hari kejepit ato liburnya, cmn tuh aku dr 2 minggu yg lalu udh ptm 100% t https://t.co/RAOrDqOsx0'",-2,NEGATIF
225, @schfess: sch! Any thoughts? Ada 3 pilihan sih sebenernya kata aku. Balik pjj/50% ptm/lanjut 100% ptm. https://t.co/tKF2w02CMY',9,POSITIF
226,"first ptm 50% setelah hampir 2 tahun lebih cuman sampe jam set 10, lamanya berasa banget udah kek setengah hari. la https://t.co/E3kpIsPLoE'",-14,NEGATIF
227,"@schfess sekalian pjj aja, soalnya kel 50% ptm aku gasik bikin ga mood cekulah aja xixi'",-4,NEGATIF
228,"@convomf mingdep ptm 50% lagi jing, padahal kan'",-7,NEGATIF
229,"@convomf 50%, setengah ptm setengah pjj'",-8,NEGATIF
230, @mikahakim3: @Hilmi28 @Adra_silent Jogja kembali berlakukan PTM 50 persen setelah bbrp siswa positif..smg segera landai lagi..',6,POSITIF
231,@astronoust yg positif 1 aja trus jdi ptm 50% sm guru guru jdi lebih sering sidak prokes dadakan  ',14,POSITIF
232,@schfess pengennya ptm 50%',3,POSITIF
233,"@schfess akuuu, sekolah bilangnya dari prov jateng, tapi bukan pjj, yang tadinya ptm 100% dikurangi jadi 50% atau p https://t.co/mNJvehDXeP'",-11,NEGATIF
234,@avhlyyy sblm daring lg gua ge ptm nya 50% blm pernah 100%e',-10,NEGATIF
235,"@schfess Aku jakarta, tapi ptm ga 100% jadi 50% pjj sisahnya ptm. Tapi sekolah lain 100%'",-1,NEGATIF
236,"ga deng wkakajwj mulai besok ptm 50% lg dan gue ga suka, ptm 100% really really fun tho https://t.co/E1oXeMJvY0'",-6,NEGATIF
237,@schfess Sekolah ku kalbar masih ptm 50% tapi mungkin kedepannya masih ptm 50%',9,POSITIF
238,"@schfess Bekasi, dari pusat nder, sebenernya sih masih PTM tapi balik 50% lagi'",-6,NEGATIF
239,"@schfess gatau, katanya mau balik ke ptm 50%'",0,NETRAL
240,"@schfess Ptm 50% menurutku gak efisien, sekelas sma aja pasti masih ngelanggar prokes kaya gak jaga jarak apalagi u https://t.co/uhP8A7av2i'",-3,NEGATIF
241,woii skolahku tbt'jdi ptm 50 persen lgi njrr GW GA SATU SESI ANJG',-19,NEGATIF
242,udh seneng ptm 100% tau dibikin 50% ya smoga aja ga daring lagi',9,POSITIF
243,"Gue gamau pjj, gamau ptm 100%, maunya ptm 50% ajaaaa'",-13,NEGATIF
244,"@ailovmintcho eh samaa gua kalo ptm suka mapel mtk, kimia, sm pjok soalnya 50% olahraga sisanya kabur ke kantin'",-19,NEGATIF
245,@convomf KESEL PTM 50% MULAI BESOK',-4,NEGATIF
246,Loh mulai ptm 50% lagi:]',-1,NEGATIF
247,"Sekolah daring lagi...padahal udah nyaman sama ptm 50%gini,SETIDAKNYA bisa masuk sekolah seminggu 3 kali'",15,POSITIF
248,"@schfess mending pjj gasih kalo kaya gini, soalnya kalo ptm 50% masi sedikit was was...'",1,POSITIF
249,@schfess klo ga di bolehin pjj yaudah sih 50% aja maksa bgt mau ptm 100%',7,POSITIF
250,"@schfess balik full pjj, atau 50% pjj sama ptm, tp yg ptm yang udah vaksin dua kali aja.'",4,POSITIF
251,@schfess Dom serang. Masih ptm 50% untungnya blm ada omongan bakal pjj. Kl bisa jangannn',-7,NEGATIF
252,"@raratampan gatau juga si soalnya dari dibukanya ptm 50% sampe 100% ini kasus pertama di sklh gua gitu, tapi semoga https://t.co/hm0W2G24Cf'",-16,NEGATIF
253,AAAAAA bsk ptm 50% lagiiii... huhu ga seru bgttt pdhl kmrn udh ptm 100%',4,POSITIF
254,@ellzqrjn wih masih ptm full?? :( punya ku udah balik 50% lagi',6,POSITIF
